folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,Banana_freq,Banana_dur,Test_Banana_freq,Test_Banana_dur,Chocolate_freq,Chocolate_dur,Test_Chocolate_freq,Test_Chocolate_dur,counterbalancing,Pavlovian_cbx,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Chocolate_Levercbx,Banana_Levercbx,Stage,Schedule,Day,Test_Period
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,32,1860,1920,0,0,0,0,4,15.2799999999997,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,33,1920,1980,1,0.679999999999836,0,0,1,2.1400000000001,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,34,1980,2040,2,0.560000000000173,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,35,2040,2100,0,0,0,0,1,2.15999999999985,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,36,2100,2160,1,0.200000000000273,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinstatament_Test
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,37,2160,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,ITI
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,38,2220,2280,0,0,0,0,1,9.36000000000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,39,2280,2340,0,0,1,0.419999999999618,1,3.40000000000009,0,0,0,0,1,5,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,40,2340,2400,0,0,3,2.88000000000011,3,7.19999999999982,0,0,0,0,3,15,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,41,2400,2460,5,0.980000000000018,3,4,3,3.5,0,0,3,15,3,15,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
