folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,3,900,1350,1,0.139999999999986,8,5.72000000000037,0,0,0,0,5,25,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat24.csv,24____,17,9,1,C,Marios,82,4,1350,1800,5,2.02000000000021,15,13.3799999999997,0,0,0,0,7,35,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,1,0,450,3,2.32000000000005,2,2.63999999999999,0,0,0,0,0,0,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,2,450,900,5,2.5999999999998,17,14.3999999999996,0,0,0,0,6,30,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,3,900,1350,6,2.60000000000014,3,6.30000000000007,0,0,0,0,0,0,2,10,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat25.csv,25____,17,2,1,C,Marios,82,4,1350,1800,9,6.49999999999977,3,1.88000000000011,0,0,0,0,1,5,4,20,B,F,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,1,0,450,22,3.37999999999995,64,10.96,0,0,0,0,13,65,4,20,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,2,450,900,32,39.0799999999995,26,8.01999999999987,0,0,0,0,8,40,6,30,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,3,900,1350,5,2.89999999999998,21,4.36000000000035,0,0,0,0,4,20,2,10,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1B,LPLAcquisitionRR2Day1B_Rat43.csv,43____,17,13,1,C,Marios,81,4,1350,1800,0,0,7,5.07999999999993,0,0,0,0,2,10,0,0,B,M,B,Y,Right,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
