folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Pavlovian_cbx,DevaluedOutcome1,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Stage,Schedule,Day,DevaluedOutcome,Test_Period
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,7,360,420,0,0,1,2.44,2,4.5,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,9,480,540,0,0,0,0,3,3.29999999999984,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,10,540,600,2,0.580000000000041,2,7.51999999999998,10,10.4999999999999,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,11,600,660,0,0,0,0,2,0.159999999999968,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,12,660,720,0,0,0,0,1,35.0400000000001,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,13,720,780,1,0.0400000000000773,3,1.53999999999996,17,16.0200000000003,0,0,1,5,1,5,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,14,780,840,0,0,6,7.55999999999995,13,14.0799999999997,0,0,0,0,5,25,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,15,840,900,0,0,8,12.6400000000001,4,2.15999999999997,0,0,0,0,4,20,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,16,900,960,0,0,7,6.88000000000022,1,1.86000000000001,0,0,0,0,5,25,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,17,960,1020,0,0,5,9,2,1.93999999999994,0,0,0,0,3,15,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,18,1020,1080,3,0.580000000000155,5,5.5,2,2.1400000000001,0,0,1,5,3,15,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,19,1080,1140,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,20,1140,1200,0,0,0,0,3,0.519999999999982,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,21,1200,1260,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
