folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,6,300,360,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,7,360,420,0,0,1,2.08000000000004,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,9,480,540,2,4.68000000000006,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,10,540,600,0,0,2,2.67999999999995,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,11,600,660,0,0,3,5.13999999999999,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,12,660,720,7,1.40000000000009,1,1.70000000000005,0,0,0,0,3,11.58,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,13,720,780,3,0.279999999999973,1,3.24000000000001,0,0,0,0,0,3.41999999999996,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,14,780,840,0,0,2,1.2600000000001,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,15,840,900,0,0,1,2.72000000000003,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,16,900,960,0,0,3,7.67999999999995,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,17,960,1020,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,18,1020,1080,0,0,10,3.92000000000007,0,0,0,0,0,0,2,10,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,19,1080,1140,0,0,3,7.20000000000005,0,0,0,0,0,0,1,3.68000000000006,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,20,1140,1200,0,0,1,7.63999999999987,0,0,0,0,0,0,0,1.31999999999994,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,21,1200,1260,0,0,3,2.94000000000005,0,0,0,0,0,0,2,10,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,22,1260,1320,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,23,1320,1380,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,24,1380,1440,0,0,5,7.19999999999959,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,25,1440,1500,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,28,1620,1680,0,0,3,6.38000000000011,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,29,1680,1740,1,0.159999999999854,1,0.299999999999955,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,30,1740,1800,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,1,0,60,0,0,3,1.06,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,2,60,120,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,3,120,180,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
