Subj,Drug,time_mins,activity,bin5mins,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins,Period,Amph,LY
1_2,LY_Amph,41,55,-3,-1,-1,0,0,0,habituation,Amph,LY
1_2,LY_Amph,42,9,-3,-1,-1,0,0,0,habituation,Amph,LY
1_2,LY_Amph,43,0,-3,-1,-1,0,0,0,habituation,Amph,LY
1_2,LY_Amph,44,6,-3,-1,-1,0,0,0,habituation,Amph,LY
1_2,LY_Amph,45,48,-3,-1,-1,0,0,0,habituation,Amph,LY
1_2,LY_Amph,46,62,-2,-1,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,47,130,-2,-1,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,48,95,-2,-1,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,49,64,-2,-1,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,50,88,-2,-1,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,51,63,-1,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,52,26,-1,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,53,12,-1,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,54,13,-1,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,55,6,-1,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,56,15,0,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,57,5,0,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,58,8,0,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,59,51,0,0,0,0,0,0,habituation,Amph,LY
1_2,LY_Amph,60,47,0,0,0,0,0,0,habituation,Amph,LY
1_3,Veh_Veh,1,109,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,2,67,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,3,44,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,4,84,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,5,80,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,6,39,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,7,64,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,8,44,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,9,22,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,10,10,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,11,40,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,12,3,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,13,5,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,14,6,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,15,3,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,16,3,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,17,51,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,18,43,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,19,95,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,20,29,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,21,65,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,22,54,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,23,25,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,24,0,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,25,0,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
