Voltage,drug,nA
0.036072144,SAL,-0.197586632
0.036072144,LY,-0.278021693
0.039478958,SAL,-0.185846149
0.039478958,LY,-0.262513505
0.042885772,SAL,-0.174709923
0.042885772,LY,-0.243331216
0.046292585,SAL,-0.16408683
0.046292585,LY,-0.221198539
0.049699399,SAL,-0.153904893
0.049699399,LY,-0.196744113
0.053106212,SAL,-0.144084179
0.053106212,LY,-0.170495865
0.056513026,SAL,-0.134582423
0.056513026,LY,-0.143004102
0.05991984,SAL,-0.125438833
0.05991984,LY,-0.11487864
0.063326653,SAL,-0.116670485
0.063326653,LY,-0.086735493
0.066733467,SAL,-0.108166884
0.066733467,LY,-0.059214504
0.070140281,SAL,-0.099687755
0.070140281,LY,-0.033024983
0.073547094,SAL,-0.090791142
0.073547094,LY,-0.008929583
0.076953908,SAL,-0.080916051
0.076953908,LY,0.012301891
0.080360721,SAL,-0.069675562
0.080360721,LY,0.030042395
0.083767535,SAL,-0.056853802
0.083767535,LY,0.043988103
0.087174349,SAL,-0.042304628
0.087174349,LY,0.054110925
0.090581162,SAL,-0.026147035
0.090581162,LY,0.060549063
0.093987976,SAL,-0.008777883
0.093987976,LY,0.063740425
0.09739479,SAL,0.009353524
0.09739479,LY,0.064537869
0.100801603,SAL,0.0277637
0.100801603,LY,0.064023938
0.104208417,SAL,0.045981388
0.104208417,LY,0.063270312
0.10761523,SAL,0.063650472
0.10761523,LY,0.063208896
0.111022044,SAL,0.080401618
0.111022044,LY,0.064516364
0.114428858,SAL,0.095859106
0.114428858,LY,0.067599683
0.117835671,SAL,0.109828061
0.117835671,LY,0.072720939
0.121242485,SAL,0.122229796
0.121242485,LY,0.080104709
0.124649299,SAL,0.132988681
0.124649299,LY,0.09003794
0.128056112,SAL,0.142084751
0.128056112,LY,0.102931192
0.131462926,SAL,0.149587605
0.131462926,LY,0.119173098
0.134869739,SAL,0.15566605
0.134869739,LY,0.138885428
0.138276553,SAL,0.160575699
0.138276553,LY,0.161818814
0.141683367,SAL,0.164608985
0.141683367,LY,0.187403126
0.14509018,SAL,0.168062516
0.14509018,LY,0.214857979
0.148496994,SAL,0.171231588
0.148496994,LY,0.243329654
0.151903808,SAL,0.174458905
0.151903808,LY,0.271987797
0.155310621,SAL,0.178074509
0.155310621,LY,0.300043073
0.158717435,SAL,0.182225886
0.158717435,LY,0.326841913
0.162124248,SAL,0.186943096
0.162124248,LY,0.352012566
0.165531062,SAL,0.192268164
0.165531062,LY,0.375371146
0.168937876,SAL,0.198209325
0.168937876,LY,0.396740908
0.172344689,SAL,0.204840308
0.172344689,LY,0.416037511
0.175751503,SAL,0.21238201
0.175751503,LY,0.433386226
0.179158317,SAL,0.22098301
0.179158317,LY,0.449028509
0.18256513,SAL,0.230662481
0.18256513,LY,0.463258609
0.185971944,SAL,0.241375325
0.185971944,LY,0.476433496
0.189378758,SAL,0.252810732
0.189378758,LY,0.488898329
0.192785571,SAL,0.264375567
0.192785571,LY,0.500985193
0.196192385,SAL,0.275464764
0.196192385,LY,0.513111469
0.199599198,SAL,0.285543398
0.199599198,LY,0.525741947
0.203006012,SAL,0.294213137
0.203006012,LY,0.539302126
0.206412826,SAL,0.301367647
0.206412826,LY,0.554165925
0.209819639,SAL,0.307171648
0.209819639,LY,0.570564718
0.213226453,SAL,0.312008801
0.213226453,LY,0.588445382
0.216633267,SAL,0.316436991
0.216633267,LY,0.607444661
0.22004008,SAL,0.32100583
0.22004008,LY,0.626980054
0.223446894,SAL,0.326122259
0.223446894,LY,0.646426264
0.226853707,SAL,0.332059476
0.226853707,LY,0.66530569
0.230260521,SAL,0.338996206
0.230260521,LY,0.683332877
0.233667335,SAL,0.347004993
0.233667335,LY,0.700362492
0.237074148,SAL,0.356026814
0.237074148,LY,0.716447979
0.240480962,SAL,0.365978981
0.240480962,LY,0.73188716
0.243887776,SAL,0.376853298
0.243887776,LY,0.747004543
0.247294589,SAL,0.388685795
0.247294589,LY,0.761921707
0.250701403,SAL,0.40162154
0.250701403,LY,0.776622007
0.254108216,SAL,0.415891657
0.254108216,LY,0.791049915
0.25751503,SAL,0.431575359
0.25751503,LY,0.80506201
0.260921844,SAL,0.448615684
0.260921844,LY,0.818446933
0.264328657,SAL,0.466936967
0.264328657,LY,0.831004652
0.267735471,SAL,0.486288041
0.267735471,LY,0.842573241
0.271142285,SAL,0.506257777
0.271142285,LY,0.85316613
0.274549098,SAL,0.526455222
0.274549098,LY,0.863166923
0.277955912,SAL,0.546441261
0.277955912,LY,0.873285836
0.281362725,SAL,0.56577048
0.281362725,LY,0.884347043
0.284769539,SAL,0.584166586
0.284769539,LY,0.897102184
0.288176353,SAL,0.60142347
0.288176353,LY,0.912024516
0.291583166,SAL,0.617349064
0.291583166,LY,0.929125851
0.29498998,SAL,0.631874537
0.29498998,LY,0.947926877
0.298396794,SAL,0.644988874
0.298396794,LY,0.96759427
0.301803607,SAL,0.656675238
0.301803607,LY,0.987213029
0.305210421,SAL,0.666992367
0.305210421,LY,1.006043362
0.308617234,SAL,0.676110515
0.308617234,LY,1.023570465
0.312024048,SAL,0.684309577
0.312024048,LY,1.03943755
0.315430862,SAL,0.691952555
0.315430862,LY,1.053498183
0.318837675,SAL,0.699439138
0.318837675,LY,1.065897437
0.322244489,SAL,0.707203075
0.322244489,LY,1.076926526
0.325651303,SAL,0.715729767
0.325651303,LY,1.086815099
0.329058116,SAL,0.725572916
0.329058116,LY,1.095709566
0.33246493,SAL,0.73723804
0.33246493,LY,1.103674268
0.335871743,SAL,0.750996998
0.335871743,LY,1.110666488
0.339278557,SAL,0.766963489
0.339278557,LY,1.116644487
0.342685371,SAL,0.785199071
0.342685371,LY,1.121669112
0.346092184,SAL,0.805614389
0.346092184,LY,1.125905308
0.349498998,SAL,0.828051276
0.349498998,LY,1.129739468
0.352905812,SAL,0.852412009
0.352905812,LY,1.133943663
0.356312625,SAL,0.878525879
0.356312625,LY,1.139592224
0.359719439,SAL,0.90616729
0.359719439,LY,1.147820906
0.363126253,SAL,0.935163963
0.363126253,LY,1.159608192
0.366533066,SAL,0.965215517
0.366533066,LY,1.175538064
0.36993988,SAL,0.995844861
0.36993988,LY,1.195634967
0.373346693,SAL,1.026584096
0.373346693,LY,1.219377014
0.376753507,SAL,1.056972296
0.376753507,LY,1.24583924
0.380160321,SAL,1.086573448
0.380160321,LY,1.273977111
0.383567134,SAL,1.115139073
0.383567134,LY,1.302935812
0.386973948,SAL,1.142622662
0.386973948,LY,1.332132496
0.390380762,SAL,1.169174777
0.390380762,LY,1.361159328
0.393787575,SAL,1.195181997
0.393787575,LY,1.389766686
0.397194389,SAL,1.221152282
0.397194389,LY,1.417891301
0.400601202,SAL,1.24758019
0.400601202,LY,1.445532414
0.404008016,SAL,1.274922624
0.404008016,LY,1.472622548
0.40741483,SAL,1.303604677
0.40741483,LY,1.499063389
0.410821643,SAL,1.333982457
0.410821643,LY,1.524750621
0.414228457,SAL,1.36627636
0.414228457,LY,1.549564508
0.417635271,SAL,1.400609004
0.417635271,LY,1.573475505
0.421042084,SAL,1.437080673
0.421042084,LY,1.596621533
0.424448898,SAL,1.475787505
0.424448898,LY,1.619283379
0.427855711,SAL,1.516923666
0.427855711,LY,1.641955726
0.431262525,SAL,1.560766202
0.431262525,LY,1.665426069
0.434669339,SAL,1.60746021
0.434669339,LY,1.690638104
0.438076152,SAL,1.657030689
0.438076152,LY,1.718478834
0.441482966,SAL,1.709428844
0.441482966,LY,1.749628939
0.44488978,SAL,1.764343354
0.44488978,LY,1.784410752
0.448296593,SAL,1.821270562
0.448296593,LY,1.82271336
0.451703407,SAL,1.879753958
0.451703407,LY,1.864062513
0.45511022,SAL,1.939332723
0.45511022,LY,1.907749614
0.458517034,SAL,1.999542387
0.458517034,LY,1.953024884
0.461923848,SAL,2.060042244
0.461923848,LY,1.999297965
0.465330661,SAL,2.120534266
0.465330661,LY,2.04616163
0.468737475,SAL,2.180747814
0.468737475,LY,2.093268629
0.472144289,SAL,2.240551319
0.472144289,LY,2.140279477
0.475551102,SAL,2.299872226
0.475551102,LY,2.186868016
0.478957916,SAL,2.358632235
0.478957916,LY,2.232623407
0.482364729,SAL,2.416820654
0.482364729,LY,2.276986424
0.485771543,SAL,2.474501085
0.485771543,LY,2.319350552
0.489178357,SAL,2.53179984
0.489178357,LY,2.359164589
0.49258517,SAL,2.588917393
0.49258517,LY,2.396039141
0.495991984,SAL,2.646126438
0.495991984,LY,2.429903826
0.499398798,SAL,2.703764122
0.499398798,LY,2.460991499
0.502805611,SAL,2.762191631
0.502805611,LY,2.4896961
0.506212425,SAL,2.821769615
0.506212425,LY,2.516627442
0.509619238,SAL,2.882775218
0.509619238,LY,2.542738494
0.513026052,SAL,2.94525655
0.513026052,LY,2.569220125
0.516432866,SAL,3.009077949
0.516432866,LY,2.597290317
0.519839679,SAL,3.073999363
0.519839679,LY,2.628024236
0.523246493,SAL,3.13964695
0.523246493,LY,2.662164426
0.526653307,SAL,3.20569789
0.526653307,LY,2.700030479
0.53006012,SAL,3.272027662
0.53006012,LY,2.741595835
0.533466934,SAL,3.338509303
0.533466934,LY,2.786603022
0.536873747,SAL,3.404961207
0.536873747,LY,2.834705681
0.540280561,SAL,3.471229306
0.540280561,LY,2.885572104
0.543687375,SAL,3.537021701
0.543687375,LY,2.938810089
0.547094188,SAL,3.601896232
0.547094188,LY,2.993813959
0.550501002,SAL,3.665455577
0.550501002,LY,3.049748675
0.553907816,SAL,3.727308316
0.553907816,LY,3.105665275
0.557314629,SAL,3.78702925
0.557314629,LY,3.160592565
0.560721443,SAL,3.84426525
0.560721443,LY,3.213600201
0.564128257,SAL,3.89875415
0.564128257,LY,3.263848114
0.56753507,SAL,3.950385641
0.56753507,LY,3.310578652
0.570941884,SAL,3.999256507
0.570941884,LY,3.353180692
0.574348697,SAL,4.045520966
0.574348697,LY,3.391323511
0.577755511,SAL,4.089262097
0.577755511,LY,3.424894929
0.581162325,SAL,4.130510373
0.581162325,LY,3.453853553
0.584569138,SAL,4.169268735
0.584569138,LY,3.478322501
0.587975952,SAL,4.205469676
