ExperimentalStage,StageType,stimPulses,stimStrength,drugs,subj,t50_s
06_StimIntensity_Post,StimCurve,24,300,LY,M01007391,0.445358108
06_StimIntensity_Post,StimCurve,24,300,LY,M01043738,0.444705634
06_StimIntensity_Post,StimCurve,24,300,LY,M01043742,1.602998616
06_StimIntensity_Post,StimCurve,24,300,LY,M01059147,0.528500964
06_StimIntensity_Post,StimCurve,24,300,LY,M1059152,0.435812116
07_StimPulses_Post,StimCurve,12,200,SAL,M01007385,0.548818445
07_StimPulses_Post,StimCurve,12,200,SAL,M01043741,4.342355066
07_StimPulses_Post,StimCurve,12,200,SAL,M01043743,0.605851244
07_StimPulses_Post,StimCurve,12,200,SAL,M01059148,0.655652692
07_StimPulses_Post,StimCurve,12,200,SAL,M1059153,0.669644703
07_StimPulses_Post,StimCurve,12,200,LY,M01007386,0.508312982
07_StimPulses_Post,StimCurve,12,200,LY,M01007391,0.485573479
07_StimPulses_Post,StimCurve,12,200,LY,M01043738,0.429501833
07_StimPulses_Post,StimCurve,12,200,LY,M01043742,0.623121025
07_StimPulses_Post,StimCurve,12,200,LY,M01059147,0.572217933
07_StimPulses_Post,StimCurve,12,200,LY,M1059152,0.943083136
07_StimPulses_Post,StimCurve,24,200,SAL,M01007385,0.655195209
07_StimPulses_Post,StimCurve,24,200,SAL,M01043741,2.533728537
07_StimPulses_Post,StimCurve,24,200,SAL,M01043743,0.387374612
07_StimPulses_Post,StimCurve,24,200,SAL,M01059148,1.302674327
07_StimPulses_Post,StimCurve,24,200,SAL,M1059153,1.497546484
07_StimPulses_Post,StimCurve,24,200,LY,M01007386,0.3957997
07_StimPulses_Post,StimCurve,24,200,LY,M01007391,0.470510705
07_StimPulses_Post,StimCurve,24,200,LY,M01043738,0.38681505
07_StimPulses_Post,StimCurve,24,200,LY,M01043742,0.626701516
07_StimPulses_Post,StimCurve,24,200,LY,M01059147,0.358773013
07_StimPulses_Post,StimCurve,24,200,LY,M1059152,0.517419306
07_StimPulses_Post,StimCurve,36,200,SAL,M01007385,0.385937408
07_StimPulses_Post,StimCurve,36,200,SAL,M01043741,2.713276344
07_StimPulses_Post,StimCurve,36,200,SAL,M01043743,1.042460202
07_StimPulses_Post,StimCurve,36,200,SAL,M01059148,1.229490137
07_StimPulses_Post,StimCurve,36,200,SAL,M1059151,0.471481351
07_StimPulses_Post,StimCurve,36,200,SAL,M1059153,1.519626975
07_StimPulses_Post,StimCurve,36,200,LY,M01007391,1.095139144
07_StimPulses_Post,StimCurve,36,200,LY,M01043738,0.396952319
07_StimPulses_Post,StimCurve,36,200,LY,M01043742,1.330307175
07_StimPulses_Post,StimCurve,36,200,LY,M01059147,1.494970691
07_StimPulses_Post,StimCurve,36,200,LY,M1059152,0.523168591
08_Baseline2_Post,Baseline,24,200,SAL,M01007385,0.459523255
08_Baseline2_Post,Baseline,24,200,SAL,M01043741,2.995251178
08_Baseline2_Post,Baseline,24,200,SAL,M01043743,0.832240869
08_Baseline2_Post,Baseline,24,200,SAL,M01059148,0.440752431
08_Baseline2_Post,Baseline,24,200,SAL,M1059151,0.924426668
08_Baseline2_Post,Baseline,24,200,SAL,M1059153,1.691630171
08_Baseline2_Post,Baseline,24,200,LY,M01007386,0.669450274
08_Baseline2_Post,Baseline,24,200,LY,M01007391,0.492890997
08_Baseline2_Post,Baseline,24,200,LY,M01043738,0.420474544
08_Baseline2_Post,Baseline,24,200,LY,M01043742,0.614961908
08_Baseline2_Post,Baseline,24,200,LY,M01059147,0.323839004
