RewardMagnitude,Time,UniqueID,DA,Subj,Date,channel,drug
2,3.3000000000000007,R55_20140617_1_SAL,0.258582078,R55,20140617,1,SAL
2,3.3000000000000007,R57_20140618_1_SAL,0.082922216000000007,R57,20140618,1,SAL
2,3.3000000000000007,R69_20141211_1_SAL,0.098564905,R69,20141211,1,SAL
2,3.3000000000000007,R72_20141212_1_SAL,0.131899177,R72,20141212,1,SAL
2,3.3000000000000007,R29_20130301_0_LY,-0.068108649,R29,20130301,0,LY
2,3.3000000000000007,R34_20130227_0_LY,0.204823618,R34,20130227,0,LY
2,3.3000000000000007,R52_20130913_0_LY,0.069539582,R52,20130913,0,LY
2,3.3000000000000007,R54_20140617_0_LY,0.165649827,R54,20140617,0,LY
2,3.3000000000000007,R56_20140617_0_LY,-0.263387974,R56,20140617,0,LY
2,3.3000000000000007,R57_20140620_0_LY,0.495234595,R57,20140620,0,LY
2,3.3000000000000007,R58_20140618_0_LY,0.314310412,R58,20140618,0,LY
2,3.3000000000000007,R69_20141209_0_LY,0.664223618,R69,20141209,0,LY
2,3.3000000000000007,R72_20141210_0_LY,0.10571813,R72,20141210,0,LY
2,3.3000000000000007,R29_20130301_1_LY,0.294087058,R29,20130301,1,LY
2,3.3000000000000007,R32_20130227_1_LY,0.465840054,R32,20130227,1,LY
2,3.3000000000000007,R34_20130227_1_LY,0.328417196,R34,20130227,1,LY
2,3.3000000000000007,R52_20130913_1_LY,0.053271626,R52,20130913,1,LY
2,3.3000000000000007,R54_20140617_1_LY,-0.146869363,R54,20140617,1,LY
2,3.3000000000000007,R55_20140619_1_LY,0.480419679,R55,20140619,1,LY
2,3.3000000000000007,R57_20140620_1_LY,0.616564896,R57,20140620,1,LY
2,3.3000000000000007,R69_20141209_1_LY,0.388204306,R69,20141209,1,LY
2,3.3000000000000007,R72_20141210_1_LY,0.128646838,R72,20141210,1,LY
2,3.4000000000000004,R29_20130227_0_SAL,0.105666514,R29,20130227,0,SAL
2,3.4000000000000004,R34_20130301_0_SAL,-0.082685228,R34,20130301,0,SAL
2,3.4000000000000004,R52_20130911_0_SAL,0.12673213,R52,20130911,0,SAL
2,3.4000000000000004,R54_20140619_0_SAL,0.010453557,R54,20140619,0,SAL
2,3.4000000000000004,R56_20140619_0_SAL,0.037955825,R56,20140619,0,SAL
2,3.4000000000000004,R57_20140618_0_SAL,-0.021382531,R57,20140618,0,SAL
2,3.4000000000000004,R58_20140620_0_SAL,0.184913905,R58,20140620,0,SAL
2,3.4000000000000004,R69_20141211_0_SAL,0.556408834,R69,20141211,0,SAL
2,3.4000000000000004,R72_20141212_0_SAL,0.191595234,R72,20141212,0,SAL
2,3.4000000000000004,R29_20130227_1_SAL,0.177921926,R29,20130227,1,SAL
2,3.4000000000000004,R32_20130301_1_SAL,0.038492473,R32,20130301,1,SAL
2,3.4000000000000004,R34_20130301_1_SAL,0.179920424,R34,20130301,1,SAL
2,3.4000000000000004,R52_20130911_1_SAL,-0.360682413,R52,20130911,1,SAL
2,3.4000000000000004,R54_20140619_1_SAL,0.045618665,R54,20140619,1,SAL
2,3.4000000000000004,R55_20140617_1_SAL,0.249579693,R55,20140617,1,SAL
2,3.4000000000000004,R57_20140618_1_SAL,0.105282899,R57,20140618,1,SAL
2,3.4000000000000004,R69_20141211_1_SAL,0.114867201,R69,20141211,1,SAL
2,3.4000000000000004,R72_20141212_1_SAL,0.150811072,R72,20141212,1,SAL
2,3.4000000000000004,R29_20130301_0_LY,-0.097074178,R29,20130301,0,LY
2,3.4000000000000004,R34_20130227_0_LY,0.195027333,R34,20130227,0,LY
2,3.4000000000000004,R52_20130913_0_LY,0.036322228,R52,20130913,0,LY
2,3.4000000000000004,R54_20140617_0_LY,0.155859716,R54,20140617,0,LY
2,3.4000000000000004,R56_20140617_0_LY,-0.293929301,R56,20140617,0,LY
2,3.4000000000000004,R57_20140620_0_LY,0.503300892,R57,20140620,0,LY
2,3.4000000000000004,R58_20140618_0_LY,0.335183409,R58,20140618,0,LY
2,3.4000000000000004,R69_20141209_0_LY,0.658944889,R69,20141209,0,LY
2,3.4000000000000004,R72_20141210_0_LY,0.30960352,R72,20141210,0,LY
2,3.4000000000000004,R29_20130301_1_LY,0.264394823,R29,20130301,1,LY
2,3.4000000000000004,R32_20130227_1_LY,0.442712525,R32,20130227,1,LY
2,3.4000000000000004,R34_20130227_1_LY,0.321128744,R34,20130227,1,LY
2,3.4000000000000004,R52_20130913_1_LY,0.066146402000000007,R52,20130913,1,LY
2,3.4000000000000004,R54_20140617_1_LY,-0.154299827,R54,20140617,1,LY
2,3.4000000000000004,R55_20140619_1_LY,0.462966319,R55,20140619,1,LY
2,3.4000000000000004,R57_20140620_1_LY,0.611959657,R57,20140620,1,LY
2,3.4000000000000004,R69_20141209_1_LY,0.357798047,R69,20141209,1,LY
2,3.4000000000000004,R72_20141210_1_LY,0.302198178,R72,20141210,1,LY
2,3.5,R29_20130227_0_SAL,0.012841653,R29,20130227,0,SAL
2,3.5,R34_20130301_0_SAL,-0.074728965,R34,20130301,0,SAL
2,3.5,R52_20130911_0_SAL,0.109066425,R52,20130911,0,SAL
2,3.5,R54_20140619_0_SAL,-0.084650015,R54,20140619,0,SAL
2,3.5,R56_20140619_0_SAL,0.017483502,R56,20140619,0,SAL
2,3.5,R57_20140618_0_SAL,-0.021494342,R57,20140618,0,SAL
2,3.5,R58_20140620_0_SAL,0.111586542,R58,20140620,0,SAL
