Period,Time,UniqueID,DA,drug,Subj
Post,-3.6,LY_M01007386,0.850914719,LY,M01007386
Post,-3.6,LY_M01007391,-0.109533739,LY,M01007391
Post,-3.6,LY_M01043738,-0.252042166,LY,M01043738
Post,-3.6,LY_M01043742,0.006315461,LY,M01043742
Post,-3.6,LY_M01059147,-0.549113892,LY,M01059147
Post,-3.6,LY_M1059152,0.065405429,LY,M1059152
Post,-3.5,SAL_M01007385,-0.397719879,SAL,M01007385
Post,-3.5,SAL_M01043741,0.485165207,SAL,M01043741
Post,-3.5,SAL_M01043743,-0.115724272,SAL,M01043743
Post,-3.5,SAL_M01059148,-0.46073767,SAL,M01059148
Post,-3.5,SAL_M1059151,-2.209712827,SAL,M1059151
Post,-3.5,SAL_M1059153,-0.601028415,SAL,M1059153
Post,-3.5,LY_M01007386,0.372843385,LY,M01007386
Post,-3.5,LY_M01007391,0.112821518,LY,M01007391
Post,-3.5,LY_M01043738,-0.269216085,LY,M01043738
Post,-3.5,LY_M01043742,0.030383361,LY,M01043742
Post,-3.5,LY_M01059147,-0.431965189,LY,M01059147
Post,-3.5,LY_M1059152,0.127099346,LY,M1059152
Post,-3.4,SAL_M01007385,-0.429417737,SAL,M01007385
Post,-3.4,SAL_M01043741,-0.31780023,SAL,M01043741
Post,-3.4,SAL_M01043743,-0.131002993,SAL,M01043743
Post,-3.4,SAL_M01059148,-0.48402229,SAL,M01059148
Post,-3.4,SAL_M1059151,-0.420369578,SAL,M1059151
Post,-3.4,SAL_M1059153,-0.727508036,SAL,M1059153
Post,-3.4,LY_M01007386,-0.338422148,LY,M01007386
Post,-3.4,LY_M01007391,0.26684434,LY,M01007391
Post,-3.4,LY_M01043738,-0.283768657,LY,M01043738
Post,-3.4,LY_M01043742,0.08691235,LY,M01043742
Post,-3.4,LY_M01059147,-0.382028371,LY,M01059147
Post,-3.4,LY_M1059152,0.036805437,LY,M1059152
Post,-3.3,SAL_M01007385,-0.516089701,SAL,M01007385
Post,-3.3,SAL_M01043741,0.056085398,SAL,M01043741
Post,-3.3,SAL_M01043743,-0.177691618,SAL,M01043743
Post,-3.3,SAL_M01059148,-0.381111338,SAL,M01059148
Post,-3.3,SAL_M1059151,-0.382016639,SAL,M1059151
Post,-3.3,SAL_M1059153,-0.757246036,SAL,M1059153
Post,-3.3,LY_M01007386,-0.52283229,LY,M01007386
Post,-3.3,LY_M01007391,0.211703923,LY,M01007391
Post,-3.3,LY_M01043738,-0.286234648,LY,M01043738
Post,-3.3,LY_M01043742,0.081997927,LY,M01043742
Post,-3.3,LY_M01059147,-0.217179213,LY,M01059147
Post,-3.3,LY_M1059152,-0.065434456,LY,M1059152
Post,-3.2,SAL_M01007385,-0.559629675,SAL,M01007385
Post,-3.2,SAL_M01043741,-0.20826058,SAL,M01043741
Post,-3.2,SAL_M01043743,-0.243605092,SAL,M01043743
Post,-3.2,SAL_M01059148,-0.362817221,SAL,M01059148
Post,-3.2,SAL_M1059151,-1.126090914,SAL,M1059151
Post,-3.2,SAL_M1059153,-0.863529942,SAL,M1059153
Post,-3.2,LY_M01007386,-0.485819625,LY,M01007386
Post,-3.2,LY_M01007391,-0.125953279,LY,M01007391
Post,-3.2,LY_M01043738,-0.328091652,LY,M01043738
Post,-3.2,LY_M01043742,0.159868749,LY,M01043742
Post,-3.2,LY_M01059147,-0.258446288,LY,M01059147
Post,-3.2,LY_M1059152,-0.110760587,LY,M1059152
Post,-3.1,SAL_M01007385,-0.549861205,SAL,M01007385
Post,-3.1,SAL_M01043741,-0.357952498,SAL,M01043741
Post,-3.1,SAL_M01043743,-0.268193816,SAL,M01043743
Post,-3.1,SAL_M01059148,-0.277978964,SAL,M01059148
Post,-3.1,SAL_M1059151,-0.776805127,SAL,M1059151
Post,-3.1,SAL_M1059153,-0.822179458,SAL,M1059153
Post,-3.1,LY_M01007386,0.120343535,LY,M01007386
Post,-3.1,LY_M01007391,-0.322779759,LY,M01007391
Post,-3.1,LY_M01043738,-0.467886613,LY,M01043738
Post,-3.1,LY_M01043742,0.148844988,LY,M01043742
Post,-3.1,LY_M01059147,-0.119538299,LY,M01059147
Post,-3.1,LY_M1059152,3.44203e-4,LY,M1059152
Post,-3,SAL_M01007385,-0.357278758,SAL,M01007385
Post,-3,SAL_M01043741,0.057190317,SAL,M01043741
Post,-3,SAL_M01043743,-0.227315111,SAL,M01043743
Post,-3,SAL_M01059148,-0.244389164,SAL,M01059148
Post,-3,SAL_M1059151,-0.50051319,SAL,M1059151
Post,-3,SAL_M1059153,-0.950317738,SAL,M1059153
Post,-3,LY_M01007386,0.476506928,LY,M01007386
Post,-3,LY_M01007391,-0.299518552,LY,M01007391
Post,-3,LY_M01043738,-0.396578636,LY,M01043738
Post,-3,LY_M01043742,0.120017916,LY,M01043742
Post,-3,LY_M01059147,0.003941489,LY,M01059147
Post,-3,LY_M1059152,0.076971503,LY,M1059152
Post,-2.9,SAL_M01007385,-0.368405752,SAL,M01007385
Post,-2.9,SAL_M01043741,0.28245039,SAL,M01043741
Post,-2.9,SAL_M01043743,-0.142327674,SAL,M01043743
Post,-2.9,SAL_M01059148,-0.349492677,SAL,M01059148
Post,-2.9,SAL_M1059151,-2.260223264,SAL,M1059151
Post,-2.9,SAL_M1059153,-1.087353601,SAL,M1059153
Post,-2.9,LY_M01007386,0.193759843,LY,M01007386
Post,-2.9,LY_M01007391,-0.075491547,LY,M01007391
Post,-2.9,LY_M01043738,-0.379297771,LY,M01043738
Post,-2.9,LY_M01043742,0.034512219,LY,M01043742
Post,-2.9,LY_M01059147,-0.035272637,LY,M01059147
Post,-2.9,LY_M1059152,-0.042181175,LY,M1059152
Post,-2.8,SAL_M01007385,-0.361919361,SAL,M01007385
Post,-2.8,SAL_M01043741,0.06385156,SAL,M01043741
Post,-2.8,SAL_M01043743,-0.167635682,SAL,M01043743
Post,-2.8,SAL_M01059148,-0.331465841,SAL,M01059148
Post,-2.8,SAL_M1059151,-0.230307366,SAL,M1059151
Post,-2.8,SAL_M1059153,-1.053338315,SAL,M1059153
Post,-2.8,LY_M01007386,0.427322736,LY,M01007386
Post,-2.8,LY_M01007391,0.118103384,LY,M01007391
Post,-2.8,LY_M01043738,-0.479164214,LY,M01043738
Post,-2.8,LY_M01043742,-0.177554496,LY,M01043742
Post,-2.8,LY_M01059147,-0.214646763,LY,M01059147
Post,-2.8,LY_M1059152,-0.178247295,LY,M1059152
Post,-2.7,SAL_M01007385,-0.359430702,SAL,M01007385
Post,-2.7,SAL_M01043741,-0.036812724,SAL,M01043741
Post,-2.7,SAL_M01043743,-0.172461036,SAL,M01043743
Post,-2.7,SAL_M01059148,-0.44988624,SAL,M01059148
Post,-2.7,SAL_M1059151,0.310268224,SAL,M1059151
Post,-2.7,SAL_M1059153,-0.965655956,SAL,M1059153
Post,-2.7,LY_M01007386,0.849077927,LY,M01007386
Post,-2.7,LY_M01007391,-0.047126965,LY,M01007391
Post,-2.7,LY_M01043738,-0.593344504,LY,M01043738
Post,-2.7,LY_M01043742,-0.131463304,LY,M01043742
Post,-2.7,LY_M01059147,-0.269050228,LY,M01059147
Post,-2.7,LY_M1059152,-0.218754504,LY,M1059152
Post,-2.6,SAL_M01007385,-0.402776403,SAL,M01007385
Post,-2.6,SAL_M01043741,0.389967787,SAL,M01043741
Post,-2.6,SAL_M01043743,-0.207244872,SAL,M01043743
Post,-2.6,SAL_M01059148,-0.271297961,SAL,M01059148
Post,-2.6,SAL_M1059151,-1.326244866,SAL,M1059151
Post,-2.6,SAL_M1059153,-0.85860412,SAL,M1059153
Post,-2.6,LY_M01007386,0.009349198,LY,M01007386
Post,-2.6,LY_M01007391,-0.01806515,LY,M01007391
Post,-2.6,LY_M01043738,-0.684225917,LY,M01043738
Post,-2.6,LY_M01043742,-0.212343448,LY,M01043742
Post,-2.6,LY_M01059147,-0.289115501,LY,M01059147
Post,-2.6,LY_M1059152,-0.197075226,LY,M1059152
