subject,date,drug,channel,uniqueID,include,rewardMagnitude,AUC,peak,latency2peak,Subj
34,20130227,LY,1,34_20130227_1_LY,TRUE,2,18.45741854,0.647591197,1.1,34_Ch1
34,20130227,LY,1,34_20130227_1_LY,TRUE,3,31.75541677,0.90067836,2.3,34_Ch1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,1,13.07576823,0.491767488,0.7,34_Ch1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,2,14.54704511,0.538014571,1.1,34_Ch1
34,20130301,SAL,1,34_20130301_1_SAL,TRUE,3,23.12657893,0.790590436,3.8,34_Ch1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,1,-6.998779567,0.094141562,0.9,52_Ch1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,2,-11.78873527,0.04176168,0.8,52_Ch1
52,20130911,SAL,1,52_20130911_1_SAL,TRUE,3,0.374757812,0.289709772,0.9,52_Ch1
52,20130913,LY,1,52_20130913_1_LY,TRUE,1,3.630983377,0.170450021,1.9,52_Ch1
52,20130913,LY,1,52_20130913_1_LY,TRUE,2,1.804971538,0.109434752,0.5,52_Ch1
52,20130913,LY,1,52_20130913_1_LY,TRUE,3,5.379504483,0.176158778,1.6,52_Ch1
54,20140617,LY,1,54_20140617_1_LY,TRUE,1,2.678401137,0.508404809,0.8,54_Ch1
54,20140617,LY,1,54_20140617_1_LY,TRUE,2,2.062218205,0.537361649,0.7,54_Ch1
54,20140617,LY,1,54_20140617_1_LY,TRUE,3,13.76051749,0.639789611,0.8,54_Ch1
54,20140619,SAL,1,54_20140619_1_SAL,TRUE,1,19.00036733,0.728288635,1.5,54_Ch1
54,20140619,SAL,1,54_20140619_1_SAL,TRUE,2,11.910789,0.804707061,0.9,54_Ch1
54,20140619,SAL,1,54_20140619_1_SAL,TRUE,3,27.37570272,0.903123451,1.1,54_Ch1
55,20140617,SAL,1,55_20140617_1_SAL,TRUE,1,10.54043132,0.625933714,0.8,55_Ch1
55,20140617,SAL,1,55_20140617_1_SAL,TRUE,2,11.00069464,0.405061603,0.7,55_Ch1
55,20140617,SAL,1,55_20140617_1_SAL,TRUE,3,31.23048319,1.177556578,3.8,55_Ch1
55,20140619,LY,1,55_20140619_1_LY,TRUE,1,10.41547067,0.649228387,0.9,55_Ch1
55,20140619,LY,1,55_20140619_1_LY,TRUE,2,25.71972682,0.780706766,1.7,55_Ch1
55,20140619,LY,1,55_20140619_1_LY,TRUE,3,27.68202067,0.89877525,1.8,55_Ch1
56,20140617,LY,1,56_20140617_1_LY,FALSE,1,3.408525651,0.145883995,2.1,56_Ch1
56,20140617,LY,1,56_20140617_1_LY,FALSE,2,3.043647578,0.188242771,4,56_Ch1
56,20140617,LY,1,56_20140617_1_LY,FALSE,3,-6.242908382,0.056219303,1,56_Ch1
56,20140619,SAL,1,56_20140619_1_SAL,FALSE,1,4.715927181,0.248262993,1.4,56_Ch1
56,20140619,SAL,1,56_20140619_1_SAL,FALSE,2,6.862456032,0.273490843,1.2,56_Ch1
56,20140619,SAL,1,56_20140619_1_SAL,FALSE,3,12.51281016,0.36362994,2.2,56_Ch1
57,20140618,SAL,1,57_20140618_1_SAL,TRUE,1,8.370931587,0.343611465,1.9,57_Ch1
57,20140618,SAL,1,57_20140618_1_SAL,TRUE,2,10.1270216,0.428843552,1.2,57_Ch1
57,20140618,SAL,1,57_20140618_1_SAL,TRUE,3,6.779318393,0.350557344,1.6,57_Ch1
57,20140620,LY,1,57_20140620_1_LY,TRUE,1,20.65101646,0.773204558,1.6,57_Ch1
57,20140620,LY,1,57_20140620_1_LY,TRUE,2,30.41102085,0.923456225,2,57_Ch1
57,20140620,LY,1,57_20140620_1_LY,TRUE,3,44.9592843,1.459899741,2.2,57_Ch1
58,20140618,LY,1,58_20140618_1_LY,FALSE,1,12.64436794,0.564527179,1.5,58_Ch1
58,20140618,LY,1,58_20140618_1_LY,FALSE,2,12.59598629,0.445724313,1.7,58_Ch1
58,20140618,LY,1,58_20140618_1_LY,FALSE,3,23.22701821,0.775928166,2.1,58_Ch1
58,20140620,SAL,1,58_20140620_1_SAL,FALSE,1,,,0.1,58_Ch1
58,20140620,SAL,1,58_20140620_1_SAL,FALSE,2,-10.65838623,0.055631455,0.3,58_Ch1
69,20141209,LY,1,69_20141209_1_LY,TRUE,1,9.697010585,0.334130461,2.2,69_Ch1
69,20141209,LY,1,69_20141209_1_LY,TRUE,2,16.9042344,0.469725266,4.4,69_Ch1
69,20141209,LY,1,69_20141209_1_LY,TRUE,3,19.66604585,0.653619897,4.8,69_Ch1
69,20141211,SAL,1,69_20141211_1_SAL,TRUE,1,-2.692547445,0.243407016,0.6,69_Ch1
69,20141211,SAL,1,69_20141211_1_SAL,TRUE,2,6.64565229,0.216211562,4.7,69_Ch1
69,20141211,SAL,1,69_20141211_1_SAL,TRUE,3,7.610448903,0.493642595,5,69_Ch1
71,20141212,SAL,1,71_20141212_1_SAL,FALSE,1,,,0.1,71_Ch1
71,20141212,SAL,1,71_20141212_1_SAL,FALSE,2,9.748289761,0.583909384,1.1,71_Ch1
71,20141216,LY,1,71_20141216_1_LY,FALSE,1,,,0.1,71_Ch1
71,20141216,LY,1,71_20141216_1_LY,FALSE,2,6.174378226,0.807494112,4.2,71_Ch1
72,20141210,LY,1,72_20141210_1_LY,TRUE,1,12.90920168,0.629329946,1,72_Ch1
72,20141210,LY,1,72_20141210_1_LY,TRUE,2,16.75946979,0.681867883,1,72_Ch1
72,20141210,LY,1,72_20141210_1_LY,TRUE,3,31.14749503,0.894239508,3,72_Ch1
72,20141212,SAL,1,72_20141212_1_SAL,TRUE,1,5.647174439,0.315677036,0.9,72_Ch1
72,20141212,SAL,1,72_20141212_1_SAL,TRUE,2,8.589077178,0.368662421,2.8,72_Ch1
72,20141212,SAL,1,72_20141212_1_SAL,TRUE,3,12.31793952,0.45444115,4.4,72_Ch1
