Voltage,drug,nA
0.678714859,Sal,0.023880214
0.678714859,LY,-0.06209433
0.67188755,Sal,0.027376104
0.67188755,LY,-0.072600542
0.665060241,Sal,0.032088113
0.665060241,LY,-0.08261939
0.658232932,Sal,0.037932177
0.658232932,LY,-0.091812678
0.651405622,Sal,0.04471152
0.651405622,LY,-0.099940483
0.644578313,Sal,0.052139037
0.644578313,LY,-0.106870278
0.637751004,Sal,0.059867748
0.637751004,LY,-0.112564174
0.630923695,Sal,0.067518797
0.630923695,LY,-0.117038618
0.624096386,Sal,0.074707181
0.624096386,LY,-0.120325142
0.617269076,Sal,0.081070504
0.617269076,LY,-0.122461907
0.610441767,Sal,0.086295486
0.610441767,LY,-0.123502214
0.603614458,Sal,0.090138034
0.603614458,LY,-0.123522051
0.596787149,Sal,0.092437724
0.596787149,LY,-0.122631835
0.589959839,Sal,0.093121147
0.589959839,LY,-0.12098525
0.58313253,Sal,0.092194597
0.58313253,LY,-0.11876604
0.576305221,Sal,0.089735776
0.576305221,LY,-0.116162208
0.569477912,Sal,0.085893519
0.569477912,LY,-0.113354989
0.562650602,Sal,0.080893767
0.562650602,LY,-0.110523004
0.555823293,Sal,0.075030506
0.555823293,LY,-0.107842271
0.548995984,Sal,0.068633038
0.548995984,LY,-0.105481443
0.542168675,Sal,0.062023714
0.542168675,LY,-0.103604619
0.535341365,Sal,0.055467077
0.535341365,LY,-0.102372799
0.528514056,Sal,0.049117989
0.528514056,LY,-0.101921575
0.521686747,Sal,0.042994625
0.521686747,LY,-0.102321948
0.514859438,Sal,0.036978442
0.514859438,LY,-0.103555577
0.508032129,Sal,0.030838241
0.508032129,LY,-0.105514539
0.501204819,Sal,0.024291752
0.501204819,LY,-0.108018716
0.49437751,Sal,0.017088146
0.49437751,LY,-0.11084776
0.487550201,Sal,0.009070681
0.487550201,LY,-0.11377407
0.480722892,Sal,2.09207e-4
0.480722892,LY,-0.116580749
0.473895582,Sal,-0.009388339
0.473895582,LY,-0.119062847
0.467068273,Sal,-0.019494301
0.467068273,LY,-0.121026676
0.460240964,Sal,-0.029811121
0.460240964,LY,-0.122313264
0.453413655,Sal,-0.040018808
0.453413655,LY,-0.122842624
0.446586345,Sal,-0.049800977
0.446586345,LY,-0.122646335
0.439759036,Sal,-0.058869694
0.439759036,LY,-0.121879994
0.432931727,Sal,-0.066993941
0.432931727,LY,-0.120814624
0.426104418,Sal,-0.074021246
0.426104418,LY,-0.119794059
0.419277108,Sal,-0.079899267
0.419277108,LY,-0.119173757
0.412449799,Sal,-0.084695813
0.412449799,LY,-0.119270308
0.40562249,Sal,-0.088602639
0.40562249,LY,-0.12033119
0.398795181,Sal,-0.091918879
0.398795181,LY,-0.122523379
0.391967871,Sal,-0.095007897
0.391967871,LY,-0.125927884
0.385140562,Sal,-0.09822435
0.385140562,LY,-0.130527265
0.378313253,Sal,-0.101839951
0.378313253,LY,-0.13619435
0.371485944,Sal,-0.105998762
0.371485944,LY,-0.142698125
0.364658635,Sal,-0.110700584
0.364658635,LY,-0.149727826
0.357831325,Sal,-0.115809301
0.357831325,LY,-0.156927113
0.351004016,Sal,-0.121094345
0.351004016,LY,-0.163935062
0.344176707,Sal,-0.126288154
0.344176707,LY,-0.170430159
0.337349398,Sal,-0.131128953
0.337349398,LY,-0.176162677
0.330522088,Sal,-0.135390236
0.330522088,LY,-0.180961114
0.323694779,Sal,-0.138907281
0.323694779,LY,-0.184720662
0.31686747,Sal,-0.141588898
0.31686747,LY,-0.187396254
0.310040161,Sal,-0.143405519
0.310040161,LY,-0.189003511
0.303212851,Sal,-0.144359427
0.303212851,LY,-0.189617695
0.296385542,Sal,-0.144449025
0.296385542,LY,-0.189383886
0.289558233,Sal,-0.143643515
0.289558233,LY,-0.188541492
0.282730924,Sal,-0.141876826
0.282730924,LY,-0.187421433
0.275903614,Sal,-0.139068339
0.275903614,LY,-0.186395651
0.269076305,Sal,-0.135182975
0.269076305,LY,-0.185806688
0.262248996,Sal,-0.1303066
0.262248996,LY,-0.185899126
0.255421687,Sal,-0.124682347
0.255421687,LY,-0.186774609
0.248594378,Sal,-0.118690002
0.248594378,LY,-0.188398157
0.241767068,Sal,-0.112785604
0.241767068,LY,-0.190642469
0.234939759,Sal,-0.107420063
0.234939759,LY,-0.193333805
0.22811245,Sal,-0.10296245
0.22811245,LY,-0.196282482
0.221285141,Sal,-0.099654303
0.221285141,LY,-0.199286187
0.214457831,Sal,-0.097605089
0.214457831,LY,-0.20211008
0.207630522,Sal,-0.096812225
0.207630522,LY,-0.204479869
0.200803213,Sal,-0.097169553
0.200803213,LY,-0.20610107
0.193975904,Sal,-0.098459048
0.193975904,LY,-0.206686892
0.187148594,Sal,-0.100361566
0.187148594,LY,-0.205999454
0.180321285,Sal,-0.102499228
0.180321285,LY,-0.203902477
0.173493976,Sal,-0.104487172
0.173493976,LY,-0.200393466
0.166666667,Sal,-0.105986936
0.166666667,LY,-0.195612772
0.159839357,Sal,-0.106767011
0.159839357,LY,-0.189847848
0.153012048,Sal,-0.106752264
0.153012048,LY,-0.183520023
0.146184739,Sal,-0.106030379
0.146184739,LY,-0.177148126
0.13935743,Sal,-0.104815636
0.13935743,LY,-0.171307231
0.13253012,Sal,-0.103396381
0.13253012,LY,-0.166583954
0.125702811,Sal,-0.102074411
0.125702811,LY,-0.163524163
0.118875502,Sal,-0.101099815
0.118875502,LY,-0.1625793
0.112048193,Sal,-0.100622806
0.112048193,LY,-0.164063747
0.105220884,Sal,-0.100672875
0.105220884,LY,-0.168144257
0.098393574,Sal,-0.101160806
0.098393574,LY,-0.174859224
0.091566265,Sal,-0.101906136
0.091566265,LY,-0.184136612
0.084738956,Sal,-0.102687943
0.084738956,LY,-0.195801488
0.077911647,Sal,-0.103306208
0.077911647,LY,-0.209580512
0.071084337,Sal,-0.103639318
0.071084337,LY,-0.225093367
0.064257028,Sal,-0.103677661
0.064257028,LY,-0.241836371
0.057429719,Sal,-0.103518945
0.057429719,LY,-0.259193522
0.05060241,Sal,-0.10333091
0.05060241,LY,-0.276487568
0.0437751,Sal,-0.103299612
0.0437751,LY,-0.293042371
