subject,date,drug,channel,uniqueID,includeSubj,trialexclude,trialNum,rewardMagnitude,responselatency,MagEntry10sPre,MagEntry10sPost,AUC5s,peak5s,latency2peak5s
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,5,4,3,6,1,0.751004956,0.422716718,1.1
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,6,2,16,4,9,11.80435799,0.610880589,1
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,7,4,4,1,7,1.107009096,0.360033937,0.5
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,8,2,0,8,4,6.650239356,0.511231926,1.5
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,9,1,3,8,6,6.346229841,0.37433377,1.4
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,10,2,1,1,5,5.591130043,0.594821031,3.3
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,11,1,2,3,6,5.664378269,0.734136674,4.3
52,20130913,LY,0,52_20130913_0_LY,TRUE,FALSE,12,4,4,2,1,9.311913214,0.697114379,4.7
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,1,2,48,0,1,9.393502678,0.446751633,2.2
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,2,1,3,0,5,16.19779782,0.829150877,3.6
54,20140617,LY,0,54_20140617_0_LY,TRUE,TRUE,3,4,5,1,1,6.892173705,0.585809714,4.7
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,4,1,45,0,3,14.57804311,0.540131083,2.2
54,20140617,LY,0,54_20140617_0_LY,TRUE,TRUE,5,4,11,1,3,1.309324954,0.667411059,2.7
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,6,2,0,4,0,4.293422033,0.939739247,1.5
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,7,4,5,2,2,21.07076957,2.780136633,4.3
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,8,2,3,6,2,9.876148789,0.524623959,1.8
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,9,1,6,4,4,2.997934414,0.467082494,1.4
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,10,2,0,2,1,1.169872632,1.112390367,4.5
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,11,1,0,6,0,-10.36037302,0.391742638,3.9
54,20140617,LY,0,54_20140617_0_LY,TRUE,FALSE,12,4,2,3,1,15.66126353,0.852572046,0.8
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,1,2,21,1,1,8.771980283,0.604755017,2.6
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,2,1,6,1,4,-1.471307563,0.457985411,1.1
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,3,4,7,3,1,1.125061517,1.555985465,3.4
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,4,1,11,1,3,-2.515753553,0.230161474,1.1
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,5,4,2,2,1,-3.603020547,0.879043483,3.9
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,6,2,4,2,1,-8.24610423,0.47203867,2.8
