Condition,SubjID,Drug,RewardSize,TotalTrials,prop_Slever,prop_Llever,prop_Mag,prop_Other,Slever,Llever,Mag,Other,prop_congruentlever,prop_incongruentlever,congruentlever,incongruentlever,Bothlevers,prop_Bothlevers,prop_totalLever_congruentlever,prop_totalLever_incongruentlever,prop_totalLever_Slever,prop_totalLever_Llever,not_Slever,not_Llever,not_Mag,not_Bothlevers,not_congruentlever,not_incongruentlever
SKF_Small,22,SKF,Small,10,0.1,0.3,0,0.6,1,3,0,6,0.1,0.3,1,3,4,0.4,0.25,0.75,0.25,0.75,9,7,10,6,9,7
SKF_Small,23,SKF,Small,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1
SKF_Small,25,SKF,Small,9,0.1111,0.3333,0.3333,0.2222,1,3,3,2,0.1111,0.3333,1,3,4,0.444444444444444,0.25,0.75,0.25,0.75,8,6,6,5,8,6
SKF_Large,13,SKF,Large,33,0.0303,0,0,0.9697,1,0,0,32,0,0.0303,0,1,1,0.0303030303030303,0,1,1,0,32,33,33,32,33,32
SKF_Large,14,SKF,Large,12,0.0833,0.6667,0,0.25,1,8,0,3,0.6667,0.0833,8,1,9,0.75,0.888888888888889,0.111111111111111,0.111111111111111,0.888888888888889,11,4,12,3,4,11
SKF_Large,16,SKF,Large,21,0.0476,0,0.0476,0.9048,1,0,1,19,0,0.0476,0,1,1,0.0476190476190476,0,1,1,0,20,21,20,20,21,20
SKF_Large,19,SKF,Large,9,0.1111,0.3333,0.3333,0.2222,1,3,3,2,0.3333,0.1111,3,1,4,0.444444444444444,0.75,0.25,0.25,0.75,8,6,6,5,6,8
SKF_Large,20,SKF,Large,30,0.2333,0.4,0.2,0.1667,7,12,6,5,0.4,0.2333,12,7,19,0.633333333333333,0.631578947368421,0.368421052631579,0.368421052631579,0.631578947368421,23,18,24,11,18,23
SKF_Large,21,SKF,Large,19,0.1579,0.2105,0.2105,0.4211,3,4,4,8,0.2105,0.1579,4,3,7,0.368421052631579,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,16,15,15,12,15,16
SKF_Large,25,SKF,Large,13,0,0.1538,0.6154,0.2308,0,2,8,3,0.1538,0,2,0,2,0.153846153846154,1,0,0,1,13,11,5,11,11,13
