folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Period,state_ID,CS_name,Stage,Day
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,257,12,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,258,13,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,259,14,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,260,15,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,261,16,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,262,17,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,5,263,18,0,0,0,0,0,0,0,0,A,CS,Tone,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,7,264,1,0,0,0,0,0,0,0,0,A,Post,Pelletx1,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,7,265,2,0,0,0,0,0,0,0,0,A,Post,Pelletx1,D+,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,7,266,3,0,0,0,0,0,0,0,0,A,Post,Pelletx1,D+,Stage1,Day1
