Period,Time,SAL_M01007385,SAL_M01043741,SAL_M01043743,SAL_M01059148,SAL_M1059151,SAL_M1059153,LY_M01007386,LY_M01007391,LY_M01043738,LY_M01043742,LY_M01059147,LY_M1059152
Post,8.2,-0.077604824,3.37300902,1.795290463,0.537939025,0.468240295,0.995018277,1.684406648,0.740778618,0.447217286,0.93240927,0.940451021,0.340168187
Post,8.3,-0.054196762,3.524467754,1.798243643,0.46232082,0.984240116,0.953367984,1.506256787,0.626139017,0.503353532,0.848610072,0.8379866,0.353509279
Post,8.4,0.000154257,3.176339862,1.621748183,0.548913872,0.501512139,0.8991781,1.923248036,0.653508518,0.415948318,0.651361381,0.767542465,0.278612711
Post,8.5,0.115911303,3.008150536,1.505477554,0.3380856,0.726873636,0.854160881,1.536984361,0.5981892,0.37917322,0.487289626,0.610443589,0.397214259
Post,8.6,0.089542695,2.97934857,1.542230554,0.353225032,1.488215837,0.759456629,1.878328348,0.569374144,0.435048308,0.460583459,0.456644524,0.347573501
Post,8.7,0.084021255,2.892825393,1.533431852,0.358938259,0.862745509,0.724419472,1.954058242,0.643583415,0.483761502,0.519570327,0.309617298,0.307450406
Post,8.8,-0.024052878,2.309405247,1.534425798,0.288104766,1.168221861,0.686124965,1.025872503,0.744596599,0.457038329,0.404786778,0.466612403,0.298867476
Post,8.9,-0.024153871,2.32653607,1.4675349,0.364698582,0.952177626,0.636831753,1.906122166,0.567455646,0.483689344,0.42708554,0.565594914,0.367935328
Post,9,-0.046994496,2.730212679,1.389271782,0.402960986,0.174785797,0.58026516,1.853391942,0.459321687,0.263272731,0.407712572,0.689667469,0.345909659
Post,9.1,0.029022107,2.051165519,1.375060329,0.227765363,0.430241375,0.549906385,0.729627163,0.316090382,0.203928396,0.35090605,0.724534841,0.348769048
Post,9.2,-0.001905538,2.738639157,1.349466756,0.357519009,1.927060932,0.419291074,0.963027256,0.409837101,0.223967787,0.451048712,0.604429941,0.337177049
Post,9.3,-0.011912633,2.768944936,1.242325439,0.304997277,1.281245061,0.45526138,1.127532303,0.547625118,0.242453799,0.560523741,0.578029551,0.317839668
Post,9.4,-0.046000915,2.739919569,1.285531884,0.216258752,1.615890332,0.358963513,0.62557292,0.585339705,0.334388313,0.331862567,0.379934034,0.30240469
Post,9.5,-0.127841232,2.665824914,1.161966203,0.09138402,0.879924943,0.424477621,1.218433892,0.432411536,0.337249788,0.338395504,0.375409846,0.235579586
Post,9.6,-0.132575978,2.510969822,1.156950193,0.086129109,1.861395605,0.405230672,0.623645057,0.430816136,0.366594681,0.45305127,0.414404733,0.074641766
Post,9.7,-0.109290603,2.63242081,1.17401962,0.160205751,0.605972112,0.299543545,1.856154863,0.435878529,0.453216906,0.526703122,0.250016268,0.018748666
