RewardMagnitude,Time,R29_20130227_0_SAL,R34_20130301_0_SAL,R52_20130911_0_SAL,R54_20140619_0_SAL,R56_20140619_0_SAL,R57_20140618_0_SAL,R58_20140620_0_SAL,R69_20141211_0_SAL,R72_20141212_0_SAL,R29_20130227_1_SAL,R32_20130301_1_SAL,R34_20130301_1_SAL,R52_20130911_1_SAL,R54_20140619_1_SAL,R55_20140617_1_SAL,R57_20140618_1_SAL,R69_20141211_1_SAL,R72_20141212_1_SAL,R29_20130301_0_LY,R34_20130227_0_LY,R52_20130913_0_LY,R54_20140617_0_LY,R56_20140617_0_LY,R57_20140620_0_LY,R58_20140618_0_LY,R69_20141209_0_LY,R72_20141210_0_LY,R29_20130301_1_LY,R32_20130227_1_LY,R34_20130227_1_LY,R52_20130913_1_LY,R54_20140617_1_LY,R55_20140619_1_LY,R57_20140620_1_LY,R69_20141209_1_LY,R72_20141210_1_LY
1,2.2,-0.10587279,0.020825392,-0.218984126,0.03352409,-0.03785619,-0.033587013,0.11766063,0.085970438,0.091985382,-0.072103697,-0.073558907,-0.101418613,-0.031459247,-0.172180157,0.056425082,0.18077275,0.061825815,0.014036447,-0.135857263,0.076764108,0.00419752,-0.06999079,0.009639871,0.040792425,-0.24318076,-0.228805409,0.037813025,-0.05472202,-0.160306635,-0.119793547,0.057738551,-0.191895399,-0.037915388,0.123452529,-0.058154907,-0.136425273
1,2.3,-0.081661218,0.028643658,-0.232908529,0.020070409,-0.038328245,-0.055994028,0.108461557,0.030773059,0.106304032,-0.054120035,-0.045065247,-0.103930007,-0.008357626,-0.188455434,0.077348521,0.147024166,0.0203387,0.018937186,-0.14272653,0.044611413,-0.026794711,-0.062153932,0.021267732,0.023379825,-0.236384042,-0.248820024,0.048630749,-0.059371397,-0.147077584,-0.125491423,0.037585997,-0.199311096,-0.035074834,0.108813328,-0.059614843,-0.140788849
1,2.4,-0.097343801,0.01621227,-0.23256383,0.016238767,-0.040956399,-0.071345961,0.069587573,0.01125042,0.099204792,-0.062816163,-0.060027706,-0.118994372,0.023700077,-0.187716455,0.099651528,0.142608344,0.010605502,0.002757427,-0.13837671,0.047766428,-0.056085397,-0.051121772,0.020193053,0.041424377,-0.237451756,-0.241570522,0.020413918,-0.045453917,-0.148268764,-0.118368852,0.018396933,-0.169193076,-0.010925997,0.115886688,-0.056124464,-0.148128834
1,2.5,-0.095920116,-0.008392155,-0.193167649,0.000534293,-0.023464005,-0.060856826,0.04590408,-0.009168516,0.097219437,-0.049644288,-0.078385857,-0.13888196,0.048258319,-0.211181597,0.121088724,0.137901422,0.013552674,-0.006480648,-0.147414428,0.051703556,-0.045837194,-0.051870454,0.040780784,0.049224421,-0.239146931,-0.241093008,0.014605022,-0.050471076,-0.146886224,-0.107847285,0.028127543,-0.16589797,0.019954347,0.124650044,-0.061847753,-0.16644649
1,2.6,-0.089083935,-0.049039317,-0.150230583,-0.035593732,-0.03816256,-0.060500659,0.00874848,-0.049708366,0.041769419,-0.025374657,-0.100311544,-0.165801061,0.052758708,-0.248694937,0.146849332,0.137304769,-0.008573174,-0.044260111,-0.138154053,0.060728003,-0.033898999,-0.061011405,0.050818825,0.020967884,-0.263286202,-0.226944141,-0.000803723,-0.040054623,-0.130521078,-0.098330815,0.020358687,-0.172108776,0.033499636,0.113903475,-0.053947436,-0.18831649
1,2.7,-0.082527974,-0.04173011,-0.180045581,-0.035177637,-0.03111593,-0.090444089,-0.041242137,-0.033545851,0.054998516,-0.021745723,-0.07213916,-0.147577829,0.072041006,-0.227696465,0.154223389,0.113501442,-0.014673115,-0.014160274,-0.135354475,0.061532319,-0.038239076,-0.073973289,0.054351169,0.024608083,-0.301271507,-0.231595279,-0.009747401,-0.041720577,-0.133295976,-0.081582906,0.019745529,-0.17666086,0.030225056,0.099809785,-0.070853803,-0.196100177
1,2.8,-0.100811606,-0.026441287,-0.156973512,-0.025777658,-0.042906773,-0.10527986,-0.043783055,-0.00192966,0.038533591,-0.057673701,-0.088994338,-0.139557091,0.047593864,-0.216376419,0.164230324,0.145590968,-1.74E-05,-0.009101361,-0.136474732,0.081735817,-0.061325679,-0.063171151,0.051435582,0.035969698,-0.320829284,-0.214607481,0.005488705,-0.058444411,-0.14035559,-0.095675867,0.0081338,-0.160240047,0.033086823,0.122825417,-0.059392086,-0.181067567
1,2.9,-0.089774124,-0.029950186,-0.162257964,-0.035785474,-0.035943286,-0.10738996,-0.064560924,0.002972703,0.045009069,-0.055680809,-0.09360108,-0.132224994,0.017195423,-0.207810429,0.179808047,0.145448214,0.010742459,-0.00490446,-0.140649059,0.065019371,-0.056263292,-0.076920522,0.062240622,0.024912251,-0.322963342,-0.236324325,0.014010238,-0.073089105,-0.13651603,-0.138888231,0.007498703,-0.191081972,0.029017254,0.10696865,-0.074940603,-0.17973378
1,3,-0.0702032,-0.029963719,-0.187073094,-0.01853923,-0.04304885,-0.116173951,-0.06795044,0.0077819,0.073159184,-0.04549222,-0.095135636,-0.109823141,-0.024622868,-0.187491185,0.144559453,0.11762585,-0.00482194,0.011469295,-0.115520551,0.044363385,-0.089759542,-0.066980616,0.064985562,0.01785105,-0.329049216,-0.233446926,0.013064294,-0.0543346,-0.147937278,-0.138103497,-0.007565342,-0.187037926,0.04669787,0.082115741,-0.074839403,-0.154852816
1,3.1,-0.046223057,-0.022916892,-0.215683971,-0.032266685,-0.022904166,-0.092010503,-0.057995135,0.017475396,0.056699965,-0.041158308,-0.079197389,-0.075745973,-0.057407198,-0.178127909,0.120710721,0.108613035,-0.009098659,-0.006182749,-0.105238938,0.025445494,-0.10043531,-0.049196343,0.064330258,0.029876073,-0.324621296,-0.224179439,0.019778615,-0.048564026,-0.143255526,-0.136452325,-0.009830988,-0.177847568,0.037135345,0.080357579,-0.081767961,-0.161655289
1,3.2,-0.048134586,-0.003942313,-0.208902112,-0.057678039,-0.024791787,-0.073408141,-0.071207451,0.007154043,0.037970941,-0.051551247,-0.113366591,-0.057202875,-0.106267055,-0.179955545,0.134316182,0.11597089,-0.001361822,-0.041144568,-0.099357392,0.011249403,-0.108795501,-0.050301336,0.070381546,0.027973697,-0.30455253,-0.209056233,0.031606412,-0.073907641,-0.160339038,-0.139701622,-0.027709079,-0.188363828,0.03716879,0.087249096,-0.071535545,-0.162567451
1,3.3,-0.02359455,-0.008256001,-0.246006717,-0.074220729,-0.028308389,-0.071129305,-0.066903311,-0.020151986,0.017721702,-0.022766021,-0.114068011,-0.047988543,-0.135105723,-0.197856619,0.143963722,0.094000519,-0.001197048,-0.05468126,-0.116842728,-0.008363712,-0.101674711,-0.055961945,0.073683838,0.044366562,-0.287139694,-0.234647537,0.017136447,-0.082184123,-0.164487966,-0.139892662,-0.044427442,-0.202132431,0.040797037,0.083375819,-0.095177592,-0.179363176
1,3.4,0.00078995,0.003285972,-0.22850284,-0.067421378,-0.046323126,-0.094578567,-0.088009244,-0.064269304,0.014239582,-0.012258254,-0.117894055,-0.027621008,-0.127435381,-0.214742109,0.129135888,0.073278962,-0.037369375,-0.044229838,-0.138216347,0.004642247,-0.082343436,-0.057738642,0.079975404,0.028385669,-0.281274134,-0.229739853,0.014392455,-0.102927275,-0.169694386,-0.118933026,-0.029021186,-0.200501302,0.046609717,0.079577029,-0.094231541,-0.174577499
1,3.5,-0.015510654,0.018093446,-0.213611162,-0.070289317,-0.036987447,-0.080287611,-0.077569526,-0.090769114,-0.004417859,-0.045519458,-0.095824869,-0.04654314,-0.093543015,-0.210151425,0.140473737,0.091442859,-0.053887585,-0.057715172,-0.169880439,-0.01006363,-0.063831385,-0.078264499,0.078446464,0.046853591,-0.266445774,-0.233771728,0.005293852,-0.137983355,-0.168562716,-0.134449975,-0.038506416,-0.192902672,0.016609379,0.105622576,-0.101574899,-0.195724797
