Voltage,Sal,LY
0.13935743,-0.103039083,0.175073789
0.146184739,-0.099530902,0.184162819
0.153012048,-0.095177957,0.191701232
0.159839357,-0.090278195,0.197804533
0.166666667,-0.085157792,0.202730461
0.173493976,-0.080116634,0.206848217
0.180321285,-0.075356798,0.210565575
0.187148594,-0.07093641,0.214236894
0.193975904,-0.066753788,0.218093512
0.200803213,-0.062562034,0.222192808
0.207630522,-0.058036079,0.226404007
0.214457831,-0.052865451,0.230468097
0.221285141,-0.04682187,0.234097131
0.22811245,-0.039799123,0.237051634
0.234939759,-0.031830955,0.239192531
0.241767068,-0.023069697,0.240520603
0.248594378,-0.0137344,0.241188907
0.255421687,-0.004070668,0.24148466
0.262248996,0.005665905,0.241806715
0.269076305,0.015228062,0.242645167
0.275903614,0.024394373,0.244535197
0.282730924,0.032959178,0.247974464
0.289558233,0.040705387,0.253332676
0.296385542,0.047398677,0.260792301
0.303212851,0.052814256,0.270339199
0.310040161,0.056774877,0.281791391
0.31686747,0.059181603,0.294845107
0.323694779,0.060036403,0.30912161
0.330522088,0.059452084,0.324191314
0.337349398,0.057633678,0.339568805
0.344176707,0.054834897,0.354721271
0.351004016,0.051313657,0.369135011
0.357831325,0.047297218,0.382415982
0.364658635,0.042950674,0.394367923
0.371485944,0.038348066,0.405031839
0.378313253,0.033462254,0.414678372
0.385140562,0.028193115,0.423735553
0.391967871,0.022432162,0.432686675
0.398795181,0.016136082,0.442000044
0.40562249,0.009386468,0.452099649
0.412449799,0.002432439,0.46334631
0.419277108,-0.004293248,0.476013962
0.426104418,-0.010201189,0.490271104
0.432931727,-0.014609482,0.506174268
0.439759036,-0.016823698,0.523662238
0.446586345,-0.016220628,0.542557476
0.453413655,-0.012319988,0.562592813
0.460240964,-0.0048202,0.583446933
0.467068273,0.00641177,0.604772196
0.473895582,0.021395503,0.626225552
0.480722892,0.040122709,0.647499439
0.487550201,0.062629005,0.668344614
0.49437751,0.089006744,0.688589084
0.501204819,0.119354137,0.708134677
0.508032129,0.15368937,0.726922524
0.514859438,0.191868308,0.744909796
0.521686747,0.233540015,0.762080406
0.528514056,0.278153781,0.778466584
0.535341365,0.325000954,0.794180683
0.542168675,0.373257093,0.809465034
0.548995984,0.422010961,0.824715429
0.555823293,0.470299027,0.840447513
0.562650602,0.517157788,0.857251652
0.569477912,0.561689126,0.875762078
0.576305221,0.603126918,0.896605568
0.58313253,0.640880169,0.920334996
0.589959839,0.674543748,0.947386405
0.596787149,0.703899468,0.978041329
0.603614458,0.728920842,1.012370419
0.610441767,0.749778463,1.050197269
0.617269076,0.766840794,1.091106924
0.624096386,0.78064513,1.134463227
0.630923695,0.791812111,1.179425766
0.637751004,0.800928036,1.224999978
0.644578313,0.808456013,1.27011099
0.651405622,0.814701758,1.313667665
0.658232932,0.819822169,1.354625821
0.665060241,0.823878445,1.392060433
0.67188755,0.826912459,1.425219709
0.678714859,0.82897779,1.453549114
0.685542169,0.830109645,1.476708295
0.692369478,0.830288483,1.494584787
0.699196787,0.82942086,1.507284024
0.706024096,0.827331784,1.515091746
0.712851406,0.823789761,1.518409175
0.719678715,0.818574234,1.517660722
0.726506024,0.811548495,1.513207301
0.733333333,0.802701349,1.50529835
