Group,Subj,PreCS_Acquisition_Day1,PreCS_Acquisition_Day2,PreCS_Acquisition_Day3,PreCS_Acquisition_Day4,PreCS_Acquisition_Day5,PreCS_Acquisition_Day6,PreCS_Acquisition_Day7,PreCS_Acquisition_Day8,PreCS_Acquisition_Day9,PreCS_PostAcquisition_Day10,PreCS_PostAcquisition_Day11,PreCS_Infusion_Day12,PreCS_Infusion_Day13,PreCS_Infusion_Day14,PreCS_Infusion_Day15,PreCS_NoInfusion_Day16,PreCS_NoInfusion_Day17,CS_Acquisition_Day1,CS_Acquisition_Day2,CS_Acquisition_Day3,CS_Acquisition_Day4,CS_Acquisition_Day5,CS_Acquisition_Day6,CS_Acquisition_Day7,CS_Acquisition_Day8,CS_Acquisition_Day9,CS_PostAcquisition_Day10,CS_PostAcquisition_Day11,CS_Infusion_Day12,CS_Infusion_Day13,CS_Infusion_Day14,CS_Infusion_Day15,CS_NoInfusion_Day16,CS_NoInfusion_Day17,CSminusPreCS_Acquisition_Day1,CSminusPreCS_Acquisition_Day2,CSminusPreCS_Acquisition_Day3,CSminusPreCS_Acquisition_Day4,CSminusPreCS_Acquisition_Day5,CSminusPreCS_Acquisition_Day6,CSminusPreCS_Acquisition_Day7,CSminusPreCS_Acquisition_Day8,CSminusPreCS_Acquisition_Day9,CSminusPreCS_PostAcquisition_Day10,CSminusPreCS_PostAcquisition_Day11,CSminusPreCS_Infusion_Day12,CSminusPreCS_Infusion_Day13,CSminusPreCS_Infusion_Day14,CSminusPreCS_Infusion_Day15,CSminusPreCS_NoInfusion_Day16,CSminusPreCS_NoInfusion_Day17
Muscimol,29,2.4375,1.3125,.875,1.1875,.9375,.75,.3125,1.6875,.625,.4375,.6875,.6875,.0625,.5625,.4375,.3125,.875,2.375,2.6875,3.375,1.875,4.0625,5.1875,4.8125,5.5625,6,7.3125,2.5625,4.4375,4.25,4.375,5.4375,4.125,5.875,-.0625,1.375,2.5,.6875,3.125,4.4375,4.5,3.875,5.375,6.875,1.875,3.75,4.1875,3.8125,5,3.8125,5
Muscimol,31,2.375,2.3125,.9375,.8125,2.3125,1.3125,.6875,1.5625,2,.5625,.1875,1,.5,.8125,.3125,0,3.9375,3.625,5.125,5.25,4.5625,6.375,7.5,8.0625,12.5625,11.3125,6.0625,4.0625,5.6875,5.875,7,6.625,10.4375,16.8125,1.25,2.8125,4.3125,3.75,4.0625,6.1875,7.375,11,9.3125,5.5,3.875,4.6875,5.375,6.1875,6.3125,10.4375,12.875
Saline,3,1.3125,.5,3.375,1.8125,1.9375,1.375,.4375,1.5,3.9375,.0625,1.0625,.5625,0,.625,.3125,.0625,1.9375,3.875,7.6875,7.5,10.5625,6.3125,7.5,8.0625,13.375,20,1.8125,4.5625,5,8.625,8,10,15.125,18.375,2.5625,7.1875,4.125,8.75,4.375,6.125,7.625,11.875,16.0625,1.75,3.5,4.4375,8.625,7.375,9.6875,15.0625,16.4375
Saline,4,1.3125,1.6875,1.1875,1.25,.4375,.875,2.1875,1.6875,2.1875,.125,1.3125,.0625,.75,1.75,1.75,.9375,1.125,2.125,4.0625,4.875,6.9375,7,10.5,10.875,10.5625,8.3125,3.25,6.0625,5.8125,7.6875,6.1875,6.5,7.125,5.6875,.8125,2.375,3.6875,5.6875,6.5625,9.625,8.6875,8.875,6.125,3.125,4.75,5.75,6.9375,4.4375,4.75,6.1875,4.5625
Saline,8,1.125,1.875,1.25,.6875,.5,.4375,.375,.125,.4375,.125,.625,.4375,.4375,.375,0,0,.75,3.9375,5.625,6.8125,6.1875,4.6875,7.375,6.375,5.5625,4.3125,8.4375,4,4.75,5.125,5.9375,6.75,6.8125,6.5625,2.8125,3.75,5.5625,5.5,4.1875,6.9375,6,5.4375,3.875,8.3125,3.375,4.3125,4.6875,5.5625,6.75,6.8125,5.8125
Saline,10,3.5,2.375,1.9375,1.875,.6875,2.5625,2.6875,3,3.4375,1.6875,1.8125,.5625,.75,3.875,4.3125,2.875,2.375,3.375,5.5,4.8125,9.625,15.75,10.1875,13.6875,15.5,17.375,14.5,10.125,9.8125,8.75,17.25,16.125,16.75,21.875,-.125,3.125,2.875,7.75,15.0625,7.625,11,12.5,13.9375,12.8125,8.3125,9.25,8,13.375,11.8125,13.875,19.5
Saline,12,2.3125,1.625,1.3125,1,1.25,.625,1.5625,1.125,2.5625,.25,.0625,.0625,.4375,1.75,.6875,1.125,1.5,3.75,5.4375,6.25,5.625,6.75,6.125,6.9375,5.75,6.25,6.0625,4.4375,4.5625,4.3125,4.9375,4.875,6.3125,6.8125,1.4375,3.8125,4.9375,4.625,5.5,5.5,5.375,4.625,3.6875,5.8125,4.375,4.5,3.875,3.1875,4.1875,5.1875,5.3125
Saline,15,3.3125,1.375,1.125,.5,.75,.1875,.5,.625,.9375,.5,.875,.0625,.0625,.1875,.0625,.75,.8125,1.6875,5.125,5.8125,8,7.1875,6.625,6.3125,8.9375,7.6875,3.3125,3.1875,5.25,6.8125,6.1875,9.3125,8,10.3125,-1.625,3.75,4.6875,7.5,6.4375,6.4375,5.8125,8.3125,6.75,2.8125,2.3125,5.1875,6.75,6,9.25,7.25,9.5
Saline,18,2.375,2.6875,1.5,1.9375,.8125,1.6875,1,1.75,1.0625,.75,.9375,.625,.8125,1.1875,1.5625,2.375,3.75,3.1875,4.125,4.125,6,6.25,6.875,7.125,7.0625,6.8125,8,6.8125,5.4375,9.4375,15.4375,11.875,11.25,16.0625,.8125,1.4375,2.625,4.0625,5.4375,5.1875,6.125,5.3125,5.75,7.25,5.875,4.8125,8.625,14.25,10.3125,8.875,12.3125
Saline,20,2.1875,3.125,1.4375,.625,1.4375,2.375,1.0625,1.75,2.1875,1.4375,.0625,.1875,0,.5,1,.625,1.1875,3.1875,5.5625,6.75,7.3125,8.75,8.1875,7.3125,8.4375,8.75,8.375,7.625,7.0625,7.0625,8.8125,8.25,6.5,7.625,1,2.4375,5.3125,6.6875,7.3125,5.8125,6.25,6.6875,6.5625,6.9375,7.5625,6.875,7.0625,8.3125,7.25,5.875,6.4375
