Subject,InfusionGroup,Block5mins,Distance,na.rm,Vertical Counts
18,Saline,5,204.87353875,TRUE,4.5
18,Saline,6,0,TRUE,0
18,Saline,7,403.4486952,TRUE,5.5
18,Saline,8,0,TRUE,0
18,Saline,9,0,TRUE,0
18,Saline,10,0,TRUE,0
18,Saline,11,13.898440936,TRUE,0
18,Saline,12,0,TRUE,0
19,Muscimol,1,942.3229387,TRUE,34.5
19,Muscimol,2,186.5481872,TRUE,13.5
19,Muscimol,3,10.42897002,TRUE,12.5
19,Muscimol,4,136.114729041,TRUE,10
19,Muscimol,5,33.85091169,TRUE,2
19,Muscimol,6,3.175,TRUE,3.5
19,Muscimol,7,43.433690295,TRUE,1
19,Muscimol,8,72.0734416,TRUE,1.5
19,Muscimol,9,194.2969478,TRUE,10
19,Muscimol,10,0,TRUE,0
19,Muscimol,11,233.77463520499998,TRUE,9
19,Muscimol,12,0,TRUE,0
20,Muscimol,1,847.39600485,TRUE,28.5
20,Muscimol,2,231.32859932999997,TRUE,8.5
20,Muscimol,3,293.360421,TRUE,12
20,Muscimol,4,20.80047763,TRUE,1.5
20,Muscimol,5,126.27126445,TRUE,1
20,Muscimol,6,3.237877391,TRUE,0
20,Muscimol,7,3.4195796525,TRUE,0
20,Muscimol,8,0,TRUE,0
20,Muscimol,9,43.99520585,TRUE,0
20,Muscimol,10,3.4195796525,TRUE,0
20,Muscimol,11,3.702654453,TRUE,0
20,Muscimol,12,0,TRUE,0
21,Saline,1,1243.94613925,TRUE,27
21,Saline,2,287.74793980000004,TRUE,26
21,Saline,3,25.5108031,TRUE,9.5
21,Saline,4,10.360111496,TRUE,0.5
21,Saline,5,287.002790455,TRUE,24.5
21,Saline,6,109.9609725,TRUE,6
21,Saline,7,3.4195796525,TRUE,0
21,Saline,8,0,TRUE,0
21,Saline,9,333.27340630000003,TRUE,11
21,Saline,10,19.396547765,TRUE,2
21,Saline,11,0,TRUE,0.5
21,Saline,12,0,TRUE,0
22,Saline,1,546.6824427500001,TRUE,18
22,Saline,2,274.31282562,TRUE,14.5
22,Saline,3,0,TRUE,0
22,Saline,4,3.702654453,TRUE,6.5
22,Saline,5,279.18363655,TRUE,13.5
22,Saline,6,3.8625542065,TRUE,0
22,Saline,7,31.452345605,TRUE,0
22,Saline,8,0,TRUE,0
22,Saline,9,85.06529615,TRUE,0
22,Saline,10,258.48547720249996,TRUE,6.5
22,Saline,11,0,TRUE,0
22,Saline,12,3.175,TRUE,0
23,Muscimol,1,1010.90225125,TRUE,25.5
23,Muscimol,2,406.86977682500003,TRUE,15.5
23,Muscimol,3,450.87586165000005,TRUE,22.5
23,Muscimol,4,65.7208851,TRUE,4.5
23,Muscimol,5,71.52425425,TRUE,0
23,Muscimol,6,0,TRUE,0
23,Muscimol,7,14.363217995,TRUE,0
23,Muscimol,8,14.030251935,TRUE,0
23,Muscimol,9,3.4195796525,TRUE,0
23,Muscimol,10,0,TRUE,0
23,Muscimol,11,88.80779605,TRUE,0
23,Muscimol,12,0,TRUE,0
24,Muscimol,1,1574.4564697,TRUE,30.5
24,Muscimol,2,359.0902312,TRUE,13
24,Muscimol,3,405.55190215000005,TRUE,11.5
24,Muscimol,4,17.0175685425,TRUE,0
24,Muscimol,5,409.19725635,TRUE,5
24,Muscimol,6,3.237877391,TRUE,0
24,Muscimol,7,293.2819453,TRUE,4
24,Muscimol,8,0,TRUE,0
24,Muscimol,9,17.50501125,TRUE,0
24,Muscimol,10,0,TRUE,0
24,Muscimol,11,0,TRUE,0
24,Muscimol,12,583.376067391,TRUE,7.5
