Day,Subject,Cue,US,CS_id,CS_name,Infusion,InfusionGroup,GroupCueID,CS,na.rm,PreCS,CS_Pre,Latency_mean,Latency_median
3,21,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.8333333333333334,TRUE,0.5,0.3333333333333333,10.142222222222221,10.3
3,22,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.388888888888889,TRUE,0.6666666666666666,1.7222222222222223,11.832777777777778,3.815
3,23,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.611111111111111,TRUE,0.6666666666666666,1.9444444444444444,4.015555555555555,2.81
3,24,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.7222222222222223,TRUE,0.16666666666666666,1.5555555555555556,7.250555555555556,7.4
4,1,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.3888888888888888,TRUE,0.2777777777777778,1.1111111111111112,17.90888888888889,5.69
4,2,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.7222222222222223,TRUE,0.2222222222222222,1.5,12.07388888888889,3.86
4,3,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.1111111111111112,TRUE,0.3333333333333333,0.7777777777777778,7.682222222222221,6.605
4,4,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.7222222222222223,TRUE,0.16666666666666666,1.5555555555555556,7.2283333333333335,7.87
4,5,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.1666666666666665,TRUE,0.8888888888888888,2.2777777777777777,4.775555555555555,3.91
4,6,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.3888888888888888,TRUE,0.3888888888888889,1,6.997222222222222,7.365
4,7,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.3333333333333333,TRUE,0.16666666666666666,1.1666666666666667,6.2622222222222215,5.935
4,8,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.5555555555555556,TRUE,0.16666666666666666,1.3888888888888888,13.437777777777779,6.79
4,9,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.9444444444444444,TRUE,0.4444444444444444,0.5,6.971666666666667,8.765
4,10,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.3333333333333333,TRUE,0.3333333333333333,1,6.098888888888889,5.97
4,11,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.5,TRUE,0.16666666666666666,1.3333333333333333,6.3805555555555555,7.14
4,12,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.9444444444444444,TRUE,0.2222222222222222,1.7222222222222223,6.975555555555555,5.14
4,13,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.5,TRUE,0.6111111111111112,0.8888888888888888,6.357777777777779,6.36
4,14,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.4444444444444444,TRUE,0.8888888888888888,0.5555555555555556,5.936111111111111,6.645
4,15,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.3333333333333333,TRUE,0.1111111111111111,1.2222222222222223,7.740555555555556,6.9
4,16,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.4444444444444444,TRUE,0.16666666666666666,1.2777777777777777,5.9944444444444445,4.84
4,17,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.1666666666666665,TRUE,0.8333333333333334,2.3333333333333335,3.5922222222222224,2.135
4,18,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.7222222222222223,TRUE,0.8888888888888888,2.8333333333333335,4.305,3.55
4,19,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.7222222222222223,TRUE,0.2777777777777778,2.4444444444444446,5.304444444444445,4.805
4,20,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,3.611111111111111,TRUE,0.3888888888888889,3.2222222222222223,3.3744444444444444,2.615
4,21,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.4444444444444444,TRUE,0.05555555555555555,0.3888888888888889,10.285,10.26
4,22,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.5555555555555554,TRUE,0.2777777777777778,2.2777777777777777,6.2444444444444445,5.89
4,23,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.2777777777777777,TRUE,0.16666666666666666,2.111111111111111,6.230555555555555,5.645
4,24,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.611111111111111,TRUE,0.2777777777777778,2.3333333333333335,7.522222222222222,5.485
5,1,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.2777777777777777,TRUE,0.16666666666666666,1.1111111111111112,34.98277777777778,11.025
5,2,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.9444444444444444,TRUE,0.1111111111111111,0.8333333333333334,7.794444444444444,10.165
5,3,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.7777777777777778,TRUE,0.5555555555555556,0.2222222222222222,8.58,10.22
5,4,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.3888888888888888,TRUE,0.1111111111111111,1.2777777777777777,7.863888888888889,9.875
5,5,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.111111111111111,TRUE,0.5555555555555556,1.5555555555555556,6.375,4.455
5,6,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.6666666666666667,TRUE,0.3888888888888889,1.2777777777777777,7.146111111111111,9.07
5,7,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.6666666666666666,TRUE,0.16666666666666666,0.5,14.270555555555557,10.31
5,8,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.6666666666666666,TRUE,0.2222222222222222,0.4444444444444444,16.796666666666667,10.49
5,9,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.1111111111111112,TRUE,0.1111111111111111,1,12.598888888888888,9.02
5,10,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.2222222222222223,TRUE,0,1.2222222222222223,9.115,9.78
5,11,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.9444444444444444,TRUE,0.2222222222222222,0.7222222222222222,8.943333333333333,10.14
5,12,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.7777777777777778,TRUE,0.2222222222222222,0.5555555555555556,11.73611111111111,10.215
5,13,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.16666666666666666,TRUE,0.2222222222222222,-0.05555555555555555,12.394444444444444,10.26
5,14,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.3888888888888888,TRUE,0.3888888888888889,1,16.602777777777778,7.905
5,15,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.5,TRUE,0.3888888888888889,1.1111111111111112,6.707777777777778,5.31
5,16,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.1111111111111112,TRUE,0,1.1111111111111112,11.202777777777778,9.23
5,17,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.388888888888889,TRUE,0.6666666666666666,1.7222222222222223,4.654444444444445,3.41
5,18,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.4444444444444446,TRUE,0.2222222222222222,3.2222222222222223,4.125555555555556,3.31
5,19,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.4444444444444446,TRUE,0.05555555555555555,2.388888888888889,10.235555555555555,5.235
5,20,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,3.111111111111111,TRUE,0.6111111111111112,2.5,4.486666666666667,4.035
5,21,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.8333333333333334,TRUE,0.16666666666666666,0.6666666666666666,8.690555555555555,10.19
5,22,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,2.611111111111111,TRUE,0.2777777777777778,2.3333333333333335,7.813888888888889,6.45
5,23,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.1666666666666665,TRUE,0.2222222222222222,1.9444444444444444,6.560555555555555,7.2
5,24,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.3333333333333335,TRUE,0.3333333333333333,2,7.651666666666666,7.465
6,1,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.7222222222222223,TRUE,0.2222222222222222,1.5,10.202777777777778,6.69
6,2,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.3333333333333333,TRUE,0.16666666666666666,1.1666666666666667,9.358333333333334,7.38
6,3,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.5555555555555556,TRUE,0,0.5555555555555556,8.867222222222221,10.13
6,4,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.1111111111111112,TRUE,0.05555555555555555,1.0555555555555556,24.043333333333337,10.14
6,5,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.7777777777777777,TRUE,0.2777777777777778,3.5,4.558333333333334,4.33
6,6,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.6666666666666665,TRUE,0.5555555555555556,2.111111111111111,3.7355555555555555,2.69
6,7,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.4444444444444444,TRUE,0.1111111111111111,0.3333333333333333,9.256666666666666,10.26
6,8,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.4444444444444444,TRUE,0.16666666666666666,1.2777777777777777,6.741666666666666,8.385
6,9,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.2777777777777778,TRUE,0.16666666666666666,0.1111111111111111,9.601666666666667,10.605
6,10,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,1.2222222222222223,TRUE,0,1.2222222222222223,6.7716666666666665,5.67
