Group,Exclusion,Subj,Period,Day,MagEntries
Muscimol,1,16,CSPre,Day9,1.25
Muscimol,1,16,CSPre,Day10,0.375
Saline,1,1,Pre,Day1,1.75
Saline,1,1,Pre,Day2,0.5
Saline,1,1,Pre,Day3,0.8125
Saline,1,1,Pre,Day4,0.25
Saline,1,1,Pre,Day5,0.0625
Saline,1,1,Pre,Day6,0.375
Saline,1,1,Pre,Day7,0.25
Saline,1,1,Pre,Day8,0.1875
Saline,1,1,Pre,Day9,0.4375
Saline,1,1,Pre,Day10,0.375
Saline,1,1,CS,Day1,0.8125
Saline,1,1,CS,Day2,0.4375
Saline,1,1,CS,Day3,1.3125
Saline,1,1,CS,Day4,0.5625
Saline,1,1,CS,Day5,2.625
Saline,1,1,CS,Day6,3.5
Saline,1,1,CS,Day7,2.25
Saline,1,1,CS,Day8,3.1875
Saline,1,1,CS,Day9,5.75
Saline,1,1,CS,Day10,6.125
Saline,1,1,CSPre,Day1,-0.9375
Saline,1,1,CSPre,Day2,-0.0625
Saline,1,1,CSPre,Day3,0.5
Saline,1,1,CSPre,Day4,0.3125
Saline,1,1,CSPre,Day5,2.5625
Saline,1,1,CSPre,Day6,3.125
Saline,1,1,CSPre,Day7,2
Saline,1,1,CSPre,Day8,3
Saline,1,1,CSPre,Day9,5.3125
Saline,1,1,CSPre,Day10,5.75
Saline,1,2,Pre,Day1,0
Saline,1,2,Pre,Day2,0.625
Saline,1,2,Pre,Day3,0.25
Saline,1,2,Pre,Day4,0
Saline,1,2,Pre,Day5,0.4375
Saline,1,2,Pre,Day6,0
Saline,1,2,Pre,Day7,0
Saline,1,2,Pre,Day8,0
Saline,1,2,Pre,Day9,0.0625
Saline,1,2,Pre,Day10,0.25
Saline,1,2,CS,Day1,0.125
Saline,1,2,CS,Day2,0.5
Saline,1,2,CS,Day3,0.8125
Saline,1,2,CS,Day4,0.8125
Saline,1,2,CS,Day5,0.625
Saline,1,2,CS,Day6,0.5625
Saline,1,2,CS,Day7,1
Saline,1,2,CS,Day8,1.4375
Saline,1,2,CS,Day9,0.8125
Saline,1,2,CS,Day10,0.6875
Saline,1,2,CSPre,Day1,0.125
Saline,1,2,CSPre,Day2,-0.125
Saline,1,2,CSPre,Day3,0.5625
Saline,1,2,CSPre,Day4,0.8125
Saline,1,2,CSPre,Day5,0.1875
Saline,1,2,CSPre,Day6,0.5625
Saline,1,2,CSPre,Day7,1
Saline,1,2,CSPre,Day8,1.4375
Saline,1,2,CSPre,Day9,0.75
Saline,1,2,CSPre,Day10,0.4375
Saline,1,3,Pre,Day1,0.0625
Saline,1,3,Pre,Day2,0.0625
Saline,1,3,Pre,Day3,0.1875
Saline,1,3,Pre,Day4,0.1875
Saline,1,3,Pre,Day5,0.4375
Saline,1,3,Pre,Day6,0.625
Saline,1,3,Pre,Day7,0.125
Saline,1,3,Pre,Day8,0
Saline,1,3,Pre,Day9,0.0625
Saline,1,3,Pre,Day10,0
Saline,1,3,CS,Day1,0.0625
Saline,1,3,CS,Day2,0.375
Saline,1,3,CS,Day3,0.5
Saline,1,3,CS,Day4,0.5625
Saline,1,3,CS,Day5,1.125
Saline,1,3,CS,Day6,0.625
Saline,1,3,CS,Day7,1.6875
Saline,1,3,CS,Day8,1.6875
Saline,1,3,CS,Day9,3.0625
Saline,1,3,CS,Day10,3.1875
Saline,1,3,CSPre,Day1,0
Saline,1,3,CSPre,Day2,0.3125
Saline,1,3,CSPre,Day3,0.3125
Saline,1,3,CSPre,Day4,0.375
Saline,1,3,CSPre,Day5,0.6875
Saline,1,3,CSPre,Day6,0
Saline,1,3,CSPre,Day7,1.5625
Saline,1,3,CSPre,Day8,1.6875
Saline,1,3,CSPre,Day9,3
Saline,1,3,CSPre,Day10,3.1875
Saline,1,4,Pre,Day1,0.1875
Saline,1,4,Pre,Day2,0.5625
Saline,1,4,Pre,Day3,0.125
Saline,1,4,Pre,Day4,0.5625
Saline,1,4,Pre,Day5,0.3125
Saline,1,4,Pre,Day6,1.0625
Saline,1,4,Pre,Day7,0.1875
Saline,1,4,Pre,Day8,0.3125
Saline,1,4,Pre,Day9,0
Saline,1,4,Pre,Day10,0.125
Saline,1,4,CS,Day1,0
Saline,1,4,CS,Day2,0.1875
Saline,1,4,CS,Day3,0.875
Saline,1,4,CS,Day4,1.3125
Saline,1,4,CS,Day5,2.75
Saline,1,4,CS,Day6,3.3125
Saline,1,4,CS,Day7,3.875
Saline,1,4,CS,Day8,3.3125
Saline,1,4,CS,Day9,3.6875
Saline,1,4,CS,Day10,4.9375
Saline,1,4,CSPre,Day1,-0.1875
Saline,1,4,CSPre,Day2,-0.375
Saline,1,4,CSPre,Day3,0.75
Saline,1,4,CSPre,Day4,0.75
Saline,1,4,CSPre,Day5,2.4375
Saline,1,4,CSPre,Day6,2.25
Saline,1,4,CSPre,Day7,3.6875
Saline,1,4,CSPre,Day8,3
Saline,1,4,CSPre,Day9,3.6875
Saline,1,4,CSPre,Day10,4.8125
Saline,1,5,Pre,Day1,0.6875
Saline,1,5,Pre,Day2,0
Saline,1,5,Pre,Day3,0.375
Saline,1,5,Pre,Day4,0.5
Saline,1,5,Pre,Day5,0.3125
Saline,1,5,Pre,Day6,0.3125
Saline,1,5,Pre,Day7,0.125
Saline,1,5,Pre,Day8,0.1875
Saline,1,5,Pre,Day9,0.5
Saline,1,5,Pre,Day10,0.0625
Saline,1,5,CS,Day1,0.3125
Saline,1,5,CS,Day2,0.3125
Saline,1,5,CS,Day3,0.5
Saline,1,5,CS,Day4,0.25
Saline,1,5,CS,Day5,0.625
Saline,1,5,CS,Day6,1.625
Saline,1,5,CS,Day7,2.125
Saline,1,5,CS,Day8,2.1875
Saline,1,5,CS,Day9,3.1875
Saline,1,5,CS,Day10,4.25
Saline,1,5,CSPre,Day1,-0.375
Saline,1,5,CSPre,Day2,0.3125
Saline,1,5,CSPre,Day3,0.125
Saline,1,5,CSPre,Day4,-0.25
Saline,1,5,CSPre,Day5,0.3125
Saline,1,5,CSPre,Day6,1.3125
Saline,1,5,CSPre,Day7,2
Saline,1,5,CSPre,Day8,2
Saline,1,5,CSPre,Day9,2.6875
Saline,1,5,CSPre,Day10,4.1875
Saline,1,6,Pre,Day1,0.5
Saline,1,6,Pre,Day2,0.4375
Saline,1,6,Pre,Day3,0.25
Saline,1,6,Pre,Day4,0.1875
Saline,1,6,Pre,Day5,0.375
Saline,1,6,Pre,Day6,0.8125
Saline,1,6,Pre,Day7,0.5625
Saline,1,6,Pre,Day8,0.6875
Saline,1,6,Pre,Day9,1
Saline,1,6,Pre,Day10,0.8125
Saline,1,6,CS,Day1,0.1875
Saline,1,6,CS,Day2,0.75
Saline,1,6,CS,Day3,0.6875
Saline,1,6,CS,Day4,2.0625
Saline,1,6,CS,Day5,1.875
Saline,1,6,CS,Day6,4.25
Saline,1,6,CS,Day7,3.4375
Saline,1,6,CS,Day8,3.9375
Saline,1,6,CS,Day9,3.8125
Saline,1,6,CS,Day10,4.25
Saline,1,6,CSPre,Day1,-0.3125
Saline,1,6,CSPre,Day2,0.3125
Saline,1,6,CSPre,Day3,0.4375
Saline,1,6,CSPre,Day4,1.875
Saline,1,6,CSPre,Day5,1.5
Saline,1,6,CSPre,Day6,3.4375
Saline,1,6,CSPre,Day7,2.875
Saline,1,6,CSPre,Day8,3.25
Saline,1,6,CSPre,Day9,2.8125
Saline,1,6,CSPre,Day10,3.4375
Saline,1,7,Pre,Day1,1.875
Saline,1,7,Pre,Day2,0.25
Saline,1,7,Pre,Day3,0
Saline,1,7,Pre,Day4,0.125
Saline,1,7,Pre,Day5,0.125
Saline,1,7,Pre,Day6,0.3125
Saline,1,7,Pre,Day7,0
Saline,1,7,Pre,Day8,0.4375
Saline,1,7,Pre,Day9,0
Saline,1,7,Pre,Day10,0
Saline,1,7,CS,Day1,1.3125
Saline,1,7,CS,Day2,0.3125
Saline,1,7,CS,Day3,0.4375
Saline,1,7,CS,Day4,1.25
Saline,1,7,CS,Day5,3
Saline,1,7,CS,Day6,3.375
Saline,1,7,CS,Day7,3.1875
Saline,1,7,CS,Day8,3.6875
Saline,1,7,CS,Day9,3.5625
Saline,1,7,CS,Day10,2.4375
Saline,1,7,CSPre,Day1,-0.5625
Saline,1,7,CSPre,Day2,0.0625
Saline,1,7,CSPre,Day3,0.4375
Saline,1,7,CSPre,Day4,1.125
Saline,1,7,CSPre,Day5,2.875
Saline,1,7,CSPre,Day6,3.0625
Saline,1,7,CSPre,Day7,3.1875
Saline,1,7,CSPre,Day8,3.25
Saline,1,7,CSPre,Day9,3.5625
Saline,1,7,CSPre,Day10,2.4375
Saline,1,8,Pre,Day1,0.8125
Saline,1,8,Pre,Day2,0.8125
Saline,1,8,Pre,Day3,1.25
