Group,Subject,Cue,Day,TrialBlock2,Period,MagEntries
Muscimol,23,AB,12,1,PreCS,0
Muscimol,23,AB,12,1,CS,2.5
Muscimol,23,AB,12,1,CSPre,2.5
Muscimol,23,AB,12,2,PreCS,0
Muscimol,23,AB,12,2,CS,6
Muscimol,23,AB,12,2,CSPre,6
Muscimol,23,AB,12,3,PreCS,0
Muscimol,23,AB,12,3,CS,3.5
Muscimol,23,AB,12,3,CSPre,3.5
Muscimol,23,CD,12,1,PreCS,0
Muscimol,23,CD,12,1,CS,2.5
Muscimol,23,CD,12,1,CSPre,2.5
Muscimol,23,CD,12,2,PreCS,0.5
Muscimol,23,CD,12,2,CS,4
Muscimol,23,CD,12,2,CSPre,3.5
Muscimol,23,CD,12,3,PreCS,0.5
Muscimol,23,CD,12,3,CS,6
Muscimol,23,CD,12,3,CSPre,5.5
Muscimol,26,AB,12,1,PreCS,1
Muscimol,26,AB,12,1,CS,6.5
Muscimol,26,AB,12,1,CSPre,5.5
Muscimol,26,AB,12,2,PreCS,0
Muscimol,26,AB,12,2,CS,2.5
Muscimol,26,AB,12,2,CSPre,2.5
Muscimol,26,AB,12,3,PreCS,1
Muscimol,26,AB,12,3,CS,6
Muscimol,26,AB,12,3,CSPre,5
Muscimol,26,CD,12,1,PreCS,0
Muscimol,26,CD,12,1,CS,0
Muscimol,26,CD,12,1,CSPre,0
Muscimol,26,CD,12,2,PreCS,0
Muscimol,26,CD,12,2,CS,3.5
Muscimol,26,CD,12,2,CSPre,3.5
Muscimol,26,CD,12,3,PreCS,0
Muscimol,26,CD,12,3,CS,1.5
Muscimol,26,CD,12,3,CSPre,1.5
Muscimol,31,AB,12,1,PreCS,1
Muscimol,31,AB,12,1,CS,4
Muscimol,31,AB,12,1,CSPre,3
Muscimol,31,AB,12,2,PreCS,0.5
Muscimol,31,AB,12,2,CS,5
Muscimol,31,AB,12,2,CSPre,4.5
Muscimol,31,AB,12,3,PreCS,0
Muscimol,31,AB,12,3,CS,2.5
