Group,Subject,Day,Period,Trial,MagEntries
Sham,8,Day22,PreCS,3,1
Sham,8,Day22,PreCS,4,1
Sham,8,Day22,PreCS,5,0
Sham,8,Day22,PreCS,6,0
Sham,8,Day22,PreCS,7,0
Sham,8,Day22,PreCS,8,0
Sham,8,Day22,PreCS,9,0
Sham,8,Day22,PreCS,10,0
Sham,8,Day22,PreCS,11,0
Sham,8,Day22,PreCS,12,0
Sham,8,Day22,PreCS,13,0
Sham,8,Day22,PreCS,14,1
Sham,8,Day22,PreCS,15,0
Sham,8,Day22,PreCS,16,0
Sham,8,Day22,CS,1,27
Sham,8,Day22,CS,2,12
Sham,8,Day22,CS,3,12
Sham,8,Day22,CS,4,9
Sham,8,Day22,CS,5,7
Sham,8,Day22,CS,6,11
Sham,8,Day22,CS,7,12
Sham,8,Day22,CS,8,12
Sham,8,Day22,CS,9,7
Sham,8,Day22,CS,10,0
Sham,8,Day22,CS,11,1
Sham,8,Day22,CS,12,15
Sham,8,Day22,CS,13,6
Sham,8,Day22,CS,14,4
Sham,8,Day22,CS,15,12
Sham,8,Day22,CS,16,13
OFC,9,Day22,PreCS,1,0
OFC,9,Day22,PreCS,2,0
OFC,9,Day22,PreCS,3,0
OFC,9,Day22,PreCS,4,0
OFC,9,Day22,PreCS,5,0
OFC,9,Day22,PreCS,6,0
OFC,9,Day22,PreCS,7,0
OFC,9,Day22,PreCS,8,0
OFC,9,Day22,PreCS,9,0
OFC,9,Day22,PreCS,10,0
OFC,9,Day22,PreCS,11,0
OFC,9,Day22,PreCS,12,1
OFC,9,Day22,PreCS,13,0
OFC,9,Day22,PreCS,14,0
OFC,9,Day22,PreCS,15,0
OFC,9,Day22,PreCS,16,3
OFC,9,Day22,CS,1,18
OFC,9,Day22,CS,2,18
OFC,9,Day22,CS,3,13
OFC,9,Day22,CS,4,17
OFC,9,Day22,CS,5,2
OFC,9,Day22,CS,6,12
OFC,9,Day22,CS,7,12
OFC,9,Day22,CS,8,10
OFC,9,Day22,CS,9,0
OFC,9,Day22,CS,10,14
OFC,9,Day22,CS,11,9
OFC,9,Day22,CS,12,10
OFC,9,Day22,CS,13,4
OFC,9,Day22,CS,14,8
OFC,9,Day22,CS,15,6
OFC,9,Day22,CS,16,3
OFC,10,Day22,PreCS,1,0
OFC,10,Day22,PreCS,2,1
OFC,10,Day22,PreCS,3,0
OFC,10,Day22,PreCS,4,0
OFC,10,Day22,PreCS,5,0
OFC,10,Day22,PreCS,6,0
OFC,10,Day22,PreCS,7,3
OFC,10,Day22,PreCS,8,0
OFC,10,Day22,PreCS,9,0
OFC,10,Day22,PreCS,10,0
OFC,10,Day22,PreCS,11,0
OFC,10,Day22,PreCS,12,0
OFC,10,Day22,PreCS,13,0
OFC,10,Day22,PreCS,14,1
OFC,10,Day22,PreCS,15,0
OFC,10,Day22,PreCS,16,0
OFC,10,Day22,CS,1,2
OFC,10,Day22,CS,2,9
OFC,10,Day22,CS,3,7
OFC,10,Day22,CS,4,5
OFC,10,Day22,CS,5,3
OFC,10,Day22,CS,6,9
OFC,10,Day22,CS,7,6
OFC,10,Day22,CS,8,3
OFC,10,Day22,CS,9,0
OFC,10,Day22,CS,10,6
OFC,10,Day22,CS,11,3
OFC,10,Day22,CS,12,4
OFC,10,Day22,CS,13,0
OFC,10,Day22,CS,14,9
OFC,10,Day22,CS,15,6
OFC,10,Day22,CS,16,3
OFC,11,Day22,PreCS,1,0
OFC,11,Day22,PreCS,2,4
OFC,11,Day22,PreCS,3,0
OFC,11,Day22,PreCS,4,0
OFC,11,Day22,PreCS,5,2
OFC,11,Day22,PreCS,6,0
OFC,11,Day22,PreCS,7,0
OFC,11,Day22,PreCS,8,0
OFC,11,Day22,PreCS,9,0
OFC,11,Day22,PreCS,10,0
OFC,11,Day22,PreCS,11,0
OFC,11,Day22,PreCS,12,0
OFC,11,Day22,PreCS,13,0
OFC,11,Day22,PreCS,14,0
OFC,11,Day22,PreCS,15,0
OFC,11,Day22,PreCS,16,0
OFC,11,Day22,CS,1,10
OFC,11,Day22,CS,2,6
OFC,11,Day22,CS,3,14
OFC,11,Day22,CS,4,2
OFC,11,Day22,CS,5,24
OFC,11,Day22,CS,6,18
OFC,11,Day22,CS,7,6
OFC,11,Day22,CS,8,2
OFC,11,Day22,CS,9,3
OFC,11,Day22,CS,10,0
OFC,11,Day22,CS,11,1
OFC,11,Day22,CS,12,2
OFC,11,Day22,CS,13,4
OFC,11,Day22,CS,14,2
OFC,11,Day22,CS,15,3
OFC,11,Day22,CS,16,5
OFC,12,Day22,PreCS,1,1
OFC,12,Day22,PreCS,2,0
OFC,12,Day22,PreCS,3,0
OFC,12,Day22,PreCS,4,0
OFC,12,Day22,PreCS,5,0
OFC,12,Day22,PreCS,6,0
OFC,12,Day22,PreCS,7,0
OFC,12,Day22,PreCS,8,0
OFC,12,Day22,PreCS,9,0
OFC,12,Day22,PreCS,10,0
OFC,12,Day22,PreCS,11,0
OFC,12,Day22,PreCS,12,0
OFC,12,Day22,PreCS,13,0
OFC,12,Day22,PreCS,14,0
OFC,12,Day22,PreCS,15,0
OFC,12,Day22,PreCS,16,0
OFC,12,Day22,CS,1,9
OFC,12,Day22,CS,2,8
OFC,12,Day22,CS,3,8
OFC,12,Day22,CS,4,6
OFC,12,Day22,CS,5,6
OFC,12,Day22,CS,6,1
OFC,12,Day22,CS,7,0
OFC,12,Day22,CS,8,4
OFC,12,Day22,CS,9,4
OFC,12,Day22,CS,10,2
OFC,12,Day22,CS,11,4
OFC,12,Day22,CS,12,0
OFC,12,Day22,CS,13,0
OFC,12,Day22,CS,14,0
OFC,12,Day22,CS,15,0
OFC,12,Day22,CS,16,6
OFC,14,Day22,PreCS,1,0
OFC,14,Day22,PreCS,2,0
OFC,14,Day22,PreCS,3,1
OFC,14,Day22,PreCS,4,0
OFC,14,Day22,PreCS,5,3
OFC,14,Day22,PreCS,6,0
OFC,14,Day22,PreCS,7,0
OFC,14,Day22,PreCS,8,0
OFC,14,Day22,PreCS,9,0
OFC,14,Day22,PreCS,10,0
OFC,14,Day22,PreCS,11,0
OFC,14,Day22,PreCS,12,0
