Experiment,Group,Subject,Stage,Period,Day,MagEntries
SKR073,SHAM,12,Acq,PreCS,Day 11,1.875
SKR073,SHAM,12,Acq,PreCS,Day 12,4.1875
SKR073,SHAM,12,Acq,PreCS,Day 13,1.5
SKR073,SHAM,12,Acq,PreCS,Day 14,1.5625
SKR073,SHAM,12,Acq,PreCS,Day 15,0.4375
SKR073,SHAM,12,Acq,PreCS,Day 16,0.875
SKR073,SHAM,12,Acq,PreCS,Day 17,0.3125
SKR073,SHAM,12,Acq,PreCS,Day 18,0.5
SKR073,SHAM,12,Acq,PreCS,Day 19,0.4375
SKR073,SHAM,12,Acq,PreCS,Day 20,0.5625
SKR073,SHAM,12,Acq,PreCS,Day 21,0.75
SKR073,SHAM,12,Acq,CS,Day 1,4.125
SKR073,SHAM,12,Acq,CS,Day 2,3.125
SKR073,SHAM,12,Acq,CS,Day 3,3.6875
SKR073,SHAM,12,Acq,CS,Day 4,2.5625
SKR073,SHAM,12,Acq,CS,Day 5,3.8125
SKR073,SHAM,12,Acq,CS,Day 6,2.5625
SKR073,SHAM,12,Acq,CS,Day 7,2.9375
SKR073,SHAM,12,Acq,CS,Day 8,3.75
SKR073,SHAM,12,Acq,CS,Day 9,4.0625
SKR073,SHAM,12,Acq,CS,Day 10,3.625
SKR073,SHAM,12,Acq,CS,Day 11,5.375
SKR073,SHAM,12,Acq,CS,Day 12,4.9375
SKR073,SHAM,12,Acq,CS,Day 13,5.0625
SKR073,SHAM,12,Acq,CS,Day 14,3.5625
SKR073,SHAM,12,Acq,CS,Day 15,3.5625
SKR073,SHAM,12,Acq,CS,Day 16,3.1875
SKR073,SHAM,12,Acq,CS,Day 17,2.75
SKR073,SHAM,12,Acq,CS,Day 18,2.4375
SKR073,SHAM,12,Acq,CS,Day 19,2.8125
SKR073,SHAM,12,Acq,CS,Day 20,2.25
SKR073,SHAM,12,Acq,CS,Day 21,2.875
SKR073,SHAM,14,Acq,PreCS,Day 1,1.75
SKR073,SHAM,14,Acq,PreCS,Day 2,2.5
SKR073,SHAM,14,Acq,PreCS,Day 3,2.9375
SKR073,SHAM,14,Acq,PreCS,Day 4,3.0625
SKR073,SHAM,14,Acq,PreCS,Day 5,1.75
SKR073,SHAM,14,Acq,PreCS,Day 6,2.125
SKR073,SHAM,14,Acq,PreCS,Day 7,0.5
SKR073,SHAM,14,Acq,PreCS,Day 8,1.3125
SKR073,SHAM,14,Acq,PreCS,Day 9,1.375
SKR073,SHAM,14,Acq,PreCS,Day 10,0.875
SKR073,SHAM,14,Acq,PreCS,Day 11,0.5
SKR073,SHAM,14,Acq,PreCS,Day 12,1.0625
SKR073,SHAM,14,Acq,PreCS,Day 13,2.25
SKR073,SHAM,14,Acq,PreCS,Day 14,1.6875
SKR073,SHAM,14,Acq,PreCS,Day 15,1.625
SKR073,SHAM,14,Acq,PreCS,Day 16,1.375
SKR073,SHAM,14,Acq,PreCS,Day 17,1.8125
SKR073,SHAM,14,Acq,PreCS,Day 18,0.375
SKR073,SHAM,14,Acq,PreCS,Day 19,0.875
SKR073,SHAM,14,Acq,PreCS,Day 20,1.8125
SKR073,SHAM,14,Acq,PreCS,Day 21,2.125
SKR073,SHAM,14,Acq,CS,Day 1,1.0625
SKR073,SHAM,14,Acq,CS,Day 2,3
SKR073,SHAM,14,Acq,CS,Day 3,5.375
SKR073,SHAM,14,Acq,CS,Day 4,4.75
SKR073,SHAM,14,Acq,CS,Day 5,4.8125
SKR073,SHAM,14,Acq,CS,Day 6,3.125
SKR073,SHAM,14,Acq,CS,Day 7,1.8125
SKR073,SHAM,14,Acq,CS,Day 8,2.9375
SKR073,SHAM,14,Acq,CS,Day 9,3.125
SKR073,SHAM,14,Acq,CS,Day 10,3.625
SKR073,SHAM,14,Acq,CS,Day 11,3.5625
SKR073,SHAM,14,Acq,CS,Day 12,4.5625
SKR073,SHAM,14,Acq,CS,Day 13,4.625
SKR073,SHAM,14,Acq,CS,Day 14,5.3125
SKR073,SHAM,14,Acq,CS,Day 15,4.125
SKR073,SHAM,14,Acq,CS,Day 16,4.75
SKR073,SHAM,14,Acq,CS,Day 17,3
SKR073,SHAM,14,Acq,CS,Day 18,2.3125
SKR073,SHAM,14,Acq,CS,Day 19,3.125
SKR073,SHAM,14,Acq,CS,Day 20,2.25
SKR073,SHAM,14,Acq,CS,Day 21,3.9375
SKR073,SHAM,16,Acq,PreCS,Day 1,0.9375
SKR073,SHAM,16,Acq,PreCS,Day 2,1.9375
SKR073,SHAM,16,Acq,PreCS,Day 3,1.6875
SKR073,SHAM,16,Acq,PreCS,Day 4,1.8125
SKR073,SHAM,16,Acq,PreCS,Day 5,1.5625
SKR073,SHAM,16,Acq,PreCS,Day 6,1.375
SKR073,SHAM,16,Acq,PreCS,Day 7,1
SKR073,SHAM,16,Acq,PreCS,Day 8,2
SKR073,SHAM,16,Acq,PreCS,Day 9,0.75
SKR073,SHAM,16,Acq,PreCS,Day 10,2.5625
SKR073,SHAM,16,Acq,PreCS,Day 11,2.3125
SKR073,SHAM,16,Acq,PreCS,Day 12,2.8125
SKR073,SHAM,16,Acq,PreCS,Day 13,1.625
SKR073,SHAM,16,Acq,PreCS,Day 14,1.6875
SKR073,SHAM,16,Acq,PreCS,Day 15,1.8125
SKR073,SHAM,16,Acq,PreCS,Day 16,1.6875
SKR073,SHAM,16,Acq,PreCS,Day 17,1.3125
SKR073,SHAM,16,Acq,PreCS,Day 18,1.25
SKR073,SHAM,16,Acq,PreCS,Day 19,2.9375
SKR073,SHAM,16,Acq,PreCS,Day 20,2.6875
SKR073,SHAM,16,Acq,PreCS,Day 21,1.5625
SKR073,SHAM,16,Acq,CS,Day 1,1.75
SKR073,SHAM,16,Acq,CS,Day 2,2.875
SKR073,SHAM,16,Acq,CS,Day 3,3
SKR073,SHAM,16,Acq,CS,Day 4,3.3125
SKR073,SHAM,16,Acq,CS,Day 5,5
SKR073,SHAM,16,Acq,CS,Day 6,3.9375
SKR073,SHAM,16,Acq,CS,Day 7,5.4375
SKR073,SHAM,16,Acq,CS,Day 8,5.6875
SKR073,SHAM,16,Acq,CS,Day 9,5.5
SKR073,SHAM,16,Acq,CS,Day 10,5.9375
SKR073,SHAM,16,Acq,CS,Day 11,5.8125
SKR073,SHAM,16,Acq,CS,Day 12,7.4375
SKR073,SHAM,16,Acq,CS,Day 13,6
SKR073,SHAM,16,Acq,CS,Day 14,3.5625
SKR073,SHAM,16,Acq,CS,Day 15,3.5
SKR073,SHAM,16,Acq,CS,Day 16,2.5625
SKR073,SHAM,16,Acq,CS,Day 17,2.25
SKR073,SHAM,16,Acq,CS,Day 18,1.4375
SKR073,SHAM,16,Acq,CS,Day 19,1
SKR073,SHAM,16,Acq,CS,Day 20,1.625
SKR073,SHAM,16,Acq,CS,Day 21,1.375
SKR073,SHAM,17,Acq,PreCS,Day 1,2.6875
SKR073,SHAM,17,Acq,PreCS,Day 2,1.625
SKR073,SHAM,17,Acq,PreCS,Day 3,1.4375
SKR073,SHAM,17,Acq,PreCS,Day 4,1.3125
SKR073,SHAM,17,Acq,PreCS,Day 5,1.25
SKR073,SHAM,17,Acq,PreCS,Day 6,0.8125
SKR073,SHAM,17,Acq,PreCS,Day 7,0.75
SKR073,SHAM,17,Acq,PreCS,Day 8,0.6875
SKR073,SHAM,17,Acq,PreCS,Day 9,0.9375
SKR073,SHAM,17,Acq,PreCS,Day 10,1.6875
SKR073,SHAM,17,Acq,PreCS,Day 11,0.6875
SKR073,SHAM,17,Acq,PreCS,Day 12,1
SKR073,SHAM,17,Acq,PreCS,Day 13,1.625
SKR073,SHAM,17,Acq,PreCS,Day 14,2.625
SKR073,SHAM,17,Acq,PreCS,Day 15,4.9375
SKR073,SHAM,17,Acq,PreCS,Day 16,3.4375
SKR073,SHAM,17,Acq,PreCS,Day 17,1.375
SKR073,SHAM,17,Acq,PreCS,Day 18,1.8125
SKR073,SHAM,17,Acq,PreCS,Day 19,1.75
SKR073,SHAM,17,Acq,PreCS,Day 20,3.5625
SKR073,SHAM,17,Acq,PreCS,Day 21,1.625
SKR073,SHAM,17,Acq,CS,Day 1,3.5625
SKR073,SHAM,17,Acq,CS,Day 2,3.3125
SKR073,SHAM,17,Acq,CS,Day 3,4.5
SKR073,SHAM,17,Acq,CS,Day 4,3.5625
SKR073,SHAM,17,Acq,CS,Day 5,4.125
SKR073,SHAM,17,Acq,CS,Day 6,2.6875
SKR073,SHAM,17,Acq,CS,Day 7,3.3125
SKR073,SHAM,17,Acq,CS,Day 8,4.0625
SKR073,SHAM,17,Acq,CS,Day 9,3.5625
SKR073,SHAM,17,Acq,CS,Day 10,3.9375
SKR073,SHAM,17,Acq,CS,Day 11,4.6875
SKR073,SHAM,17,Acq,CS,Day 12,3.1875
SKR073,SHAM,17,Acq,CS,Day 13,4.6875
SKR073,SHAM,17,Acq,CS,Day 14,3.875
SKR073,SHAM,17,Acq,CS,Day 15,6.25
SKR073,SHAM,17,Acq,CS,Day 16,6.75
SKR073,SHAM,17,Acq,CS,Day 17,7.875
SKR073,SHAM,17,Acq,CS,Day 18,7.3125
SKR073,SHAM,17,Acq,CS,Day 19,7.125
SKR073,SHAM,17,Acq,CS,Day 20,8.8125
SKR073,SHAM,17,Acq,CS,Day 21,5.4375
SKR073,SHAM,19,Acq,PreCS,Day 1,1.75
SKR073,SHAM,19,Acq,PreCS,Day 2,2.625
SKR073,SHAM,19,Acq,PreCS,Day 3,2.1875
SKR073,SHAM,19,Acq,PreCS,Day 4,1.1875
SKR073,SHAM,19,Acq,PreCS,Day 5,1.75
SKR073,SHAM,19,Acq,PreCS,Day 6,1.375
SKR073,SHAM,19,Acq,PreCS,Day 7,1.375
SKR073,SHAM,19,Acq,PreCS,Day 8,0.9375
SKR073,SHAM,19,Acq,PreCS,Day 9,0.9375
SKR073,SHAM,19,Acq,PreCS,Day 10,1.0625
SKR073,SHAM,19,Acq,PreCS,Day 11,1.125
SKR073,SHAM,19,Acq,PreCS,Day 12,2.0625
SKR073,SHAM,19,Acq,PreCS,Day 13,1.75
SKR073,SHAM,19,Acq,PreCS,Day 14,2.125
SKR073,SHAM,19,Acq,PreCS,Day 15,0.4375
SKR073,SHAM,19,Acq,PreCS,Day 16,1.3125
SKR073,SHAM,19,Acq,PreCS,Day 17,1.6875
SKR073,SHAM,19,Acq,PreCS,Day 18,2.25
SKR073,SHAM,19,Acq,PreCS,Day 19,2.1875
SKR073,SHAM,19,Acq,PreCS,Day 20,3.875
SKR073,SHAM,19,Acq,PreCS,Day 21,3.1875
SKR073,SHAM,19,Acq,CS,Day 1,3.4375
SKR073,SHAM,19,Acq,CS,Day 2,3.5
SKR073,SHAM,19,Acq,CS,Day 3,5.625
SKR073,SHAM,19,Acq,CS,Day 4,3.6875
SKR073,SHAM,19,Acq,CS,Day 5,5.875
SKR073,SHAM,19,Acq,CS,Day 6,4.9375
SKR073,SHAM,19,Acq,CS,Day 7,4.5
SKR073,SHAM,19,Acq,CS,Day 8,2.8125
SKR073,SHAM,19,Acq,CS,Day 9,4.25
SKR073,SHAM,19,Acq,CS,Day 10,4.25
SKR073,SHAM,19,Acq,CS,Day 11,5.4375
SKR073,SHAM,19,Acq,CS,Day 12,3.5
