Day,subject,sex,CS_name,Period,MagEntries,MagDuration
1,16____,F,B+,CSPre,-0.3333333333333333,-0.2833333333333408
1,34____,M,A-,CS,0.3333333333333333,0.22999999999998033
1,34____,M,A-,Post,1.1666666666666667,1.659999999999987
1,34____,M,A-,Pre,0.5,0.54000000000003
1,34____,M,A-,CSPre,-0.16666666666666669,-0.3100000000000497
1,34____,M,A+,CS,0.5,0.9599999999999984
1,34____,M,A+,Post,0,0.13666666666663715
1,34____,M,A+,Pre,0.3333333333333333,0.5366666666666712
1,34____,M,A+,CSPre,0.16666666666666669,0.42333333333332723
1,34____,M,B-,CS,0.3333333333333333,0.613333333333306
1,34____,M,B-,Post,0.5,0.4599999999999605
1,34____,M,B-,Pre,0.6666666666666666,0.900000000000053
1,34____,M,B-,CSPre,-0.3333333333333333,-0.286666666666747
1,34____,M,B+,CS,0.16666666666666666,0.3533333333333152
1,34____,M,B+,Post,1.1666666666666667,2.543333333333237
1,34____,M,B+,Pre,0,0.8333333333333333
1,34____,M,B+,CSPre,0.16666666666666666,-0.4800000000000181
1,35____,M,A-,CS,0.3333333333333333,0.316666666666606
1,35____,M,A-,Post,0.3333333333333333,1.1800000000000068
1,35____,M,A-,Pre,0,0
1,35____,M,A-,CSPre,0.3333333333333333,0.316666666666606
1,35____,M,A+,CS,0.16666666666666666,0.10666666666668334
1,35____,M,A+,Post,1.6666666666666665,2.6533333333332605
1,35____,M,A+,Pre,0.16666666666666666,0.29333333333333184
1,35____,M,A+,CSPre,0,-0.1866666666666485
1,35____,M,B-,CS,0.16666666666666666,0.03666666666667117
1,35____,M,B-,Post,0.5,0.4866666666666408
1,35____,M,B-,Pre,0,0.7099999999999985
1,35____,M,B-,CSPre,0.16666666666666666,-0.6733333333333273
1,35____,M,B+,CS,0,0
1,35____,M,B+,Post,1,2.2833333333333314
1,35____,M,B+,Pre,0.16666666666666666,0.26333333333333064
1,35____,M,B+,CSPre,-0.16666666666666666,-0.26333333333333064
