Day,counterbalancing,Pavlovian_cbx,Instrumental_cbx,timebins,subject,Stimulus,LPFreq,LPDur,Reinforcer
Day2,A,Y,A,4,19____,Steady,4,8.77999999999975,1
Day2,A,Y,A,4,42____,Flash,0,0,0
Day2,A,Y,A,4,42____,Steady,0,0,0
Day2,B,X,B,1,18____,Flash,1,2.61999999999995,0
Day2,B,X,B,1,18____,Steady,1,1,1
Day2,B,X,B,1,22____,Flash,12,4.32000000000009,6
Day2,B,X,B,1,22____,Steady,0,0,0
Day2,B,X,B,2,18____,Flash,0,0,0
Day2,B,X,B,2,18____,Steady,2,0.100000000000023,0
Day2,B,X,B,2,22____,Flash,7,2.52000000000004,3
Day2,B,X,B,2,22____,Steady,0,0,0
Day2,B,X,B,3,18____,Flash,1,2.1400000000001,0
Day2,B,X,B,3,18____,Steady,1,0.0999999999999091,1
Day2,B,X,B,3,22____,Flash,4,2.84000000000015,3
Day2,B,X,B,3,22____,Steady,0,0,0
Day2,B,X,B,4,18____,Flash,0,0,0
Day2,B,X,B,4,18____,Steady,1,0.0199999999999818,0
Day2,B,X,B,4,22____,Flash,4,2.66000000000031,2
Day2,B,X,B,4,22____,Steady,10,8.81999999999994,6
Day2,B,Y,B,1,20____,Flash,0,0,0
Day2,B,Y,B,1,20____,Steady,3,4.04000000000002,2
Day2,B,Y,B,1,24____,Flash,4,2.15999999999997,2
Day2,B,Y,B,1,24____,Steady,1,0.319999999999993,0
Day2,B,Y,B,1,25____,Flash,2,1.28000000000003,1
Day2,B,Y,B,1,25____,Steady,10,9.43999999999996,5
Day2,B,Y,B,1,43____,Flash,25,8.65999999999997,4
Day2,B,Y,B,1,43____,Steady,5,5.18000000000003,3
Day2,B,Y,B,2,20____,Flash,0,0,0
Day2,B,Y,B,2,20____,Steady,2,2.86000000000001,1
Day2,B,Y,B,2,24____,Flash,40,21.9400000000001,12
Day2,B,Y,B,2,24____,Steady,0,0,0
Day2,B,Y,B,2,25____,Flash,11,8.90000000000009,4
Day2,B,Y,B,2,25____,Steady,2,0.220000000000027,0
Day2,B,Y,B,2,43____,Flash,9,8.10000000000008,3
Day2,B,Y,B,2,43____,Steady,3,0.21999999999997,1
Day2,B,Y,B,3,20____,Flash,0,0,0
Day2,B,Y,B,3,20____,Steady,2,1.86000000000001,1
Day2,B,Y,B,3,24____,Flash,21,8.60000000000014,5
Day2,B,Y,B,3,24____,Steady,0,0,0
Day2,B,Y,B,3,25____,Flash,4,1.74000000000001,1
Day2,B,Y,B,3,25____,Steady,4,4.67999999999984,1
Day2,B,Y,B,3,43____,Flash,2,4.3399999999998,1
Day2,B,Y,B,3,43____,Steady,0,0,0
Day2,B,Y,B,4,20____,Flash,0,0,0
Day2,B,Y,B,4,20____,Steady,0,0,0
Day2,B,Y,B,4,24____,Flash,11,8.59999999999945,5
Day2,B,Y,B,4,24____,Steady,11,6.13999999999942,3
Day2,B,Y,B,4,25____,Flash,0,0,0
Day2,B,Y,B,4,25____,Steady,2,2.90000000000009,0
Day2,B,Y,B,4,43____,Flash,0,0,0
Day2,B,Y,B,4,43____,Steady,2,5.18000000000006,1
Day3,A,X,A,1,17____,Flash,12,4.66000000000005,5
Day3,A,X,A,1,17____,Steady,2,143.22,0
Day3,A,X,A,1,21____,Flash,0,0,0
Day3,A,X,A,1,21____,Steady,0,0,0
Day3,A,X,A,1,23____,Flash,5,2.22000000000003,1
Day3,A,X,A,1,23____,Steady,14,105.32,9
Day3,A,X,A,1,44____,Flash,2,0.520000000000039,1
Day3,A,X,A,1,44____,Steady,11,1.03999999999995,3
Day3,A,X,A,2,17____,Flash,10,1.96000000000038,5
Day3,A,X,A,2,17____,Steady,2,48.3199999999999,0
Day3,A,X,A,2,21____,Flash,0,0,0
Day3,A,X,A,2,21____,Steady,2,0.839999999999918,1
Day3,A,X,A,2,23____,Flash,11,5.06000000000006,3
Day3,A,X,A,2,23____,Steady,4,100.94,1
Day3,A,X,A,2,44____,Flash,2,0.240000000000009,1
Day3,A,X,A,2,44____,Steady,3,0.720000000000027,1
Day3,A,X,A,3,17____,Flash,2,0.320000000000164,1
Day3,A,X,A,3,17____,Steady,0,0,0
Day3,A,X,A,3,21____,Flash,0,0,0
Day3,A,X,A,3,21____,Steady,0,0,0
Day3,A,X,A,3,23____,Flash,6,3.2199999999998,3
Day3,A,X,A,3,23____,Steady,9,52.6000000000001,2
Day3,A,X,A,3,44____,Flash,3,0.759999999999991,1
Day3,A,X,A,3,44____,Steady,2,0.180000000000064,0
Day3,A,X,A,4,17____,Flash,5,1.77999999999975,2
Day3,A,X,A,4,17____,Steady,0,0,0
Day3,A,X,A,4,21____,Flash,1,0.159999999999854,1
Day3,A,X,A,4,21____,Steady,1,2,0
Day3,A,X,A,4,23____,Flash,2,7.8599999999999,0
Day3,A,X,A,4,23____,Steady,0,0,0
Day3,A,X,A,4,44____,Flash,3,3.01999999999998,1
Day3,A,X,A,4,44____,Steady,4,0.2199999999998,1
Day3,A,Y,A,1,19____,Flash,17,2.45999999999989,4
Day3,A,Y,A,1,19____,Steady,19,19.4199999999999,7
Day3,A,Y,A,1,42____,Flash,1,0.68,1
Day3,A,Y,A,1,42____,Steady,1,1.08,1
Day3,A,Y,A,2,19____,Flash,4,0.779999999999973,1
Day3,A,Y,A,2,19____,Steady,10,16.9400000000003,2
Day3,A,Y,A,2,42____,Flash,2,2.34000000000003,1
Day3,A,Y,A,2,42____,Steady,0,0,0
Day3,A,Y,A,3,19____,Flash,0,0,0
Day3,A,Y,A,3,19____,Steady,6,4.46000000000015,2
Day3,A,Y,A,3,42____,Flash,2,1.38,2
Day3,A,Y,A,3,42____,Steady,1,0.220000000000027,1
Day3,A,Y,A,4,19____,Flash,2,0.299999999999727,0
Day3,A,Y,A,4,19____,Steady,4,8.37999999999988,2
Day3,A,Y,A,4,42____,Flash,0,0,0
Day3,A,Y,A,4,42____,Steady,1,0.860000000000127,0
Day3,B,X,B,1,18____,Flash,0,0,0
Day3,B,X,B,1,18____,Steady,0,0,0
Day3,B,X,B,1,22____,Flash,29,8.70000000000006,10
Day3,B,X,B,1,22____,Steady,4,4.44,2
Day3,B,X,B,2,18____,Flash,0,0,0
Day3,B,X,B,2,18____,Steady,0,0,0
Day3,B,X,B,2,22____,Flash,1,0.460000000000036,0
Day3,B,X,B,2,22____,Steady,11,7.30000000000024,3
Day3,B,X,B,3,18____,Flash,0,0,0
Day3,B,X,B,3,18____,Steady,0,0,0
Day3,B,X,B,3,22____,Flash,1,2.4799999999999,0
Day3,B,X,B,3,22____,Steady,1,0.720000000000027,1
Day3,B,X,B,4,18____,Flash,0,0,0
Day3,B,X,B,4,18____,Steady,0,0,0
Day3,B,X,B,4,22____,Flash,7,3.60000000000036,1
Day3,B,X,B,4,22____,Steady,0,0,0
Day3,B,Y,B,1,20____,Flash,0,0,0
Day3,B,Y,B,1,20____,Steady,4,3.91999999999997,2
Day3,B,Y,B,1,24____,Flash,10,11.58,4
Day3,B,Y,B,1,24____,Steady,2,0.32000000000005,1
Day3,B,Y,B,1,25____,Flash,2,0.300000000000011,2
Day3,B,Y,B,1,25____,Steady,1,0.520000000000039,1
Day3,B,Y,B,1,43____,Flash,18,5.72000000000004,6
Day3,B,Y,B,1,43____,Steady,17,6.07999999999993,4
Day3,B,Y,B,2,20____,Flash,0,0,0
Day3,B,Y,B,2,20____,Steady,7,5.41999999999996,3
Day3,B,Y,B,2,24____,Flash,19,18.4400000000003,7
Day3,B,Y,B,2,24____,Steady,3,0.719999999999914,0
Day3,B,Y,B,2,25____,Flash,5,1.77999999999997,2
Day3,B,Y,B,2,25____,Steady,1,0.0200000000000955,0
Day3,B,Y,B,2,43____,Flash,4,1.08000000000015,2
Day3,B,Y,B,2,43____,Steady,4,0.819999999999936,2
Day3,B,Y,B,3,20____,Flash,0,0,0
Day3,B,Y,B,3,20____,Steady,0,0,0
Day3,B,Y,B,3,24____,Flash,13,6.63999999999976,3
Day3,B,Y,B,3,24____,Steady,16,8.54000000000008,5
Day3,B,Y,B,3,25____,Flash,0,0,0
Day3,B,Y,B,3,25____,Steady,0,0,0
Day3,B,Y,B,3,43____,Flash,4,0.559999999999718,1
Day3,B,Y,B,3,43____,Steady,0,0,0
Day3,B,Y,B,4,20____,Flash,2,0.900000000000091,2
Day3,B,Y,B,4,20____,Steady,6,6.87999999999965,3
Day3,B,Y,B,4,24____,Flash,8,3.7999999999994998,3
Day3,B,Y,B,4,24____,Steady,3,3.29999999999995,1
Day3,B,Y,B,4,25____,Flash,1,0.200000000000045,0
