Devalued_Trial,Period,subject,Stimulus,LPFreq,LPDur
NonDevalued,post,42____,Devalued,0,0
NonDevalued,post,42____,Magazine,0,0
NonDevalued,post,42____,NonDevalued,0,0
NonDevalued,post,43____,Devalued,0,0
NonDevalued,post,43____,Magazine,0.4782608695652174,0.5956521739130405
NonDevalued,post,43____,NonDevalued,0.6086956521739131,0.07043478260870074
NonDevalued,post,44____,Devalued,0,0
NonDevalued,post,44____,Magazine,0.7142857142857142,0.382857142857152
NonDevalued,post,44____,NonDevalued,0.14285714285714285,0.011428571428561029
NonDevalued,pre,18____,Devalued,0,0
NonDevalued,pre,18____,Magazine,0.2222222222222222,0.04666666666667476
NonDevalued,pre,18____,NonDevalued,0,0
NonDevalued,pre,19____,Devalued,0,0
NonDevalued,pre,19____,Magazine,0.23076923076923078,0.35538461538460697
NonDevalued,pre,19____,NonDevalued,0.11538461538461539,0.10923076923077485
NonDevalued,pre,20____,Devalued,0,0
NonDevalued,pre,20____,Magazine,3,0.4999999999998862
NonDevalued,pre,20____,NonDevalued,0,0
NonDevalued,pre,22____,Devalued,0,0
NonDevalued,pre,22____,Magazine,0.4236111111111111,0.3237500000000276
NonDevalued,pre,22____,NonDevalued,0.09722222222222221,0.031388888888876906
NonDevalued,pre,23____,Devalued,0,0
NonDevalued,pre,23____,Magazine,0.08333333333333333,0.01833333333333244
NonDevalued,pre,23____,NonDevalued,0,0
NonDevalued,pre,24____,Devalued,0,0
NonDevalued,pre,24____,Magazine,0.2777777777777778,0.1472222222222273
NonDevalued,pre,24____,NonDevalued,0,0.023333333333334223
NonDevalued,pre,25____,Devalued,0,0
NonDevalued,pre,25____,Magazine,0,0
NonDevalued,pre,25____,NonDevalued,0,0.4120000000000118
NonDevalued,pre,42____,Devalued,0,0
NonDevalued,pre,42____,Magazine,0,0
NonDevalued,pre,42____,NonDevalued,0,0
NonDevalued,pre,43____,Devalued,0,0
NonDevalued,pre,43____,Magazine,0.5652173913043479,0.4504347826087161
NonDevalued,pre,43____,NonDevalued,0.43478260869565216,0.0800000000000063
NonDevalued,pre,44____,Devalued,0,0
NonDevalued,pre,44____,Magazine,0.2857142857142857,0.15142857142856356
NonDevalued,pre,44____,NonDevalued,0,0
