Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,1,39____,50,High,M,A++--,CSPre,-0.25,2.150000000000091
1.Acquisition,1,39____,50,Low,M,B+-,CS,1,1.9399999999999975
1.Acquisition,1,39____,50,Low,M,B+-,Post,0.25,2.8750000000000004
1.Acquisition,1,39____,50,Low,M,B+-,Pre,0.25,0.115000000000009
1.Acquisition,1,39____,50,Low,M,B+-,CSPre,0.75,1.8249999999999884
1.Acquisition,1,39____,100,High,M,C++,CS,0,0.1299999999999955
1.Acquisition,1,39____,100,High,M,C++,Post,1.5,3.2100000000000084
1.Acquisition,1,39____,100,High,M,C++,Pre,0.5,0.7350000000000421
1.Acquisition,1,39____,100,High,M,C++,CSPre,-0.5,-0.6050000000000466
1.Acquisition,1,39____,100,Low,M,D+,CS,0,0.7749999999999773
1.Acquisition,1,39____,100,Low,M,D+,Post,0.25,2.0499999999999545
1.Acquisition,1,39____,100,Low,M,D+,Pre,0,0
1.Acquisition,1,39____,100,Low,M,D+,CSPre,0,0.7749999999999773
1.Acquisition,1,40____,50,High,M,A++--,CS,0,1.25
1.Acquisition,1,40____,50,High,M,A++--,Post,3.75,1.0899999999999181
1.Acquisition,1,40____,50,High,M,A++--,Pre,0.75,1.6949999999999645
1.Acquisition,1,40____,50,High,M,A++--,CSPre,-0.75,-0.44499999999996454
1.Acquisition,1,40____,50,Low,M,B+-,CS,0.25,0.8049999999999501
1.Acquisition,1,40____,50,Low,M,B+-,Post,2,2.9599999999999795
1.Acquisition,1,40____,50,Low,M,B+-,Pre,1.25,0.7399999999999807
1.Acquisition,1,40____,50,Low,M,B+-,CSPre,-1,0.06499999999996942
1.Acquisition,1,40____,100,High,M,C++,CS,1.25,1.5849999999999584
1.Acquisition,1,40____,100,High,M,C++,Post,0.25,3.199999999999932
1.Acquisition,1,40____,100,High,M,C++,Pre,0.25,0.5650000000000548
1.Acquisition,1,40____,100,High,M,C++,CSPre,1,1.0199999999999037
1.Acquisition,1,40____,100,Low,M,D+,CS,0.25,0.29000000000002046
1.Acquisition,1,40____,100,Low,M,D+,Post,1,0.6350000000000762
1.Acquisition,1,40____,100,Low,M,D+,Pre,1.75,1.0799999999999843
1.Acquisition,1,40____,100,Low,M,D+,CSPre,-1.5,-0.7899999999999638
1.Acquisition,1,41____,50,High,M,A++--,CS,0.75,3.2899999999999636
1.Acquisition,1,41____,50,High,M,A++--,Post,0.25,3.0249999999999773
1.Acquisition,1,41____,50,High,M,A++--,Pre,0.25,0.0950000000000272
1.Acquisition,1,41____,50,High,M,A++--,CSPre,0.5,3.1949999999999363
1.Acquisition,1,41____,50,Low,M,B+-,CS,0,0
1.Acquisition,1,41____,50,Low,M,B+-,Post,0.25,1.2099999999999935
1.Acquisition,1,41____,50,Low,M,B+-,Pre,0,0
1.Acquisition,1,41____,50,Low,M,B+-,CSPre,0,0
1.Acquisition,1,41____,100,High,M,C++,CS,0.25,0.0349999999999965
1.Acquisition,1,41____,100,High,M,C++,Post,0.75,1.3949999999999818
1.Acquisition,1,41____,100,High,M,C++,Pre,0.5,0.06500000000000475
1.Acquisition,1,41____,100,High,M,C++,CSPre,-0.25,-0.03000000000000825
1.Acquisition,1,41____,100,Low,M,D+,CS,0.5,3.30499999999995
1.Acquisition,1,41____,100,Low,M,D+,Post,1.25,2.2199999999999704
1.Acquisition,1,41____,100,Low,M,D+,Pre,0,0
1.Acquisition,1,41____,100,Low,M,D+,CSPre,0.5,3.30499999999995
1.Acquisition,1,9_____,50,High,F,A++--,CS,1,2.3100000000000875
1.Acquisition,1,9_____,50,High,F,A++--,Post,0.75,3.3949999999998686
1.Acquisition,1,9_____,50,High,F,A++--,Pre,0.75,0.6450000000000671
1.Acquisition,1,9_____,50,High,F,A++--,CSPre,0.25,1.6650000000000205
1.Acquisition,1,9_____,50,Low,F,B+-,CS,1.25,1.9450000000000498
1.Acquisition,1,9_____,50,Low,F,B+-,Post,1,3.2549999999999812
1.Acquisition,1,9_____,50,Low,F,B+-,Pre,0.5,0.8050000000000068
1.Acquisition,1,9_____,50,Low,F,B+-,CSPre,0.75,1.140000000000043
1.Acquisition,1,9_____,100,High,F,C++,CS,0.75,1.855000000000132
1.Acquisition,1,9_____,100,High,F,C++,Post,0.5,3.699999999999932
1.Acquisition,1,9_____,100,High,F,C++,Pre,0,0
1.Acquisition,1,9_____,100,High,F,C++,CSPre,0.75,1.855000000000132
1.Acquisition,1,9_____,100,Low,F,D+,CS,0.5,3.314999999999941
1.Acquisition,1,9_____,100,Low,F,D+,Post,1,3.900000000000091
1.Acquisition,1,9_____,100,Low,F,D+,Pre,0.5,0.4350000000000025
1.Acquisition,1,9_____,100,Low,F,D+,CSPre,0,2.8799999999999386
1.Acquisition,2,10____,50,High,F,A++--,CS,1,3.2499999999999716
1.Acquisition,2,10____,50,High,F,A++--,Post,0.25,3.3450000000000273
1.Acquisition,2,10____,50,High,F,A++--,Pre,0.5,1.5749999999999886
1.Acquisition,2,10____,50,High,F,A++--,CSPre,0.5,1.674999999999983
1.Acquisition,2,10____,50,Low,F,B+-,CS,1,1.9750000000001933
1.Acquisition,2,10____,50,Low,F,B+-,Post,0.75,2.7000000000000455
1.Acquisition,2,10____,50,Low,F,B+-,Pre,0.5,1.9200000000000728
1.Acquisition,2,10____,50,Low,F,B+-,CSPre,0.5,0.05500000000012051
1.Acquisition,2,10____,100,High,F,C++,CS,2,2.2299999999999898
1.Acquisition,2,10____,100,High,F,C++,Post,0.5,4.340000000000032
1.Acquisition,2,10____,100,High,F,C++,Pre,0.5,1.3499999999999375
1.Acquisition,2,10____,100,High,F,C++,CSPre,1.5,0.8800000000000523
1.Acquisition,2,10____,100,Low,F,D+,CS,1.25,2.42999999999995
1.Acquisition,2,10____,100,Low,F,D+,Post,1.25,4.110000000000014
1.Acquisition,2,10____,100,Low,F,D+,Pre,0.5,0.5149999999999862
