Day,subject,Outcome,CSPair,CS_name,Period,MagEntries,MagDuration
3,29____,O1,CD,C_O1,Post,3.333333333333333,4.649999999999968
3,29____,O1,CD,C_O1,Pre,0.6666666666666666,0.0633333333334274
3,29____,O1,CD,C_O1,CSPre,1.8333333333333335,2.896666666666628
3,29____,O2,AB,B_O2,CS,3.8333333333333335,3.5399999999998877
3,29____,O2,AB,B_O2,Post,2,4.019999999999905
3,29____,O2,AB,B_O2,Pre,0.16666666666666666,0.033333333333340834
3,29____,O2,AB,B_O2,CSPre,3.666666666666667,3.506666666666547
3,29____,O2,CD,D_O2,CS,2.3333333333333335,1.2566666666666182
3,29____,O2,CD,D_O2,Post,4.166666666666667,3.9633333333333622
3,29____,O2,CD,D_O2,Pre,0.8333333333333333,0.5433333333332941
3,29____,O2,CD,D_O2,CSPre,1.5000000000000002,0.713333333333324
3,3_____,O1,AB,A_O1,CS,2,3.5499999999999448
3,3_____,O1,AB,A_O1,Post,1.8333333333333333,4.9266666666666294
3,3_____,O1,AB,A_O1,Pre,1,2.0166666666666804
3,3_____,O1,AB,A_O1,CSPre,1,1.5333333333332644
3,3_____,O1,CD,C_O1,CS,1.1666666666666667,1.863333333333344
3,3_____,O1,CD,C_O1,Post,1.3333333333333333,7.203333333333352
3,3_____,O1,CD,C_O1,Pre,0.8333333333333333,2.470000000000065
3,3_____,O1,CD,C_O1,CSPre,0.3333333333333335,-0.6066666666667211
3,3_____,O2,AB,B_O2,CS,3.5,4.04000000000012
3,3_____,O2,AB,B_O2,Post,1.1666666666666667,6.7900000000000205
3,3_____,O2,AB,B_O2,Pre,0.5,1.8999999999999961
3,3_____,O2,AB,B_O2,CSPre,3,2.140000000000124
3,3_____,O2,CD,D_O2,CS,2.166666666666667,4.276666666666642
3,3_____,O2,CD,D_O2,Post,2.3333333333333335,4.5299999999999585
3,3_____,O2,CD,D_O2,Pre,1,1.8733333333334157
3,3_____,O2,CD,D_O2,CSPre,1.166666666666667,2.4033333333332267
3,30____,O1,AB,A_O1,CS,6.5,4.089999999999833
3,30____,O1,AB,A_O1,Post,2.166666666666667,6.80000000000002
3,30____,O1,AB,A_O1,Pre,1.5,1.3433333333334474
3,30____,O1,AB,A_O1,CSPre,5,2.7466666666663855
3,30____,O1,CD,C_O1,CS,3,2.079999999999918
3,30____,O1,CD,C_O1,Post,3.333333333333333,6.173333333333309
3,30____,O1,CD,C_O1,Pre,1.5,1.320000000000031
3,30____,O1,CD,C_O1,CSPre,1.5,0.759999999999887
3,30____,O2,AB,B_O2,CS,6.833333333333334,3.689999999999751
3,30____,O2,AB,B_O2,Post,2.6666666666666665,6.63999999999991
3,30____,O2,AB,B_O2,Pre,1.5,2.696666666666715
3,30____,O2,AB,B_O2,CSPre,5.333333333333334,0.9933333333330356
3,30____,O2,CD,D_O2,CS,4.5,2.410000000000125
3,30____,O2,CD,D_O2,Post,3.5,6.116666666666673
3,30____,O2,CD,D_O2,Pre,2.3333333333333335,1.9300000000000073
3,30____,O2,CD,D_O2,CSPre,2.1666666666666665,0.48000000000011767
3,31____,O1,AB,A_O1,CS,4.666666666666667,3.3699999999998624
3,31____,O1,AB,A_O1,Post,4.666666666666667,4.533333333333379
3,31____,O1,AB,A_O1,Pre,0.5,0.25999999999997186
3,31____,O1,AB,A_O1,CSPre,4.166666666666667,3.1099999999998906
3,31____,O1,CD,C_O1,CS,3.333333333333333,2.9733333333332554
3,31____,O1,CD,C_O1,Post,5.666666666666666,4.493333333333183
3,31____,O1,CD,C_O1,Pre,0.16666666666666666,0.5700000000000122
3,31____,O1,CD,C_O1,CSPre,3.1666666666666665,2.403333333333243
3,31____,O2,AB,B_O2,CS,5,5.279999999999916
3,31____,O2,AB,B_O2,Post,4.666666666666667,4.689999999999951
3,31____,O2,AB,B_O2,Pre,0,0
3,31____,O2,AB,B_O2,CSPre,5,5.279999999999916
3,31____,O2,CD,D_O2,CS,3.333333333333333,2.716666666666602
3,31____,O2,CD,D_O2,Post,6.333333333333333,4.933333333333375
3,31____,O2,CD,D_O2,Pre,0,0
3,31____,O2,CD,D_O2,CSPre,3.333333333333333,2.716666666666602
3,32____,O1,AB,A_O1,CS,2.5,3.493333333333377
3,32____,O1,AB,A_O1,Post,3.1666666666666665,5.570000000000003
3,32____,O1,AB,A_O1,Pre,0.8333333333333333,1.1333333333333444
3,32____,O1,AB,A_O1,CSPre,1.6666666666666667,2.3600000000000327
3,32____,O1,CD,C_O1,CS,1,3.2600000000000406
3,32____,O1,CD,C_O1,Post,3.6666666666666665,4.829999999999994
3,32____,O1,CD,C_O1,Pre,0.16666666666666666,0.136666666666656
3,32____,O1,CD,C_O1,CSPre,0.8333333333333334,3.1233333333333846
3,32____,O2,AB,B_O2,CS,3.5,2.9933333333332635
3,32____,O2,AB,B_O2,Post,9.833333333333332,5.046666666666643
3,32____,O2,AB,B_O2,Pre,0.6666666666666666,0.8466666666666736
3,32____,O2,AB,B_O2,CSPre,2.8333333333333335,2.14666666666659
3,32____,O2,CD,D_O2,CS,2.6666666666666665,4.026666666666633
3,32____,O2,CD,D_O2,Post,5,6.063333333333389
3,32____,O2,CD,D_O2,Pre,0.8333333333333333,0.7433333333333393
3,32____,O2,CD,D_O2,CSPre,1.8333333333333333,3.2833333333332932
3,33____,O1,AB,A_O1,CS,3.5,4.353333333333259
3,33____,O1,AB,A_O1,Post,3.6666666666666665,5.693333333333337
3,33____,O1,AB,A_O1,Pre,0.5,0.7099999999999604
3,33____,O1,AB,A_O1,CSPre,3,3.6433333333332985
3,33____,O1,CD,C_O1,CS,2.5,4.736666666666754
3,33____,O1,CD,C_O1,Post,4,6.233333333333415
3,33____,O1,CD,C_O1,Pre,0.6666666666666666,0.933333333333375
3,33____,O1,CD,C_O1,CSPre,1.8333333333333335,3.8033333333333794
3,33____,O2,AB,B_O2,CS,2.833333333333333,3.983333333333414
3,33____,O2,AB,B_O2,Post,3.333333333333333,4.656666666666577
3,33____,O2,AB,B_O2,Pre,0,0
3,33____,O2,AB,B_O2,CSPre,2.833333333333333,3.983333333333414
3,33____,O2,CD,D_O2,CS,1.1666666666666667,2.4666666666665735
3,33____,O2,CD,D_O2,Post,3.5,5.003333333333444
3,33____,O2,CD,D_O2,Pre,0.16666666666666666,0.283333333333322
3,33____,O2,CD,D_O2,CSPre,1,2.1833333333332514
3,4_____,O1,AB,A_O1,CS,2.3333333333333335,2.4933333333333203
3,4_____,O1,AB,A_O1,Post,1.8333333333333333,5.220000000000027
3,4_____,O1,AB,A_O1,Pre,0.6666666666666666,0.483333333333377
3,4_____,O1,AB,A_O1,CSPre,1.666666666666667,2.0099999999999434
3,4_____,O1,CD,C_O1,CS,2.3333333333333335,4.293333333333394
3,4_____,O1,CD,C_O1,Post,2.6666666666666665,5.173333333333218
3,4_____,O1,CD,C_O1,Pre,0.6666666666666666,1.5633333333333517
3,4_____,O1,CD,C_O1,CSPre,1.666666666666667,2.7300000000000426
3,4_____,O2,AB,B_O2,CS,3.8333333333333335,5.269999999999887
3,4_____,O2,AB,B_O2,Post,1,4.866666666666721
3,4_____,O2,AB,B_O2,Pre,1.5,1.2733333333333499
3,4_____,O2,AB,B_O2,CSPre,2.3333333333333335,3.996666666666537
3,4_____,O2,CD,D_O2,CS,2.5,4.026666666666661
3,4_____,O2,CD,D_O2,Post,2,5.289999999999987
3,4_____,O2,CD,D_O2,Pre,0.8333333333333333,1.5533333333332613
3,4_____,O2,CD,D_O2,CSPre,1.6666666666666667,2.4733333333333998
3,5_____,O1,AB,A_O1,CS,2.3333333333333335,5.749999999999868
3,5_____,O1,AB,A_O1,Post,1.3333333333333333,5.60666666666666
3,5_____,O1,AB,A_O1,Pre,1.1666666666666667,0.5733333333333092
3,5_____,O1,AB,A_O1,CSPre,1.1666666666666667,5.176666666666558
3,5_____,O1,CD,C_O1,CS,1.5,4.123333333333302
3,5_____,O1,CD,C_O1,Post,1.6666666666666665,5.546666666666652
3,5_____,O1,CD,C_O1,Pre,0.6666666666666666,1.3366666666666824
3,5_____,O1,CD,C_O1,CSPre,0.8333333333333334,2.7866666666666196
3,5_____,O2,AB,B_O2,CS,1.6666666666666665,4.17666666666662
3,5_____,O2,AB,B_O2,Post,0.6666666666666666,6.053333333333342
3,5_____,O2,AB,B_O2,Pre,0.3333333333333333,0.9899999999999902
3,5_____,O2,AB,B_O2,CSPre,1.3333333333333333,3.1866666666666292
3,5_____,O2,CD,D_O2,CS,1.8333333333333333,3.989999999999914
3,5_____,O2,CD,D_O2,Post,5.666666666666666,7.2766666666665945
3,5_____,O2,CD,D_O2,Pre,0.3333333333333333,0.4199999999999212
3,5_____,O2,CD,D_O2,CSPre,1.5,3.5699999999999927
3,6_____,O1,AB,A_O1,CS,3,2.6366666666666276
3,6_____,O1,AB,A_O1,Post,2.166666666666667,3.0599999999998504
3,6_____,O1,AB,A_O1,Pre,0.5,0.7100000000000363
3,6_____,O1,AB,A_O1,CSPre,2.5,1.9266666666665913
3,6_____,O1,CD,C_O1,CS,1.5,2.3400000000000225
3,6_____,O1,CD,C_O1,Post,1.5,2.223333333333338
3,6_____,O1,CD,C_O1,Pre,0.8333333333333333,0.486666666666679
3,6_____,O1,CD,C_O1,CSPre,0.6666666666666667,1.8533333333333435
3,6_____,O2,AB,B_O2,CS,3.333333333333333,3.9500000000000126
3,6_____,O2,AB,B_O2,Post,2,2.9766666666667874
3,6_____,O2,AB,B_O2,Pre,0.6666666666666666,0.6499999999999795
3,6_____,O2,AB,B_O2,CSPre,2.6666666666666665,3.300000000000033
3,6_____,O2,CD,D_O2,CS,3,2.206666666666777
3,6_____,O2,CD,D_O2,Post,1.6666666666666665,3.4033333333333453
3,6_____,O2,CD,D_O2,Pre,0.6666666666666666,1.76000000000001
3,6_____,O2,CD,D_O2,CSPre,2.3333333333333335,0.44666666666676713
3,7_____,O1,AB,A_O1,CS,4.166666666666667,3.140000000000074
3,7_____,O1,AB,A_O1,Post,1.1666666666666667,2.666666666666577
3,7_____,O1,AB,A_O1,Pre,0.16666666666666666,0.20666666666666816
3,7_____,O1,AB,A_O1,CSPre,4,2.9333333333334055
3,7_____,O1,CD,C_O1,CS,1.3333333333333333,1.7366666666666977
3,7_____,O1,CD,C_O1,Post,2.166666666666667,4.3433333333332484
3,7_____,O1,CD,C_O1,Pre,1,2.4199999999999684
3,7_____,O1,CD,C_O1,CSPre,0.33333333333333326,-0.6833333333332707
3,7_____,O2,AB,B_O2,CS,3.6666666666666665,3.160000000000072
3,7_____,O2,AB,B_O2,Post,2.833333333333333,4.5766666666664735
3,7_____,O2,AB,B_O2,Pre,1,1.390000000000005
3,7_____,O2,AB,B_O2,CSPre,2.6666666666666665,1.770000000000067
3,7_____,O2,CD,D_O2,CS,1.6666666666666665,2.5999999999999663
3,7_____,O2,CD,D_O2,Post,1.5,2.1733333333333555
3,7_____,O2,CD,D_O2,Pre,0.6666666666666666,0.8966666666666374
3,7_____,O2,CD,D_O2,CSPre,0.9999999999999999,1.703333333333329
3,8_____,O1,AB,A_O1,CS,2.6666666666666665,4.04333333333337
3,8_____,O1,AB,A_O1,Post,1.5,2.910000000000035
3,8_____,O1,AB,A_O1,Pre,1,1.3833333333332878
3,8_____,O1,AB,A_O1,CSPre,1.6666666666666665,2.6600000000000827
3,8_____,O1,CD,C_O1,CS,2.5,4.263333333333246
3,8_____,O1,CD,C_O1,Post,1.5,3.873333333333335
3,8_____,O1,CD,C_O1,Pre,0.8333333333333333,0.9666666666666118
3,8_____,O1,CD,C_O1,CSPre,1.6666666666666667,3.296666666666634
3,8_____,O2,AB,B_O2,CS,3,4.346666666666553
3,8_____,O2,AB,B_O2,Post,1.6666666666666665,3.3699999999999477
3,8_____,O2,AB,B_O2,Pre,0.6666666666666666,0.999999999999962
3,8_____,O2,AB,B_O2,CSPre,2.3333333333333335,3.346666666666591
3,8_____,O2,CD,D_O2,CS,1.3333333333333333,2.2333333333333485
3,8_____,O2,CD,D_O2,Post,1.3333333333333333,4.33666666666655
3,8_____,O2,CD,D_O2,Pre,0.6666666666666666,0.7899999999999824
3,8_____,O2,CD,D_O2,CSPre,0.6666666666666666,1.4433333333333662
4,1_____,O1,AB,A_O1,CS,3.1666666666666665,4.406666666666665
4,1_____,O1,AB,A_O1,Post,4.5,4.3233333333333785
4,1_____,O1,AB,A_O1,Pre,0.5,0.436666666666699
4,1_____,O1,AB,A_O1,CSPre,2.6666666666666665,3.9699999999999664
4,1_____,O1,CD,C_O1,CS,2.3333333333333335,3.3800000000000336
4,1_____,O1,CD,C_O1,Post,2,3.2533333333332735
4,1_____,O1,CD,C_O1,Pre,0.6666666666666666,0.2999999999999925
4,1_____,O1,CD,C_O1,CSPre,1.666666666666667,3.080000000000041
4,1_____,O2,AB,B_O2,CS,3.333333333333333,3.5400000000000444
4,1_____,O2,AB,B_O2,Post,3.5,4.246666666666698
4,1_____,O2,AB,B_O2,Pre,0,0
4,1_____,O2,AB,B_O2,CSPre,3.333333333333333,3.5400000000000444
4,1_____,O2,CD,D_O2,CS,2.5,2.833333333333399
4,1_____,O2,CD,D_O2,Post,2.6666666666666665,4.87000000000008
4,1_____,O2,CD,D_O2,Pre,0.3333333333333333,0.259999999999953
4,1_____,O2,CD,D_O2,CSPre,2.1666666666666665,2.573333333333446
4,2_____,O1,AB,A_O1,CS,4.333333333333334,3.986666666666665
4,2_____,O1,AB,A_O1,Post,2.166666666666667,2.650000000000086
4,2_____,O1,AB,A_O1,Pre,0.8333333333333333,2.0533333333333035
4,2_____,O1,AB,A_O1,CSPre,3.500000000000001,1.9333333333333615
4,2_____,O1,CD,C_O1,CS,3.5,3.866666666666712
4,2_____,O1,CD,C_O1,Post,1.5,3.650000000000044
4,2_____,O1,CD,C_O1,Pre,1,1.6400000000000146
4,2_____,O1,CD,C_O1,CSPre,2.5,2.2266666666666977
4,2_____,O2,AB,B_O2,CS,2.833333333333333,2.9766666666666812
4,2_____,O2,AB,B_O2,Post,1.6666666666666665,5.070000000000038
4,2_____,O2,AB,B_O2,Pre,1,1.326666666666616
4,2_____,O2,AB,B_O2,CSPre,1.833333333333333,1.6500000000000652
4,2_____,O2,CD,D_O2,CS,2,2.496666666666641
4,2_____,O2,CD,D_O2,Post,2.5,4.980000000000094
4,2_____,O2,CD,D_O2,Pre,0.5,1.4400000000000355
4,2_____,O2,CD,D_O2,CSPre,1.5,1.0566666666666054
