Day,subject,sex,CS_name,Period,MagEntries,MagDuration
5,31____,M,B_O2,CS,3.75,6.859999999999971
5,31____,M,B_O2,Post,3,6.735000000000028
5,31____,M,B_O2,Pre,0.25,0.25499999999999545
5,31____,M,B_O2,CSPre,3.5,6.604999999999976
5,31____,M,BY_,CS,1.25,1.5299999999998304
5,31____,M,BY_,Post,1.25,2.8625000000000322
5,31____,M,BY_,Pre,0.375,0.7975000000000421
5,31____,M,BY_,CSPre,0.875,0.7324999999997883
5,32____,M,A_O1,CS,3,2.064999999999927
5,32____,M,A_O1,Post,2.25,7.164999999999849
5,32____,M,A_O1,Pre,2.5,2.4850000000001273
5,32____,M,A_O1,CSPre,0.5,-0.4200000000002002
5,32____,M,AX_,CS,0.125,0.015000000000043225
5,32____,M,AX_,Post,0.625,0.6150000000000944
5,32____,M,AX_,Pre,0.75,0.9825000000000018
5,32____,M,AX_,CSPre,-0.625,-0.9674999999999586
5,32____,M,B_O2,CS,3.5,5.340000000000104
5,32____,M,B_O2,Post,4.5,6.664999999999921
5,32____,M,B_O2,Pre,0.25,0.38999999999998625
5,32____,M,B_O2,CSPre,3.25,4.950000000000117
5,32____,M,BY_,CS,0.5,0.4524999999999863
5,32____,M,BY_,Post,0.75,1.2499999999999716
5,32____,M,BY_,Pre,0.625,0.6100000000000383
5,32____,M,BY_,CSPre,-0.125,-0.157500000000052
5,33____,M,A_O1,CS,2.5,3.649999999999835
5,33____,M,A_O1,Post,2.75,5.9699999999999696
5,33____,M,A_O1,Pre,0.5,3.860000000000042
5,33____,M,A_O1,CSPre,2,-0.2100000000002069
5,33____,M,AX_,CS,0.375,0.18000000000002103
5,33____,M,AX_,Post,0.75,1.6525000000000105
5,33____,M,AX_,Pre,1.25,2.5899999999999963
5,33____,M,AX_,CSPre,-0.875,-2.4099999999999753
5,33____,M,B_O2,CS,3.5,5.10000000000003
5,33____,M,B_O2,Post,2.75,7.464999999999861
5,33____,M,B_O2,Pre,0,0
5,33____,M,B_O2,CSPre,3.5,5.10000000000003
5,33____,M,BY_,CS,0.75,1.0474999999999817
5,33____,M,BY_,Post,0.75,1.5749999999999673
5,33____,M,BY_,Pre,0.75,0.5774999999999935
5,33____,M,BY_,CSPre,0,0.4699999999999882
5,4_____,F,A_O1,CS,2.25,2.925000000000011
5,4_____,F,A_O1,Post,2,4.6949999999998795
5,4_____,F,A_O1,Pre,0.25,0.3000000000000115
5,4_____,F,A_O1,CSPre,2,2.6249999999999996
5,4_____,F,AX_,CS,0.125,0.034999999999996624
5,4_____,F,AX_,Post,1.375,1.0775000000000006
5,4_____,F,AX_,Pre,0.125,0.1749999999999972
5,4_____,F,AX_,CSPre,0,-0.1400000000000006
5,4_____,F,B_O2,CS,3.75,3.6050000000000617
5,4_____,F,B_O2,Post,2,4.315000000000126
5,4_____,F,B_O2,Pre,0.5,1.7600000000000195
5,4_____,F,B_O2,CSPre,3.25,1.8450000000000422
5,4_____,F,BY_,CS,0.5,0.4774999999999636
5,4_____,F,BY_,Post,2.875,2.5774999999999575
5,4_____,F,BY_,Pre,0.625,0.8774999999999977
5,4_____,F,BY_,CSPre,-0.125,-0.4000000000000341
5,5_____,F,A_O1,CS,2.25,5.504999999999968
5,5_____,F,A_O1,Post,2,5.325000000000074
5,5_____,F,A_O1,Pre,0.25,1.8899999999999861
5,5_____,F,A_O1,CSPre,2,3.6149999999999816
5,5_____,F,AX_,CS,0.875,1.5400000000000489
5,5_____,F,AX_,Post,0.75,1.7600000000000513
5,5_____,F,AX_,Pre,0.5,1.3149999999999693
5,5_____,F,AX_,CSPre,0.375,0.22500000000007958
5,5_____,F,B_O2,CS,1.75,4.284999999999911
5,5_____,F,B_O2,Post,1.5,6.800000000000011
5,5_____,F,B_O2,Pre,0.25,0.5649999999999409
5,5_____,F,B_O2,CSPre,1.5,3.7199999999999704
5,5_____,F,BY_,CS,0.25,0.552500000000009
5,5_____,F,BY_,Post,0.625,1.1149999999999949
5,5_____,F,BY_,Pre,0.625,1.1099999999999781
5,5_____,F,BY_,CSPre,-0.375,-0.5574999999999691
5,6_____,F,A_O1,CS,3.25,2.99999999999983
5,6_____,F,A_O1,Post,1.25,4.80000000000004
5,6_____,F,A_O1,Pre,0,0
5,6_____,F,A_O1,CSPre,3.25,2.99999999999983
5,6_____,F,AX_,CS,0.75,0.24249999999995003
5,6_____,F,AX_,Post,1.375,1.619999999999905
5,6_____,F,AX_,Pre,0.25,0.9699999999999703
5,6_____,F,AX_,CSPre,0.5,-0.7275000000000202
5,6_____,F,B_O2,CS,3,2.514999999999987
5,6_____,F,B_O2,Post,2.25,2.269999999999967
5,6_____,F,B_O2,Pre,0.25,1
5,6_____,F,B_O2,CSPre,2.75,1.5149999999999868
5,6_____,F,BY_,CS,0.25,0.07499999999998863
5,6_____,F,BY_,Post,0.25,0.11500000000000912
5,6_____,F,BY_,Pre,0.125,0.19749999999999088
5,6_____,F,BY_,CSPre,0.125,-0.12250000000000225
5,7_____,F,A_O1,CS,3.25,3.5050000000000523
5,7_____,F,A_O1,Post,1,3.2799999999999585
5,7_____,F,A_O1,Pre,1.5,1.3750000000000564
5,7_____,F,A_O1,CSPre,1.75,2.129999999999996
5,7_____,F,AX_,CS,0.25,0.012499999999988624
5,7_____,F,AX_,Post,0.5,0.19249999999998116
5,7_____,F,AX_,Pre,1,0.9924999999999784
5,7_____,F,AX_,CSPre,-0.75,-0.9799999999999898
5,7_____,F,B_O2,CS,4.75,3.485000000000042
5,7_____,F,B_O2,Post,5.75,5.375000000000058
5,7_____,F,B_O2,Pre,1.25,0.5149999999999295
5,7_____,F,B_O2,CSPre,3.5,2.9700000000001125
5,7_____,F,BY_,CS,1,0.5174999999999839
5,7_____,F,BY_,Post,0.875,0.8649999999999523
5,7_____,F,BY_,Pre,0,0
5,7_____,F,BY_,CSPre,1,0.5174999999999839
5,8_____,F,A_O1,CS,1.5,3.3850000000000637
5,8_____,F,A_O1,Post,1.25,4.079999999999963
5,8_____,F,A_O1,Pre,0.75,1.3249999999999034
5,8_____,F,A_O1,CSPre,0.75,2.0600000000001604
5,8_____,F,AX_,CS,0.25,0.17999999999997837
5,8_____,F,AX_,Post,1,0.9374999999999679
5,8_____,F,AX_,Pre,0.375,0.2625000000000099
5,8_____,F,AX_,CSPre,-0.125,-0.08250000000003152
5,8_____,F,B_O2,CS,3.25,6.530000000000044
5,8_____,F,B_O2,Post,2,6.185000000000045
5,8_____,F,B_O2,Pre,0.5,0.0350000000000249
