TestCondition,Day,subject,ExcludeSubject,Value,Probability,measure,Freq
High_100Vs50,Day13,15____,Keep,High,P100,CS,4
High_100Vs50,Day13,15____,Keep,High,P50,CS,1
High_100Vs50,Day13,15____,Keep,High,P100,LP,11
High_100Vs50,Day13,15____,Keep,High,P50,LP,4
High_100Vs50,Day13,15____,Keep,Diff,High,CS,3
High_100Vs50,Day13,15____,Keep,Diff,High,LP,7
High_100Vs50,Day13,15____,Keep,PercDiff,High,LP,46.666666666666664
High_100Vs50,Day13,35____,Keep,High,P100,CS,3
High_100Vs50,Day13,35____,Keep,High,P50,CS,4
High_100Vs50,Day13,35____,Keep,High,P100,LP,7
High_100Vs50,Day13,35____,Keep,High,P50,LP,10
High_100Vs50,Day13,35____,Keep,Diff,High,CS,-1
High_100Vs50,Day13,35____,Keep,Diff,High,LP,-3
High_100Vs50,Day13,35____,Keep,PercDiff,High,LP,-17.647058823529413
High_100Vs50,Day13,37____,Exclude,High,P100,CS,0
High_100Vs50,Day13,37____,Exclude,High,P50,CS,1
High_100Vs50,Day13,37____,Exclude,High,P100,LP,0
High_100Vs50,Day13,37____,Exclude,High,P50,LP,2
High_100Vs50,Day13,37____,Exclude,Diff,High,CS,-1
High_100Vs50,Day13,37____,Exclude,Diff,High,LP,-2
High_100Vs50,Day13,37____,Exclude,PercDiff,High,LP,-100
High_100Vs50,Day13,39____,Exclude,High,P100,CS,0
High_100Vs50,Day13,39____,Exclude,High,P50,CS,2
High_100Vs50,Day13,39____,Exclude,High,P100,LP,0
High_100Vs50,Day13,39____,Exclude,High,P50,LP,5
High_100Vs50,Day13,39____,Exclude,Diff,High,CS,-2
High_100Vs50,Day13,39____,Exclude,Diff,High,LP,-5
High_100Vs50,Day13,39____,Exclude,PercDiff,High,LP,-100
High_100Vs50,Day13,41____,Keep,High,P100,CS,24
High_100Vs50,Day13,41____,Keep,High,P50,CS,6
High_100Vs50,Day13,41____,Keep,High,P100,LP,59
High_100Vs50,Day13,41____,Keep,High,P50,LP,16
High_100Vs50,Day13,41____,Keep,Diff,High,CS,18
High_100Vs50,Day13,41____,Keep,Diff,High,LP,43
High_100Vs50,Day13,41____,Keep,PercDiff,High,LP,57.333333333333336
High_100Vs50,Day16,11____,Keep,High,P100,CS,5
High_100Vs50,Day16,11____,Keep,High,P50,CS,2
High_100Vs50,Day16,11____,Keep,High,P100,LP,11
High_100Vs50,Day16,11____,Keep,High,P50,LP,4
High_100Vs50,Day16,11____,Keep,Diff,High,CS,3
High_100Vs50,Day16,11____,Keep,Diff,High,LP,7
High_100Vs50,Day16,11____,Keep,PercDiff,High,LP,46.666666666666664
High_100Vs50,Day16,14____,Exclude,High,P100,CS,0
High_100Vs50,Day16,14____,Exclude,High,P50,CS,11
High_100Vs50,Day16,14____,Exclude,High,P100,LP,1
High_100Vs50,Day16,14____,Exclude,High,P50,LP,25
High_100Vs50,Day16,14____,Exclude,Diff,High,CS,-11
High_100Vs50,Day16,14____,Exclude,Diff,High,LP,-24
High_100Vs50,Day16,14____,Exclude,PercDiff,High,LP,-92.3076923076923
High_100Vs50,Day16,16____,Keep,High,P100,CS,1
High_100Vs50,Day16,16____,Keep,High,P50,CS,1
High_100Vs50,Day16,16____,Keep,High,P100,LP,3
High_100Vs50,Day16,16____,Keep,High,P50,LP,2
High_100Vs50,Day16,16____,Keep,Diff,High,CS,0
High_100Vs50,Day16,16____,Keep,Diff,High,LP,1
High_100Vs50,Day16,16____,Keep,PercDiff,High,LP,20
High_100Vs50,Day16,34____,Exclude,High,P100,CS,0
High_100Vs50,Day16,34____,Exclude,High,P50,CS,1
High_100Vs50,Day16,34____,Exclude,High,P100,LP,0
High_100Vs50,Day16,34____,Exclude,High,P50,LP,2
High_100Vs50,Day16,34____,Exclude,Diff,High,CS,-1
High_100Vs50,Day16,34____,Exclude,Diff,High,LP,-2
High_100Vs50,Day16,34____,Exclude,PercDiff,High,LP,-100
High_100Vs50,Day16,36____,Exclude,High,P100,CS,1
High_100Vs50,Day16,36____,Exclude,High,P50,CS,0
High_100Vs50,Day16,36____,Exclude,High,P100,LP,2
High_100Vs50,Day16,36____,Exclude,High,P50,LP,1
High_100Vs50,Day16,36____,Exclude,Diff,High,CS,1
High_100Vs50,Day16,36____,Exclude,Diff,High,LP,1
High_100Vs50,Day16,36____,Exclude,PercDiff,High,LP,33.333333333333336
High_100Vs50,Day16,38____,Exclude,High,P100,CS,7
High_100Vs50,Day16,38____,Exclude,High,P50,CS,0
High_100Vs50,Day16,38____,Exclude,High,P100,LP,17
High_100Vs50,Day16,38____,Exclude,High,P50,LP,1
High_100Vs50,Day16,38____,Exclude,Diff,High,CS,7
High_100Vs50,Day16,38____,Exclude,Diff,High,LP,16
High_100Vs50,Day16,38____,Exclude,PercDiff,High,LP,88.88888888888889
High_100Vs50,Day16,40____,Keep,High,P100,CS,50
High_100Vs50,Day16,40____,Keep,High,P50,CS,7
High_100Vs50,Day16,40____,Keep,High,P100,LP,137
High_100Vs50,Day16,40____,Keep,High,P50,LP,16
High_100Vs50,Day16,40____,Keep,Diff,High,CS,43
High_100Vs50,Day16,40____,Keep,Diff,High,LP,121
High_100Vs50,Day16,40____,Keep,PercDiff,High,LP,79.08496732026144
High_100Vs50,Day16,9_____,Keep,High,P100,CS,9
High_100Vs50,Day16,9_____,Keep,High,P50,CS,10
High_100Vs50,Day16,9_____,Keep,High,P100,LP,27
High_100Vs50,Day16,9_____,Keep,High,P50,LP,32
High_100Vs50,Day16,9_____,Keep,Diff,High,CS,-1
High_100Vs50,Day16,9_____,Keep,Diff,High,LP,-5
High_100Vs50,Day16,9_____,Keep,PercDiff,High,LP,-8.474576271186441
Low_100Vs50,Day13,10____,Exclude,Low,P100,CS,0
Low_100Vs50,Day13,10____,Exclude,Low,P50,CS,5
