TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
P50_HighVsLow,64,9_____,Click_Noise,Keep,High,P50,CS,3
P50_HighVsLow,64,9_____,Click_Noise,Keep,Low,P50,CS,5
P50_HighVsLow,64,9_____,Click_Noise,Keep,High,P50,LP,7
P50_HighVsLow,64,9_____,Click_Noise,Keep,Low,P50,LP,15
P50_HighVsLow,64,9_____,Click_Noise,Keep,Diff,P50,CS,-2
P50_HighVsLow,64,9_____,Click_Noise,Keep,Diff,P50,LP,-8
P50_HighVsLow,64,9_____,Click_Noise,Keep,PercDiff,P50,LP,-36.36363636363637
P50_HighVsLow,67,14____,Siren_Click,Exclude,High,P50,CS,0
P50_HighVsLow,67,14____,Siren_Click,Exclude,Low,P50,CS,5
P50_HighVsLow,67,14____,Siren_Click,Exclude,High,P50,LP,2
P50_HighVsLow,67,14____,Siren_Click,Exclude,Low,P50,LP,13
P50_HighVsLow,67,14____,Siren_Click,Exclude,Diff,P50,CS,-5
P50_HighVsLow,67,14____,Siren_Click,Exclude,Diff,P50,LP,-11
P50_HighVsLow,67,14____,Siren_Click,Exclude,PercDiff,P50,LP,-73.33333333333333
P50_HighVsLow,67,39____,Siren_Click,Exclude,High,P50,CS,1
P50_HighVsLow,67,39____,Siren_Click,Exclude,Low,P50,CS,0
P50_HighVsLow,67,39____,Siren_Click,Exclude,High,P50,LP,2
P50_HighVsLow,67,39____,Siren_Click,Exclude,Low,P50,LP,2
P50_HighVsLow,67,39____,Siren_Click,Exclude,Diff,P50,CS,1
P50_HighVsLow,67,39____,Siren_Click,Exclude,Diff,P50,LP,0
P50_HighVsLow,67,39____,Siren_Click,Exclude,PercDiff,P50,LP,0
P50_HighVsLow,68,10____,Siren_Click,Keep,High,P50,CS,10
P50_HighVsLow,68,10____,Siren_Click,Keep,Low,P50,CS,2
P50_HighVsLow,68,10____,Siren_Click,Keep,High,P50,LP,25
P50_HighVsLow,68,10____,Siren_Click,Keep,Low,P50,LP,5
P50_HighVsLow,68,10____,Siren_Click,Keep,Diff,P50,CS,8
P50_HighVsLow,68,10____,Siren_Click,Keep,Diff,P50,LP,20
P50_HighVsLow,68,10____,Siren_Click,Keep,PercDiff,P50,LP,66.66666666666667
P50_HighVsLow,68,35____,Siren_Click,Keep,High,P50,CS,8
P50_HighVsLow,68,35____,Siren_Click,Keep,Low,P50,CS,4
P50_HighVsLow,68,35____,Siren_Click,Keep,High,P50,LP,18
P50_HighVsLow,68,35____,Siren_Click,Keep,Low,P50,LP,12
P50_HighVsLow,68,35____,Siren_Click,Keep,Diff,P50,CS,4
P50_HighVsLow,68,35____,Siren_Click,Keep,Diff,P50,LP,6
P50_HighVsLow,68,35____,Siren_Click,Keep,PercDiff,P50,LP,20
P50_HighVsLow,69,12____,Noise_Tone,Exclude,High,P50,CS,0
P50_HighVsLow,69,12____,Noise_Tone,Exclude,Low,P50,CS,0
P50_HighVsLow,69,12____,Noise_Tone,Exclude,High,P50,LP,0
P50_HighVsLow,69,12____,Noise_Tone,Exclude,Low,P50,LP,1
P50_HighVsLow,69,12____,Noise_Tone,Exclude,Diff,P50,CS,0
P50_HighVsLow,69,12____,Noise_Tone,Exclude,Diff,P50,LP,-1
P50_HighVsLow,69,12____,Noise_Tone,Exclude,PercDiff,P50,LP,-100
P50_HighVsLow,70,16____,Noise_Tone,Keep,High,P50,CS,1
P50_HighVsLow,70,16____,Noise_Tone,Keep,Low,P50,CS,4
P50_HighVsLow,70,16____,Noise_Tone,Keep,High,P50,LP,4
P50_HighVsLow,70,16____,Noise_Tone,Keep,Low,P50,LP,8
P50_HighVsLow,70,16____,Noise_Tone,Keep,Diff,P50,CS,-3
P50_HighVsLow,70,16____,Noise_Tone,Keep,Diff,P50,LP,-4
P50_HighVsLow,70,16____,Noise_Tone,Keep,PercDiff,P50,LP,-33.333333333333336
P50_HighVsLow,70,41____,Noise_Tone,Keep,High,P50,CS,4
P50_HighVsLow,70,41____,Noise_Tone,Keep,Low,P50,CS,14
P50_HighVsLow,70,41____,Noise_Tone,Keep,High,P50,LP,15
P50_HighVsLow,70,41____,Noise_Tone,Keep,Low,P50,LP,43
P50_HighVsLow,70,41____,Noise_Tone,Keep,Diff,P50,CS,-10
P50_HighVsLow,70,41____,Noise_Tone,Keep,Diff,P50,LP,-28
P50_HighVsLow,70,41____,Noise_Tone,Keep,PercDiff,P50,LP,-48.275862068965516
P50_HighVsLow,73,15____,Tone_Siren,Keep,High,P50,CS,5
P50_HighVsLow,73,15____,Tone_Siren,Keep,Low,P50,CS,2
P50_HighVsLow,73,15____,Tone_Siren,Keep,High,P50,LP,17
P50_HighVsLow,73,15____,Tone_Siren,Keep,Low,P50,LP,7
P50_HighVsLow,73,15____,Tone_Siren,Keep,Diff,P50,CS,3
P50_HighVsLow,73,15____,Tone_Siren,Keep,Diff,P50,LP,10
P50_HighVsLow,73,15____,Tone_Siren,Keep,PercDiff,P50,LP,41.666666666666664
P50_HighVsLow,73,40____,Tone_Siren,Keep,High,P50,CS,11
P50_HighVsLow,73,40____,Tone_Siren,Keep,Low,P50,CS,12
P50_HighVsLow,73,40____,Tone_Siren,Keep,High,P50,LP,39
P50_HighVsLow,73,40____,Tone_Siren,Keep,Low,P50,LP,34
P50_HighVsLow,73,40____,Tone_Siren,Keep,Diff,P50,CS,-1
P50_HighVsLow,73,40____,Tone_Siren,Keep,Diff,P50,LP,5
P50_HighVsLow,73,40____,Tone_Siren,Keep,PercDiff,P50,LP,6.8493150684931505
P50_HighVsLow,74,11____,Tone_Siren,Exclude,High,P50,CS,4
P50_HighVsLow,74,11____,Tone_Siren,Exclude,Low,P50,CS,0
P50_HighVsLow,74,11____,Tone_Siren,Exclude,High,P50,LP,8
P50_HighVsLow,74,11____,Tone_Siren,Exclude,Low,P50,LP,0
P50_HighVsLow,74,11____,Tone_Siren,Exclude,Diff,P50,CS,4
P50_HighVsLow,74,11____,Tone_Siren,Exclude,Diff,P50,LP,8
P50_HighVsLow,74,11____,Tone_Siren,Exclude,PercDiff,P50,LP,100
High_100Vs50,65,15____,Click_Tone,Keep,High,P100,CS,7
High_100Vs50,65,15____,Click_Tone,Keep,High,P50,CS,4
High_100Vs50,65,15____,Click_Tone,Keep,High,P100,LP,19
High_100Vs50,65,15____,Click_Tone,Keep,High,P50,LP,9
High_100Vs50,65,15____,Click_Tone,Keep,Diff,High,CS,3
High_100Vs50,65,15____,Click_Tone,Keep,Diff,High,LP,10
High_100Vs50,65,15____,Click_Tone,Keep,PercDiff,High,LP,35.714285714285715
High_100Vs50,65,40____,Click_Tone,Keep,High,P100,CS,33
High_100Vs50,65,40____,Click_Tone,Keep,High,P50,CS,16
High_100Vs50,65,40____,Click_Tone,Keep,High,P100,LP,107
High_100Vs50,65,40____,Click_Tone,Keep,High,P50,LP,43
High_100Vs50,65,40____,Click_Tone,Keep,Diff,High,CS,17
High_100Vs50,65,40____,Click_Tone,Keep,Diff,High,LP,64
High_100Vs50,65,40____,Click_Tone,Keep,PercDiff,High,LP,42.666666666666664
High_100Vs50,65,9_____,Tone_Click,Exclude,High,P100,CS,0
High_100Vs50,65,9_____,Tone_Click,Exclude,High,P50,CS,20
High_100Vs50,65,9_____,Tone_Click,Exclude,High,P100,LP,3
High_100Vs50,65,9_____,Tone_Click,Exclude,High,P50,LP,58
High_100Vs50,65,9_____,Tone_Click,Exclude,Diff,High,CS,-20
High_100Vs50,65,9_____,Tone_Click,Exclude,Diff,High,LP,-55
High_100Vs50,65,9_____,Tone_Click,Exclude,PercDiff,High,LP,-90.1639344262295
High_100Vs50,66,11____,Click_Tone,Keep,High,P100,CS,10
High_100Vs50,66,11____,Click_Tone,Keep,High,P50,CS,4
High_100Vs50,66,11____,Click_Tone,Keep,High,P100,LP,23
High_100Vs50,66,11____,Click_Tone,Keep,High,P50,LP,8
High_100Vs50,66,11____,Click_Tone,Keep,Diff,High,CS,6
High_100Vs50,66,11____,Click_Tone,Keep,Diff,High,LP,15
High_100Vs50,66,11____,Click_Tone,Keep,PercDiff,High,LP,48.38709677419355
High_100Vs50,66,13____,Tone_Click,Keep,High,P100,CS,7
High_100Vs50,66,13____,Tone_Click,Keep,High,P50,CS,41
High_100Vs50,66,13____,Tone_Click,Keep,High,P100,LP,18
High_100Vs50,66,13____,Tone_Click,Keep,High,P50,LP,102
