Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,1,39____,50,Low,M,B+-,Pre,0.25,0.115000000000009
1.Acquisition,1,39____,50,Low,M,B+-,CSPre,2,3.7700000000000955
1.Acquisition,1,39____,100,High,M,C++,CS,0.5,0.39500000000003854
1.Acquisition,1,39____,100,High,M,C++,Post,2,5.389999999999958
1.Acquisition,1,39____,100,High,M,C++,Pre,0.5,0.7350000000000421
1.Acquisition,1,39____,100,High,M,C++,CSPre,0,-0.3400000000000035
1.Acquisition,1,39____,100,Low,M,D+,CS,0.5,1.82000000000005
1.Acquisition,1,39____,100,Low,M,D+,Post,1,3.879999999999995
1.Acquisition,1,39____,100,Low,M,D+,Pre,0,0
1.Acquisition,1,39____,100,Low,M,D+,CSPre,0.5,1.82000000000005
1.Acquisition,1,40____,50,High,M,A++--,CS,0.5,1.375
1.Acquisition,1,40____,50,High,M,A++--,Post,4,3.5599999999999454
1.Acquisition,1,40____,50,High,M,A++--,Pre,1,1.979999999999961
1.Acquisition,1,40____,50,High,M,A++--,CSPre,-0.5,-0.6049999999999609
1.Acquisition,1,40____,50,Low,M,B+-,CS,0.5,1.234999999999971
1.Acquisition,1,40____,50,Low,M,B+-,Post,3.25,5.949999999999989
1.Acquisition,1,40____,50,Low,M,B+-,Pre,1.5,0.8199999999999648
1.Acquisition,1,40____,50,Low,M,B+-,CSPre,-1,0.41500000000000625
1.Acquisition,1,40____,100,High,M,C++,CS,2,2.4850000000000496
1.Acquisition,1,40____,100,High,M,C++,Post,0.75,7.59499999999997
1.Acquisition,1,40____,100,High,M,C++,Pre,1,1.2000000000000455
1.Acquisition,1,40____,100,High,M,C++,CSPre,1,1.2850000000000041
1.Acquisition,1,40____,100,Low,M,D+,CS,1.75,2.0750000000000455
1.Acquisition,1,40____,100,Low,M,D+,Post,1.25,1.5050000000000807
1.Acquisition,1,40____,100,Low,M,D+,Pre,1.75,2.329999999999984
1.Acquisition,1,40____,100,Low,M,D+,CSPre,0,-0.2549999999999386
1.Acquisition,1,41____,50,High,M,A++--,CS,3.75,5.1099999999998715
1.Acquisition,1,41____,50,High,M,A++--,Post,0.5,6.32000000000005
1.Acquisition,1,41____,50,High,M,A++--,Pre,0.25,0.0950000000000272
1.Acquisition,1,41____,50,High,M,A++--,CSPre,3.5,5.014999999999844
1.Acquisition,1,41____,50,Low,M,B+-,CS,0,0
1.Acquisition,1,41____,50,Low,M,B+-,Post,1,2.2150000000000176
1.Acquisition,1,41____,50,Low,M,B+-,Pre,0.75,0.4949999999999617
1.Acquisition,1,41____,50,Low,M,B+-,CSPre,-0.75,-0.4949999999999617
1.Acquisition,1,41____,100,High,M,C++,CS,0.25,0.0349999999999965
1.Acquisition,1,41____,100,High,M,C++,Post,2,4.4699999999998
1.Acquisition,1,41____,100,High,M,C++,Pre,0.5,1.2099999999999864
1.Acquisition,1,41____,100,High,M,C++,CSPre,-0.25,-1.1749999999999898
1.Acquisition,1,41____,100,Low,M,D+,CS,1.5,4.664999999999964
1.Acquisition,1,41____,100,Low,M,D+,Post,1.75,4.934999999999974
1.Acquisition,1,41____,100,Low,M,D+,Pre,1,0.5249999999999773
1.Acquisition,1,41____,100,Low,M,D+,CSPre,0.5,4.139999999999986
1.Acquisition,1,9_____,50,High,F,A++--,CS,2.25,4.939999999999969
1.Acquisition,1,9_____,50,High,F,A++--,Post,1.5,6.8249999999998465
1.Acquisition,1,9_____,50,High,F,A++--,Pre,1,1.4300000000000352
1.Acquisition,1,9_____,50,High,F,A++--,CSPre,1.25,3.509999999999934
1.Acquisition,1,9_____,50,Low,F,B+-,CS,2.25,3.2600000000001046
1.Acquisition,1,9_____,50,Low,F,B+-,Post,1.75,6.195000000000022
1.Acquisition,1,9_____,50,Low,F,B+-,Pre,1.75,2.2500000000000715
1.Acquisition,1,9_____,50,Low,F,B+-,CSPre,0.5,1.010000000000033
1.Acquisition,1,9_____,100,High,F,C++,CS,1.5,3.3850000000002183
1.Acquisition,1,9_____,100,High,F,C++,Post,1.25,8.14999999999992
1.Acquisition,1,9_____,100,High,F,C++,Pre,0,0.24000000000000904
1.Acquisition,1,9_____,100,High,F,C++,CSPre,1.5,3.145000000000209
1.Acquisition,1,9_____,100,Low,F,D+,CS,1.5,4.6749999999999545
1.Acquisition,1,9_____,100,Low,F,D+,Post,1.75,8.575000000000074
1.Acquisition,1,9_____,100,Low,F,D+,Pre,1.75,1.4050000000001153
1.Acquisition,1,9_____,100,Low,F,D+,CSPre,-0.25,3.2699999999998393
1.Acquisition,2,10____,50,High,F,A++--,CS,2.25,6.069999999999993
1.Acquisition,2,10____,50,High,F,A++--,Post,0.75,6.985000000000042
1.Acquisition,2,10____,50,High,F,A++--,Pre,1.25,2.490000000000066
1.Acquisition,2,10____,50,High,F,A++--,CSPre,1,3.5799999999999272
1.Acquisition,2,10____,50,Low,F,B+-,CS,2.75,3.9250000000001606
1.Acquisition,2,10____,50,Low,F,B+-,Post,1.75,5.475000000000087
1.Acquisition,2,10____,50,Low,F,B+-,Pre,1.25,3.455000000000055
1.Acquisition,2,10____,50,Low,F,B+-,CSPre,1.5,0.47000000000010544
1.Acquisition,2,10____,100,High,F,C++,CS,4.5,4.979999999999876
1.Acquisition,2,10____,100,High,F,C++,Post,1.25,9.035000000000053
1.Acquisition,2,10____,100,High,F,C++,Pre,1.25,2.6799999999998647
1.Acquisition,2,10____,100,High,F,C++,CSPre,3.25,2.3000000000000114
1.Acquisition,2,10____,100,Low,F,D+,CS,2,4.180000000000007
1.Acquisition,2,10____,100,Low,F,D+,Post,2.25,8.775000000000034
1.Acquisition,2,10____,100,Low,F,D+,Pre,1.25,2.1849999999999454
1.Acquisition,2,10____,100,Low,F,D+,CSPre,0.75,1.9950000000000614
1.Acquisition,2,11____,50,High,F,A++--,CS,1.25,6.1050000000001035
1.Acquisition,2,11____,50,High,F,A++--,Post,3,7.7749999999999355
