Group,Subject,1Lever_DevaluedLever?,Minute Counter,lever Presses,MagEntries,MagDuration,Devaluation
Sucrose,16,Devalued,3,1,0.5,19.5,Devalued
Sucrose,16,Devalued,4,8.5,4,342.5,Devalued
Sucrose,16,Devalued,5,2,2,155.5,Devalued
Sucrose,16,Devalued,6,2.5,4,339,Devalued
Sucrose,16,Devalued,7,0.5,1,91,Devalued
Sucrose,16,Devalued,8,1.5,4,205,Devalued
Sucrose,16,Non-Devalued,1,6.5,4,111.5,Non-Devalued
Sucrose,16,Non-Devalued,2,6.5,4.5,195,Non-Devalued
Sucrose,16,Non-Devalued,3,5.5,1.5,62.00000000000001,Non-Devalued
Sucrose,16,Non-Devalued,4,3,2.5,152,Non-Devalued
Sucrose,16,Non-Devalued,5,3.5,2,230,Non-Devalued
Sucrose,16,Non-Devalued,6,0.5,2,56.5,Non-Devalued
Sucrose,16,Non-Devalued,7,0.5,2,108,Non-Devalued
Sucrose,16,Non-Devalued,8,0,1,41,Non-Devalued
