Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,2,15,Click,Pellet,4.25,5.875,8,13.875
skr214_sPIT_Satiety,2,15,Noise,Sucrose,5,4.25,9.125,13.375
skr214_sPIT_Satiety,2,15,Tone,Maltodextrin,2.5,7.25,7.75,15
skr214_sPIT_Satiety,2,16,Click,Sucrose,4,10.25,3.875,14.125
skr214_sPIT_Satiety,2,16,Noise,Maltodextrin,4,8.125,5.25,13.375
skr214_sPIT_Satiety,2,16,Tone,Pellet,1.75,4.625,6.75,11.375
skr214_sPIT_Satiety,3,1,Click,Maltodextrin,3.25,11.25,2.5,13.75
skr214_sPIT_Satiety,3,1,Noise,Sucrose,3.5,16,3.5,19.5
skr214_sPIT_Satiety,3,1,Tone,Pellet,3.5,8.75,5.125,13.875
skr214_sPIT_Satiety,3,2,Click,Pellet,4,11.25,1.875,13.125
skr214_sPIT_Satiety,3,2,Noise,Sucrose,3.25,10.5,5.25,15.75
skr214_sPIT_Satiety,3,2,Tone,Maltodextrin,3.5,8,4.75,12.75
skr214_sPIT_Satiety,3,3,Click,Sucrose,3,13.5,7,20.5
skr214_sPIT_Satiety,3,3,Noise,Pellet,5,16.25,9.5,25.75
skr214_sPIT_Satiety,3,3,Tone,Maltodextrin,4.5,6.25,5.625,11.875
skr214_sPIT_Satiety,3,4,Click,Maltodextrin,3.75,3.75,4.125,7.875
skr214_sPIT_Satiety,3,4,Noise,Pellet,3,7,5.875,12.875
skr214_sPIT_Satiety,3,4,Tone,Sucrose,3.5,6,5.375,11.375
skr214_sPIT_Satiety,3,5,Click,Sucrose,3.75,8.75,4.375,13.125
skr214_sPIT_Satiety,3,5,Noise,Maltodextrin,3,10,4.25,14.25
skr214_sPIT_Satiety,3,5,Tone,Pellet,3.5,9.125,4.25,13.375
skr214_sPIT_Satiety,3,6,Click,Pellet,4.5,7,4.25,11.25
skr214_sPIT_Satiety,3,6,Noise,Maltodextrin,3.25,4.75,8.375,13.125
skr214_sPIT_Satiety,3,6,Tone,Sucrose,4.5,3.75,4.375,8.125
skr214_sPIT_Satiety,3,7,Click,Maltodextrin,5.25,11,3.125,14.125
skr214_sPIT_Satiety,3,7,Noise,Sucrose,2.75,16,3,19
skr214_sPIT_Satiety,3,7,Tone,Pellet,3.25,11.5,3.5,15
skr214_sPIT_Satiety,3,8,Click,Sucrose,2.5,1.375,5.25,6.625
skr214_sPIT_Satiety,3,8,Noise,Pellet,3.5,5.5,7,12.5
skr214_sPIT_Satiety,3,8,Tone,Maltodextrin,6.25,0,7.625,7.625
skr214_sPIT_Satiety,3,9,Click,Maltodextrin,3.25,8.375,4.625,13
skr214_sPIT_Satiety,3,9,Noise,Sucrose,5.5,17.125,5.875,23
skr214_sPIT_Satiety,3,9,Tone,Pellet,2.5,12.125,4.125,16.25
skr214_sPIT_Satiety,3,10,Click,Pellet,3.25,9.625,4.375,14
