Experiment,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr214_sPIT_Satiety,RR5,1,4,Maltodextrin,right,84,19,591.99,8.513657325292657,96,9.729894086048752
skr214_sPIT_Satiety,RR5,1,5,Maltodextrin,right,132,19,1604.99,4.934610184487131,184,6.8785475298911525
skr214_sPIT_Satiety,RR5,1,6,Maltodextrin,right,81,19,691.99,7.023222878943337,112,9.711122993106837
skr214_sPIT_Satiety,RR5,1,7,Maltodextrin,right,81,19,282.99,17.17375172267571,81,17.17375172267571
skr214_sPIT_Satiety,RR5,1,8,Maltodextrin,right,93,19,531.99,10.488918964642192,112,12.631816387526081
skr214_sPIT_Satiety,RR5,1,9,Maltodextrin,Left,142,19,428.99,19.860602811254342,118,16.503881209352198
skr214_sPIT_Satiety,RR5,1,10,Maltodextrin,Left,81,19,384.99,12.623704511805501,89,13.870490142601106
skr214_sPIT_Satiety,RR5,1,11,Maltodextrin,Left,69,19,246.99,16.76181221911818,43,10.445767035102635
skr214_sPIT_Satiety,RR5,1,12,Maltodextrin,Left,52,19,381.99,8.167753082541427,69,10.837980051833819
skr214_sPIT_Satiety,RR5,1,13,Maltodextrin,Left,87,19,406.99,12.825867957443672,81,11.941325339688936
skr214_sPIT_Satiety,RR5,1,14,Maltodextrin,Left,73,19,592.99,7.3862965648661865,108,10.92767163021299
skr214_sPIT_Satiety,RR5,1,15,Maltodextrin,Left,100,19,498.99,12.024289063909096,109,13.106475079660914
skr214_sPIT_Satiety,RR5,1,16,Maltodextrin,Left,86,19,295.99,17.43302138585763,82,16.62218318186425
skr214_sPIT_Satiety,RR5,2,1,Maltodextrin,right,115,20,884.99,7.796698267777037,145,9.83061955502322
skr214_sPIT_Satiety,RR5,2,2,Maltodextrin,right,76,20,234.99,19.405081067279458,41,10.468530575769181
skr214_sPIT_Satiety,RR5,2,3,Maltodextrin,right,161,20,1218.99,7.924593310855709,203,9.991878522383285
skr214_sPIT_Satiety,RR5,2,4,Maltodextrin,right,70,20,337.99,12.42640314802213,50,8.876002248587236
skr214_sPIT_Satiety,RR5,2,5,Maltodextrin,right,117,20,318.99,22.006959465813974,56,10.533245556287032
skr214_sPIT_Satiety,RR5,2,6,Maltodextrin,right,113,20,397.99,17.03560390964597,76,11.457574310912333
skr214_sPIT_Satiety,RR5,2,7,Maltodextrin,right,115,21,732.99,9.413498137764499,134,10.968771743134285
skr214_sPIT_Satiety,RR5,2,8,Maltodextrin,right,86,20,329.99,15.636837479923633,59,10.72759780599412
skr214_sPIT_Satiety,RR5,2,9,Maltodextrin,Left,144,20,465.99,18.541170411382218,95,12.232022146397991
skr214_sPIT_Satiety,RR5,2,10,Maltodextrin,Left,111,20,404.99,16.444850490135558,70,10.370626435220622
skr214_sPIT_Satiety,RR5,2,11,Maltodextrin,Left,149,20,412.99,21.647013244872756,64,9.298045957529236
skr214_sPIT_Satiety,RR5,2,12,Maltodextrin,Left,97,20,381.99,15.23600094243305,78,12.251629623812143
skr214_sPIT_Satiety,RR5,2,13,Maltodextrin,Left,108,20,565.99,11.448965529426314,87,9.22277778759342
skr214_sPIT_Satiety,RR5,2,14,Maltodextrin,Left,113,20,834.99,8.11985772284698,109,7.832429130887794
skr214_sPIT_Satiety,RR5,2,15,Maltodextrin,Left,105,20,643.99,9.782760601872699,104,9.689591453283436
skr214_sPIT_Satiety,RR5,2,16,Maltodextrin,Left,113,20,294.99,22.98382996033764,73,14.84796094782874
skr214_sPIT_Satiety,RR10,3,1,Maltodextrin,right,221,20,1542.99,8.59370443100733,121,4.705150389827542
skr214_sPIT_Satiety,RR10,3,2,Maltodextrin,right,172,20,806.99,12.788262555917669,106,7.881138551902749
