Subject,1Lever_DevaluedLever?,Minute Counter,lever Presses,MagEntries,MagDuration,Devaluation
27,Devalued,5,15,1.5,71.5,Devalued
27,Devalued,6,0,0,0,Devalued
27,Devalued,7,0,0,0,Devalued
27,Devalued,8,0,0,0,Devalued
27,Non-Devalued,1,10.5,3,99,Non-Devalued
27,Non-Devalued,2,0.5,0,0,Non-Devalued
27,Non-Devalued,3,0,0,0,Non-Devalued
27,Non-Devalued,4,0,0.5,38.5,Non-Devalued
27,Non-Devalued,5,0,0,0,Non-Devalued
27,Non-Devalued,6,0,0.5,121,Non-Devalued
27,Non-Devalued,7,0,0.5,8.5,Non-Devalued
27,Non-Devalued,8,0,0,0,Non-Devalued
28,Devalued,1,5.5,4,116.5,Devalued
28,Devalued,2,1.5,0.5,60,Devalued
28,Devalued,3,1,0.5,6,Devalued
28,Devalued,4,0,1,111.5,Devalued
28,Devalued,5,2,2,218,Devalued
28,Devalued,6,0,0,0,Devalued
28,Devalued,7,4,4,367,Devalued
28,Devalued,8,0,2.5,285,Devalued
28,Non-Devalued,1,6.5,5,173.5,Non-Devalued
28,Non-Devalued,2,0.5,0,0,Non-Devalued
28,Non-Devalued,3,9,0.5,9,Non-Devalued
28,Non-Devalued,4,12.5,2.5,133.5,Non-Devalued
28,Non-Devalued,5,9.5,3,210,Non-Devalued
28,Non-Devalued,6,0,1.5,261,Non-Devalued
28,Non-Devalued,7,0,0,11.5,Non-Devalued
28,Non-Devalued,8,1.5,0,0,Non-Devalued
29,Devalued,1,5,3,215.5,Devalued
29,Devalued,2,6,2.5,98.5,Devalued
29,Devalued,3,4,2,68.5,Devalued
29,Devalued,4,0,0,0,Devalued
29,Devalued,5,0,1,98.5,Devalued
29,Devalued,6,0,0,0,Devalued
29,Devalued,7,1,0.5,185,Devalued
29,Devalued,8,0,1.5,217,Devalued
29,Non-Devalued,1,9,4,259.5,Non-Devalued
29,Non-Devalued,2,10.5,2.5,114,Non-Devalued
29,Non-Devalued,3,4.5,0,0,Non-Devalued
29,Non-Devalued,4,0.5,1.5,156,Non-Devalued
29,Non-Devalued,5,3.5,0.5,21.5,Non-Devalued
29,Non-Devalued,6,3,1.5,155.5,Non-Devalued
29,Non-Devalued,7,0,1.5,248.5,Non-Devalued
29,Non-Devalued,8,0,0,0,Non-Devalued
30,Devalued,1,6.5,5,223.5,Devalued
30,Devalued,2,2,1.5,48.5,Devalued
30,Devalued,3,2,1.5,16.5,Devalued
30,Devalued,4,1,1.5,78,Devalued
30,Devalued,5,0.5,1,229,Devalued
30,Devalued,6,0,0,0,Devalued
30,Devalued,7,0,2.5,327,Devalued
30,Devalued,8,0,0,0,Devalued
30,Non-Devalued,1,6,2,64,Non-Devalued
30,Non-Devalued,2,4.5,1.5,127.5,Non-Devalued
30,Non-Devalued,3,1,1,95,Non-Devalued
30,Non-Devalued,4,1,1.5,40,Non-Devalued
30,Non-Devalued,5,0,0,0,Non-Devalued
30,Non-Devalued,6,0.5,0,0,Non-Devalued
30,Non-Devalued,7,0,0,0,Non-Devalued
30,Non-Devalued,8,0.5,0,0,Non-Devalued
31,Devalued,1,7.5,2,113.5,Devalued
31,Devalued,2,4,1,46.5,Devalued
31,Devalued,3,1.5,2,144.5,Devalued
31,Devalued,4,0.5,0,0,Devalued
31,Devalued,5,0,0,0,Devalued
31,Devalued,6,0,0,0,Devalued
31,Devalued,7,0,0,0,Devalued
31,Devalued,8,0,0,0,Devalued
31,Non-Devalued,1,9,2.5,131.5,Non-Devalued
31,Non-Devalued,2,14,1.5,120.5,Non-Devalued
31,Non-Devalued,3,7.5,2,137.5,Non-Devalued
31,Non-Devalued,4,4.5,0.5,1.5,Non-Devalued
31,Non-Devalued,5,1.5,0.5,28,Non-Devalued
31,Non-Devalued,6,3.5,0.5,1.5,Non-Devalued
31,Non-Devalued,7,3.5,0.5,274,Non-Devalued
31,Non-Devalued,8,0.5,1.5,661,Non-Devalued
32,Devalued,1,4,2,119,Devalued
32,Devalued,2,1,3,272,Devalued
32,Devalued,3,1,1,55,Devalued
32,Devalued,4,0.5,1,67.5,Devalued
32,Devalued,5,1,0.5,97,Devalued
32,Devalued,6,0.5,1.5,92.5,Devalued
32,Devalued,7,0,0,0,Devalued
32,Devalued,8,0,0,0,Devalued
32,Non-Devalued,1,2.5,1.5,132.5,Non-Devalued
32,Non-Devalued,2,3,2.5,114,Non-Devalued
32,Non-Devalued,3,1.5,0,21,Non-Devalued
32,Non-Devalued,4,0,2,78,Non-Devalued
32,Non-Devalued,5,0,0.5,57.5,Non-Devalued
32,Non-Devalued,6,0,0,0,Non-Devalued
32,Non-Devalued,7,0,0,0,Non-Devalued
32,Non-Devalued,8,0,0,0,Non-Devalued
