Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
24,Non-Devalued,CS,Different,Devalued,NA
24,Non-Devalued,CS,General,General,NA
24,Non-Devalued,CS,Same,Non-Devalued,NA
24,Non-Devalued,PreCS,PreCS,PreCS,NA
25,Devalued,CS,Different,Non-Devalued,NA
25,Devalued,CS,General,General,NA
25,Devalued,CS,Same,Devalued,NA
25,Devalued,PreCS,PreCS,PreCS,NA
25,Non-Devalued,CS,Different,Devalued,NA
25,Non-Devalued,CS,General,General,NA
25,Non-Devalued,CS,Same,Non-Devalued,NA
25,Non-Devalued,PreCS,PreCS,PreCS,NA
26,Devalued,CS,Different,Non-Devalued,NA
26,Devalued,CS,General,General,NA
26,Devalued,CS,Same,Devalued,NA
26,Devalued,PreCS,PreCS,PreCS,NA
26,Non-Devalued,CS,Different,Devalued,NA
26,Non-Devalued,CS,General,General,NA
26,Non-Devalued,CS,Same,Non-Devalued,NA
26,Non-Devalued,PreCS,PreCS,PreCS,NA
27,Devalued,CS,Different,Non-Devalued,NA
27,Devalued,CS,General,General,NA
27,Devalued,CS,Same,Devalued,NA
27,Devalued,PreCS,PreCS,PreCS,NA
27,Non-Devalued,CS,Different,Devalued,NA
27,Non-Devalued,CS,General,General,NA
27,Non-Devalued,CS,Same,Non-Devalued,NA
27,Non-Devalued,PreCS,PreCS,PreCS,NA
28,Devalued,CS,Different,Non-Devalued,NA
28,Devalued,CS,General,General,NA
28,Devalued,CS,Same,Devalued,NA
28,Devalued,PreCS,PreCS,PreCS,NA
28,Non-Devalued,CS,Different,Devalued,NA
28,Non-Devalued,CS,General,General,NA
28,Non-Devalued,CS,Same,Non-Devalued,NA
28,Non-Devalued,PreCS,PreCS,PreCS,NA
29,Devalued,CS,Different,Non-Devalued,NA
29,Devalued,CS,General,General,NA
29,Devalued,CS,Same,Devalued,NA
29,Devalued,PreCS,PreCS,PreCS,NA
29,Non-Devalued,CS,Different,Devalued,NA
29,Non-Devalued,CS,General,General,NA
29,Non-Devalued,CS,Same,Non-Devalued,NA
29,Non-Devalued,PreCS,PreCS,PreCS,NA
30,Devalued,CS,Different,Non-Devalued,NA
30,Devalued,CS,General,General,NA
30,Devalued,CS,Same,Devalued,NA
30,Devalued,PreCS,PreCS,PreCS,NA
30,Non-Devalued,CS,Different,Devalued,NA
30,Non-Devalued,CS,General,General,NA
30,Non-Devalued,CS,Same,Non-Devalued,NA
30,Non-Devalued,PreCS,PreCS,PreCS,NA
31,Devalued,CS,Different,Non-Devalued,NA
31,Devalued,CS,General,General,NA
31,Devalued,CS,Same,Devalued,NA
31,Devalued,PreCS,PreCS,PreCS,NA
31,Non-Devalued,CS,Different,Devalued,NA
31,Non-Devalued,CS,General,General,NA
31,Non-Devalued,CS,Same,Non-Devalued,NA
31,Non-Devalued,PreCS,PreCS,PreCS,NA
32,Devalued,CS,Different,Non-Devalued,NA
32,Devalued,CS,General,General,NA
32,Devalued,CS,Same,Devalued,NA
32,Devalued,PreCS,PreCS,PreCS,NA
32,Non-Devalued,CS,Different,Devalued,NA
32,Non-Devalued,CS,General,General,NA
32,Non-Devalued,CS,Same,Non-Devalued,NA
32,Non-Devalued,PreCS,PreCS,PreCS,NA
