Experiment,Experiment_Devaluation,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,2,Maltodextrin,right,258,18,1800.99,8.595272600069961,107,3.5647060783235887
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,3,Maltodextrin,right,242,20,567.99,25.563830349125862,62,6.549411081181007
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,4,Maltodextrin,right,170,20,499.99,20.400408008160163,68,8.160163203264066
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,5,Maltodextrin,right,184,20,708.99,15.571446705877376,102,8.631997630432023
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,6,Maltodextrin,right,311,20,566.99,32.91063334450343,104,11.005485105557417
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,7,Maltodextrin,right,146,20,421.99,20.758785753216902,54,7.677907059408991
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,8,Maltodextrin,right,145,20,381.99,22.77546532631744,52,8.167753082541427
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,9,Maltodextrin,Left,244,20,513.99,28.48304441720656,106,12.373781591081539
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,10,Maltodextrin,Left,167,20,318.99,31.41164299821311,62,11.661807580174926
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,11,Maltodextrin,Left,149,20,553.99,16.137475405693245,86,9.314247549594757
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,12,Maltodextrin,Left,168,20,333.99,30.180544327674482,53,9.521243150992545
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,13,Maltodextrin,Left,242,20,798.99,18.172943340967972,59,4.43059362445087
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,14,Maltodextrin,Left,247,20,662.99,22.353278329989895,80,7.2399282040453095
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,15,Maltodextrin,Left,208,20,535.99,23.284016492845016,85,9.515102893710703
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,4,16,Maltodextrin,Left,192,20,453.99,25.375008260093836,83,10.969404612436396
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,1,Maltodextrin,right,182,20,639.99,17.062766605728214,67,6.281348146064782
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,2,Maltodextrin,right,135,20,563.99,14.361956772283197,55,5.851167573893155
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,3,Maltodextrin,right,174,20,380.99,27.40229402346518,35,5.51195569437518
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,4,Maltodextrin,right,228,20,756.99,18.07157294019736,73,5.786073792256173
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,5,Maltodextrin,right,217,20,618.99,21.034265497019337,76,7.366839528909999
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,6,Maltodextrin,right,189,20,407.99,27.79479889212971,54,7.941371112037059
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,7,Maltodextrin,right,168,20,286.99,35.12317502351998,40,8.36266071988571
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,8,Maltodextrin,right,149,20,364.99,24.493821748541052,38,6.246746486205101
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,9,Maltodextrin,Left,152,20,294.99,30.916302247533814,56,11.390216617512458
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,10,Maltodextrin,Left,161,20,425.99,22.676588652315782,65,9.155144486959788
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,11,Maltodextrin,Left,201,20,554.99,21.73012126344619,48,5.189282689778194
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,12,Maltodextrin,Left,168,20,350.99,28.718766916436365,51,8.718197099632468
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,13,Maltodextrin,Left,229,20,612.99,22.41472128419713,64,6.264376254098762
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,14,Maltodextrin,Left,196,20,510.99,23.014149004872895,49,5.753537251218224
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,15,Maltodextrin,Left,236,20,358.99,39.44399565447505,59,9.860998913618763
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,5,16,Maltodextrin,Left,151,20,354.99,25.521845685793966,50,8.450942280064227
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,1,Maltodextrin,right,182,20,521.99,20.919940995038218,43,4.942623421904634
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,2,Maltodextrin,right,170,20,458.99,22.22270637704525,61,7.974029935292707
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,3,Maltodextrin,right,280,20,583.99,28.767615883833628,69,7.089162485659001
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,4,Maltodextrin,right,228,20,579.99,23.586613562302798,59,6.103553509543268
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,5,Maltodextrin,right,179,20,478.99,22.42218000375791,43,5.386333743919497
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,6,Maltodextrin,right,222,20,417.99,31.866791071556733,66,9.473910859111461
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,7,Maltodextrin,right,183,20,439.99,24.955112616195823,62,8.454737607672902
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,8,Maltodextrin,right,184,20,451.99,24.425319144228855,45,5.973583486360317
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,9,Maltodextrin,Left,190,20,385.99,29.534443897510297,53,8.238555402989714
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,10,Maltodextrin,Left,219,20,369.99,35.514473364144976,67,10.865158517797779
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,11,Maltodextrin,Left,277,20,780.99,21.280682211039835,125,9.603195943610034
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,12,Maltodextrin,Left,187,20,315.99,35.507452767492644,43,8.164815342257667
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,13,Maltodextrin,Left,241,20,690.99,20.926496765510354,71,6.165067511830851
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,14,Maltodextrin,Left,182,20,381.99,28.587135788894997,35,5.497526113249038
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,15,Maltodextrin,Left,172,20,378.99,27.230269927966436,55,8.70735375603578
skr216_sPIT_Deval_1lever,Taste_Aversion,RR10,6,16,Maltodextrin,Left,158,20,368.99,25.691753164042385,55,8.94333179760969
