Injection,Subject,Liquid,Bin_4mins,MagEntry,MagDur
Saline,9,Sucrose,1,4.75,5.7925
Saline,9,Sucrose,2,3.5,6.155
Saline,9,Sucrose,3,3.75,7.13
Saline,9,Sucrose,4,5.5,9.3925
Saline,9,Sucrose,5,6.75,10.29
Saline,9,Sucrose,6,4.5,7.1875
Saline,10,Sucrose,1,4.75,10.16
Saline,10,Sucrose,2,6.25,10.12
Saline,10,Sucrose,3,6.5,12.27
Saline,10,Sucrose,4,8.75,19.58
Saline,10,Sucrose,5,8.75,17.4775
Saline,10,Sucrose,6,4.25,6.4725
Saline,11,Sucrose,1,4.5,6.2775
Saline,11,Sucrose,2,4.75,8.8425
Saline,11,Sucrose,3,3.5,7.99
Saline,11,Sucrose,4,6,10.0925
Saline,11,Sucrose,5,6,7.7425
Saline,11,Sucrose,6,0.5,4.5725
Saline,12,Sucrose,1,6.75,10.0225
Saline,12,Sucrose,2,6.5,15.1375
Saline,12,Sucrose,3,8,18.16
Saline,12,Sucrose,4,7.75,22.095
Saline,12,Sucrose,5,6.75,22.8375
Saline,12,Sucrose,6,4,33.8175
Saline,13,Maltodextrin,1,4.5,7.86
Saline,13,Maltodextrin,2,3.75,7.7025
Saline,13,Maltodextrin,3,5.25,12.83
Saline,13,Maltodextrin,4,1.75,7.27
Saline,13,Maltodextrin,5,2.75,11.3675
Saline,13,Maltodextrin,6,1.75,7.4475
Saline,14,Maltodextrin,1,4,7.2425
Saline,14,Maltodextrin,2,3,10.8825
Saline,14,Maltodextrin,3,1.75,7.97
Saline,14,Maltodextrin,4,2,6.7325
Saline,14,Maltodextrin,5,1.5,6.98
Saline,14,Maltodextrin,6,4,9.1
Saline,15,Maltodextrin,1,4.75,6.4175
Saline,15,Maltodextrin,2,5,34.395
Saline,15,Maltodextrin,3,5.75,29.41
Saline,15,Maltodextrin,4,6.5,41.5125
Saline,15,Maltodextrin,5,6.25,34.0475
Saline,15,Maltodextrin,6,4.5,42.4075
Saline,16,Maltodextrin,1,5,7.0175
Saline,16,Maltodextrin,2,4.5,11.37
Saline,16,Maltodextrin,3,3,6.1075
Saline,16,Maltodextrin,4,3.5,9.365
Saline,16,Maltodextrin,5,6,9.8225
Saline,16,Maltodextrin,6,5,6.515
