Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr216_sPIT_Deval_1lever,3,25,Tone,Pellet,5.75,3.625,6.25,9.875
skr216_sPIT_Deval_1lever,3,26,Click,Pellet,4.5,9,7.5,16.5
skr216_sPIT_Deval_1lever,3,26,Noise,Sucrose,4.5,11.5,3.5,15
skr216_sPIT_Deval_1lever,3,26,Tone,Maltodextrin,5.75,5.25,6.75,12
skr216_sPIT_Deval_1lever,3,27,Click,Sucrose,2.5,13.5,9.25,22.75
skr216_sPIT_Deval_1lever,3,27,Noise,Pellet,3.5,15.125,4.625,19.75
skr216_sPIT_Deval_1lever,3,27,Tone,Maltodextrin,4,8.875,7.75,16.625
skr216_sPIT_Deval_1lever,3,28,Click,Maltodextrin,3.75,7.875,2.75,10.625
skr216_sPIT_Deval_1lever,3,28,Noise,Pellet,2,21.875,2.75,24.625
skr216_sPIT_Deval_1lever,3,28,Tone,Sucrose,5.5,10.25,3,13.25
skr216_sPIT_Deval_1lever,3,29,Click,Sucrose,2.25,4.875,8.875,13.75
skr216_sPIT_Deval_1lever,3,29,Noise,Maltodextrin,3.75,6.375,8,14.375
skr216_sPIT_Deval_1lever,3,29,Tone,Pellet,4,9.875,6,15.875
skr216_sPIT_Deval_1lever,3,30,Click,Pellet,4.25,10.125,9.125,19.25
skr216_sPIT_Deval_1lever,3,30,Noise,Maltodextrin,3,11.375,8.625,20
skr216_sPIT_Deval_1lever,3,30,Tone,Sucrose,3.75,10.125,7.5,17.625
skr216_sPIT_Deval_1lever,3,31,Click,Pellet,2.75,8.875,6.25,15.125
skr216_sPIT_Deval_1lever,3,31,Noise,Sucrose,4.5,19.125,5.5,24.625
skr216_sPIT_Deval_1lever,3,31,Tone,Maltodextrin,3.75,8.375,5.75,14.125
skr216_sPIT_Deval_1lever,3,32,Click,Sucrose,4,9.625,3.75,13.375
skr216_sPIT_Deval_1lever,3,32,Noise,Maltodextrin,4.5,7,10,17
skr216_sPIT_Deval_1lever,3,32,Tone,Pellet,3.75,11.75,3.75,15.5
skr216_sPIT_Deval_1lever,4,9,Click,Maltodextrin,3.25,9.25,7,16.25
skr216_sPIT_Deval_1lever,4,9,Noise,Sucrose,3.75,10.25,9,19.25
skr216_sPIT_Deval_1lever,4,9,Tone,Pellet,4.5,8.25,7.75,16
skr216_sPIT_Deval_1lever,4,10,Click,Pellet,3.25,3.75,7.5,11.25
skr216_sPIT_Deval_1lever,4,10,Noise,Sucrose,4.75,5.75,4.25,10
skr216_sPIT_Deval_1lever,4,10,Tone,Maltodextrin,2.75,6.25,4.5,10.75
skr216_sPIT_Deval_1lever,4,11,Click,Sucrose,1.75,6.625,5.25,11.875
skr216_sPIT_Deval_1lever,4,11,Noise,Pellet,3,17.625,5.375,23
skr216_sPIT_Deval_1lever,4,11,Tone,Maltodextrin,4.75,5.5,4.375,9.875
skr216_sPIT_Deval_1lever,4,12,Click,Maltodextrin,5.5,8.5,3.375,11.875
skr216_sPIT_Deval_1lever,4,12,Noise,Pellet,3,17.625,5.875,23.5
skr216_sPIT_Deval_1lever,4,12,Tone,Sucrose,4.25,6.375,6.375,12.75
skr216_sPIT_Deval_1lever,4,13,Click,Sucrose,4.25,6,2.25,8.25
skr216_sPIT_Deval_1lever,4,13,Noise,Maltodextrin,4.25,7.75,2.875,10.625
skr216_sPIT_Deval_1lever,4,13,Tone,Pellet,4.25,7.25,1.375,8.625
skr216_sPIT_Deval_1lever,4,14,Click,Pellet,2.25,13.625,2.125,15.75
skr216_sPIT_Deval_1lever,4,14,Noise,Maltodextrin,4,14,2.125,16.125
skr216_sPIT_Deval_1lever,4,14,Tone,Sucrose,3.25,10.25,4.125,14.375
skr216_sPIT_Deval_1lever,4,15,Click,Pellet,2,7.75,3.75,11.5
skr216_sPIT_Deval_1lever,4,15,Noise,Sucrose,4,11.25,2.625,13.875
skr216_sPIT_Deval_1lever,4,15,Tone,Maltodextrin,3,9,1.75,10.75
skr216_sPIT_Deval_1lever,4,16,Click,Sucrose,2.25,9,3.125,12.125
skr216_sPIT_Deval_1lever,4,16,Noise,Maltodextrin,3.5,11.125,3,14.125
skr216_sPIT_Deval_1lever,4,16,Tone,Pellet,4,10.5,5.125,15.625
skr216_sPIT_Deval_1lever,4,17,Click,Maltodextrin,2.75,6,7.625,13.625
skr216_sPIT_Deval_1lever,4,17,Noise,Sucrose,5.75,17.375,3.125,20.5
skr216_sPIT_Deval_1lever,4,17,Tone,Pellet,4.25,4.875,7.75,12.625
skr216_sPIT_Deval_1lever,4,18,Click,Pellet,5.75,8.5,2.75,11.25
skr216_sPIT_Deval_1lever,4,18,Noise,Sucrose,3,12.625,2.375,15
skr216_sPIT_Deval_1lever,4,18,Tone,Maltodextrin,4.75,7.5,2.875,10.375
skr216_sPIT_Deval_1lever,4,19,Click,Sucrose,2.75,8.375,3.25,11.625
skr216_sPIT_Deval_1lever,4,19,Noise,Pellet,2.25,20.5,3.125,23.625
skr216_sPIT_Deval_1lever,4,19,Tone,Maltodextrin,3.5,4.375,4.875,9.25
skr216_sPIT_Deval_1lever,4,20,Click,Maltodextrin,5.5,-3.125,7,3.875
skr216_sPIT_Deval_1lever,4,20,Noise,Pellet,3,15.125,6.125,21.25
skr216_sPIT_Deval_1lever,4,20,Tone,Sucrose,3.75,1.5,7.25,8.75
skr216_sPIT_Deval_1lever,4,21,Click,Sucrose,5.5,7.125,4.375,11.5
skr216_sPIT_Deval_1lever,4,21,Noise,Maltodextrin,2.75,11,4.875,15.875
skr216_sPIT_Deval_1lever,4,21,Tone,Pellet,4,9.5,3.875,13.375
skr216_sPIT_Deval_1lever,4,22,Click,Pellet,4.25,9,4.125,13.125
skr216_sPIT_Deval_1lever,4,22,Noise,Maltodextrin,4.75,8.125,4,12.125
skr216_sPIT_Deval_1lever,4,22,Tone,Sucrose,3.5,6.5,5,11.5
skr216_sPIT_Deval_1lever,4,23,Click,Maltodextrin,2.25,10.125,3.375,13.5
skr216_sPIT_Deval_1lever,4,23,Noise,Sucrose,5.25,13.25,5.375,18.625
skr216_sPIT_Deval_1lever,4,23,Tone,Pellet,3.75,5.625,6.125,11.75
skr216_sPIT_Deval_1lever,4,24,Click,Sucrose,4.75,3.5,6.375,9.875
skr216_sPIT_Deval_1lever,4,24,Noise,Pellet,4.5,13.125,4.75,17.875
skr216_sPIT_Deval_1lever,4,24,Tone,Maltodextrin,4,8.625,4.5,13.125
skr216_sPIT_Deval_1lever,4,25,Click,Maltodextrin,2.25,9,3.5,12.5
skr216_sPIT_Deval_1lever,4,25,Noise,Sucrose,3.75,10.125,5,15.125
skr216_sPIT_Deval_1lever,4,25,Tone,Pellet,4.75,6.5,5.5,12
skr216_sPIT_Deval_1lever,4,26,Click,Pellet,4,8.375,8.125,16.5
skr216_sPIT_Deval_1lever,4,26,Noise,Sucrose,3.5,9.625,5.5,15.125
skr216_sPIT_Deval_1lever,4,26,Tone,Maltodextrin,2.5,9.125,7.375,16.5
skr216_sPIT_Deval_1lever,4,27,Click,Sucrose,4.25,8.125,6.875,15
skr216_sPIT_Deval_1lever,4,27,Noise,Pellet,4.5,16.75,8.875,25.625
skr216_sPIT_Deval_1lever,4,27,Tone,Maltodextrin,3.25,13.625,5,18.625
skr216_sPIT_Deval_1lever,4,28,Click,Maltodextrin,4.25,7.25,3.25,10.5
skr216_sPIT_Deval_1lever,4,28,Noise,Pellet,3.5,19.125,4.75,23.875
skr216_sPIT_Deval_1lever,4,28,Tone,Sucrose,3.5,9.5,4.875,14.375
skr216_sPIT_Deval_1lever,4,29,Click,Sucrose,3.5,6.75,3.875,10.625
skr216_sPIT_Deval_1lever,4,29,Noise,Maltodextrin,4,9.25,3.875,13.125
skr216_sPIT_Deval_1lever,4,29,Tone,Pellet,4.25,9.125,4,13.125
