Subject,Devaluation,Trial Structure,same_diff,Devalued Pavlovian US?,lever Presses
7,Non-Devalued,PreCS,PreCS,PreCS,0.8611111111111112
8,Devalued,CS,Different,Non-Devalued,1.8333333333333333
8,Devalued,CS,General,General,0.16666666666666669
8,Devalued,CS,Same,Devalued,2.5
8,Devalued,PreCS,PreCS,PreCS,3.4166666666666665
8,Non-Devalued,CS,Different,Devalued,2.25
8,Non-Devalued,CS,General,General,1.6666666666666665
8,Non-Devalued,CS,Same,Non-Devalued,2.25
8,Non-Devalued,PreCS,PreCS,PreCS,3.2777777777777777
9,Devalued,CS,Different,Non-Devalued,3.416666666666667
9,Devalued,CS,General,General,0.33333333333333337
9,Devalued,CS,Same,Devalued,1.0833333333333333
9,Devalued,PreCS,PreCS,PreCS,3.5
9,Non-Devalued,CS,Different,Devalued,0.16666666666666669
9,Non-Devalued,CS,General,General,1.25
9,Non-Devalued,CS,Same,Non-Devalued,1.8333333333333335
9,Non-Devalued,PreCS,PreCS,PreCS,1.138888888888889
10,Devalued,CS,Different,Non-Devalued,2.1666666666666665
10,Devalued,CS,General,General,0
10,Devalued,CS,Same,Devalued,0.33333333333333337
10,Devalued,PreCS,PreCS,PreCS,0.9444444444444443
10,Non-Devalued,CS,Different,Devalued,5.083333333333334
10,Non-Devalued,CS,General,General,4.25
10,Non-Devalued,CS,Same,Non-Devalued,3.8333333333333335
10,Non-Devalued,PreCS,PreCS,PreCS,1.1111111111111112
11,Devalued,CS,Different,Non-Devalued,2.833333333333333
11,Devalued,CS,General,General,2.8333333333333335
11,Devalued,CS,Same,Devalued,6.5
11,Devalued,PreCS,PreCS,PreCS,2.5277777777777777
11,Non-Devalued,CS,Different,Devalued,2.25
11,Non-Devalued,CS,General,General,2.6666666666666665
11,Non-Devalued,CS,Same,Non-Devalued,2.666666666666667
11,Non-Devalued,PreCS,PreCS,PreCS,1.5833333333333335
12,Devalued,CS,Different,Non-Devalued,3.9999999999999996
12,Devalued,CS,General,General,0.8333333333333333
12,Devalued,CS,Same,Devalued,0.5833333333333334
12,Devalued,PreCS,PreCS,PreCS,0.3333333333333333
12,Non-Devalued,CS,Different,Devalued,2.6666666666666665
12,Non-Devalued,CS,General,General,1.6666666666666667
12,Non-Devalued,CS,Same,Non-Devalued,7.583333333333333
12,Non-Devalued,PreCS,PreCS,PreCS,4.777777777777777
13,Devalued,CS,Different,Non-Devalued,4.333333333333334
13,Devalued,CS,General,General,1
13,Devalued,CS,Same,Devalued,0.5833333333333334
13,Devalued,PreCS,PreCS,PreCS,0.9166666666666667
13,Non-Devalued,CS,Different,Devalued,1.4166666666666667
13,Non-Devalued,CS,General,General,2.5
13,Non-Devalued,CS,Same,Non-Devalued,3
13,Non-Devalued,PreCS,PreCS,PreCS,0.5277777777777778
14,Devalued,CS,Different,Non-Devalued,3.4166666666666665
14,Devalued,CS,General,General,0.5833333333333334
14,Devalued,CS,Same,Devalued,1.6666666666666665
14,Devalued,PreCS,PreCS,PreCS,2.0555555555555554
14,Non-Devalued,CS,Different,Devalued,3.8333333333333335
14,Non-Devalued,CS,General,General,0.25
14,Non-Devalued,CS,Same,Non-Devalued,3.5
14,Non-Devalued,PreCS,PreCS,PreCS,1.527777777777778
15,Devalued,CS,Different,Non-Devalued,1
15,Devalued,CS,General,General,0
15,Devalued,CS,Same,Devalued,2.5
15,Devalued,PreCS,PreCS,PreCS,0.1388888888888889
15,Non-Devalued,CS,Different,Devalued,0.4166666666666667
15,Non-Devalued,CS,General,General,4.833333333333334
15,Non-Devalued,CS,Same,Non-Devalued,0.33333333333333337
15,Non-Devalued,PreCS,PreCS,PreCS,1.5
16,Devalued,CS,Different,Non-Devalued,1.4166666666666665
16,Devalued,CS,General,General,2.1666666666666665
16,Devalued,CS,Same,Devalued,1.3333333333333335
16,Devalued,PreCS,PreCS,PreCS,2
16,Non-Devalued,CS,Different,Devalued,0.08333333333333334
16,Non-Devalued,CS,General,General,0.5
16,Non-Devalued,CS,Same,Non-Devalued,1.8333333333333333
16,Non-Devalued,PreCS,PreCS,PreCS,0.7777777777777777
